white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
13444,11245,4,centro,32,0,4,28,12,0,74.6,24.8,0.6
13444,11245,3,esquina,32,2,0,30,8,10,62.8,36.8,0.4
13444,11245,4,esquina,32,1,0,31,6,10,62.2,36.4,1.4
13444,11245,4,lado,32,1,0,31,15,10,61.4,37.8,0.8
13444,11245,1,esquina,32,2,0,30,10,8,60.8,38.0,1.2
13444,11245,1,centro,32,4,0,28,24,12,56.4,42.0,1.6
13444,11245,3,lado,32,2,0,30,15,10,52.6,45.6,1.8
13444,11245,3,centro,32,4,0,28,20,12,49.6,49.6,0.8
13444,11245,1,lado,32,11,2,19,16,8,40.8,57.6,1.6
13444,11246,4,centro,32,0,4,28,12,0,74.6,24.8,0.6
13444,11246,3,esquina,32,2,0,30,8,10,62.8,36.8,0.4
13444,11246,4,esquina,32,1,0,31,6,10,62.2,36.4,1.4
13444,11246,4,lado,32,1,0,31,15,10,61.4,37.8,0.8
13444,11246,1,esquina,32,2,0,30,10,8,60.8,38.0,1.2
13444,11246,1,centro,32,4,0,28,24,12,56.4,42.0,1.6
13444,11246,3,lado,32,2,0,30,15,10,52.6,45.6,1.8
13444,11246,3,centro,32,4,0,28,20,12,49.6,49.6,0.8
13444,11246,1,lado,32,11,2,19,16,8,40.8,57.6,1.6
13444,12245,4,centro,32,0,4,28,12,0,73.6,25.8,0.6
13444,12245,3,esquina,32,2,0,30,8,10,63.6,36.0,0.4
13444,12245,4,esquina,32,1,0,31,6,10,62.2,37.2,0.6
13444,12245,4,lado,32,1,2,29,15,10,60.0,38.2,1.8
13444,12245,1,esquina,32,2,0,30,10,8,58.6,40.6,0.8
13444,12245,1,centro,32,4,0,28,24,12,57.0,41.6,1.4
13444,12245,3,lado,32,4,0,28,15,10,51.6,47.2,1.2
13444,12245,3,centro,32,4,0,28,20,12,48.6,50.6,0.8
13444,12245,1,lado,32,11,2,19,16,8,39.4,59.0,1.6
13444,12246,4,centro,32,0,4,28,12,0,73.6,25.8,0.6
13444,12246,3,esquina,32,2,0,30,8,10,63.6,36.0,0.4
13444,12246,4,esquina,32,1,0,31,6,10,62.2,37.2,0.6
13444,12246,4,lado,32,1,2,29,15,10,60.0,38.2,1.8
13444,12246,1,esquina,32,2,0,30,10,8,58.6,40.6,0.8
13444,12246,1,centro,32,4,0,28,24,12,57.0,41.6,1.4
13444,12246,3,lado,32,4,0,28,15,10,51.6,47.2,1.2
13444,12246,3,centro,32,4,0,28,20,12,48.6,50.6,0.8
13444,12246,1,lado,32,11,2,19,16,8,39.4,59.0,1.6
13555,11256,5,centro,32,0,4,28,12,0,74.6,24.8,0.6
13555,11256,3,esquina,32,2,0,30,8,10,62.8,36.8,0.4
13555,11256,5,esquina,32,1,0,31,6,10,62.2,36.4,1.4
