white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
12344,11245,4,centro,32,4,0,28,12,12,67.2,32.0,0.8
12344,11245,4,esquina,32,2,0,30,6,10,58.8,39.6,1.6
12344,11245,1,esquina,32,2,0,30,10,8,58.2,41.4,0.4
12344,11245,2,centro,32,4,4,24,20,12,57.4,42.4,0.2
12344,11245,2,esquina,32,2,0,30,8,8,55.6,43.8,0.6
12344,11245,3,esquina,32,2,0,30,8,10,54.8,44.4,0.8
12344,11245,3,centro,32,8,0,24,20,12,54.0,45.4,0.6
12344,11245,1,centro,32,4,4,24,24,12,53.6,44.6,1.8
12344,11245,4,lado,32,6,0,26,16,10,53.0,45.4,1.6
12344,11245,3,lado,32,2,0,30,15,10,48.2,49.8,2.0
12344,11245,2,lado,32,8,2,22,16,8,41.8,57.4,0.8
12344,11245,1,lado,32,11,2,19,16,8,32.6,66.4,1.0
12344,12245,4,centro,32,4,0,28,12,12,65.8,33.6,0.6
12344,12245,4,esquina,32,2,0,30,6,10,57.6,41.2,1.2
12344,12245,2,centro,32,4,4,24,20,12,56.2,43.8,0.0
12344,12245,1,esquina,32,2,0,30,10,8,54.8,44.2,1.0
12344,12245,2,esquina,32,2,0,30,8,8,54.6,45.2,0.2
12344,12245,3,centro,32,8,0,24,20,12,52.6,47.0,0.4
12344,12245,1,centro,32,4,4,24,24,12,51.6,47.2,1.2
12344,12245,4,lado,32,6,0,26,16,10,51.6,46.0,2.4
12344,12245,3,esquina,32,2,0,30,8,10,51.4,48.2,0.4
12344,12245,3,lado,32,4,0,28,15,10,46.2,52.8,1.0
12344,12245,2,lado,32,9,3,20,16,8,36.4,61.6,2.0
12344,12245,1,lado,32,11,2,19,16,8,30.8,68.0,1.2
12344,12345,4,centro,40,4,0,36,24,12,59.0,40.6,0.4
12344,12345,4,esquina,40,2,0,38,6,10,57.6,41.8,0.6
12344,12345,1,esquina,40,2,0,38,12,8,51.8,47.6,0.6
12344,12345,4,lado,40,8,0,32,19,10,51.2,47.6,1.2
12344,12345,2,esquina,40,2,0,38,10,8,51.2,47.8,1.0
12344,12345,3,esquina,40,2,0,38,8,8,50.4,48.8,0.8
12344,12345,3,centro,40,8,0,32,24,12,50.0,50.0,0.0
12344,12345,2,centro,40,8,0,32,28,12,43.8,55.4,0.8
12344,12345,1,centro,40,8,0,32,32,12,40.6,58.4,1.0
12344,12345,2,lado,40,13,2,25,19,8,35.0,64.6,0.4
12344,12345,3,lado,40,10,4,26,19,8,35.0,64.0,1.0
12344,12345,1,lado,40,16,0,24,19,8,30.2,69.6,0.2
