white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11224,33445,1,esquina,24,2,0,22,10,8,27.6,72.4,0.0
11224,33445,2,esquina,24,2,0,22,10,8,26.6,73.4,0.0
11224,33445,4,esquina,24,3,0,21,11,8,19.2,80.8,0.0
11224,33445,4,lado,24,18,0,6,18,8,12.4,87.6,0.0
11224,33445,1,lado,24,14,0,10,14,8,12.4,87.6,0.0
11224,33445,2,lado,24,14,0,10,14,8,12.0,88.0,0.0
11224,33445,4,centro,24,16,0,8,16,10,11.6,88.4,0.0
11224,33445,2,centro,24,16,0,8,24,10,7.4,92.6,0.0
11224,33445,1,centro,24,16,0,8,24,10,7.2,92.8,0.0
11224,33455,1,esquina,24,2,0,22,10,8,27.0,73.0,0.0
11224,33455,2,esquina,24,2,0,22,10,8,26.0,74.0,0.0
11224,33455,4,esquina,24,3,0,21,11,8,19.6,80.4,0.0
11224,33455,4,lado,24,18,0,6,18,8,12.2,87.8,0.0
11224,33455,1,lado,24,14,0,10,14,8,11.6,88.4,0.0
11224,33455,2,lado,24,14,0,10,14,8,11.4,88.6,0.0
11224,33455,4,centro,24,16,0,8,16,10,11.2,88.8,0.0
11224,33455,2,centro,24,16,0,8,24,10,6.2,93.8,0.0
11224,33455,1,centro,24,16,0,8,24,10,6.0,94.0,0.0
11224,34455,1,esquina,24,2,0,22,10,8,23.8,76.2,0.0
11224,34455,2,esquina,24,2,0,22,10,8,23.0,77.0,0.0
11224,34455,4,esquina,24,3,0,21,11,8,19.6,80.4,0.0
11224,34455,4,centro,24,16,0,8,16,10,11.0,89.0,0.0
11224,34455,4,lado,24,18,0,6,18,8,9.4,90.6,0.0
11224,34455,2,lado,24,14,0,10,14,8,9.4,90.6,0.0
11224,34455,1,lado,24,14,0,10,14,8,8.8,91.2,0.0
11224,34455,2,centro,24,16,0,8,24,10,6.0,94.0,0.0
11224,34455,1,centro,24,16,0,8,24,10,5.4,94.6,0.0
11234,23345,2,esquina,32,2,0,30,10,8,38.2,61.8,0.0
11234,23345,3,esquina,32,2,0,30,8,8,37.2,62.8,0.0
11234,23345,4,centro,32,16,0,16,20,10,34.2,65.8,0.0
11234,23345,1,esquina,32,2,0,30,12,8,33.4,66.6,0.0
11234,23345,4,esquina,32,3,0,29,9,8,33.2,66.8,0.0
11234,23345,3,centro,32,8,0,24,24,10,31.2,68.8,0.0
11234,23345,2,centro,32,8,0,24,28,10,28.4,71.6,0.0
11234,23345,4,lado,32,17,0,15,19,8,24.2,75.8,0.0
11234,23345,3,lado,32,16,0,16,17,8,18.8,81.2,0.0
11234,23345,1,lado,32,16,0,16,16,8,17.6,82.4,0.0
11234,23345,2,lado,32,16,0,16,16,8,17.2,82.8,0.0
11234,23345,1,centro,32,8,0,24,32,10,17.2,82.8,0.0
11234,23355,1,esquina,24,1,0,23,9,8,40.6,59.4,0.0
11234,23355,2,esquina,24,1,0,23,7,8,40.4,59.6,0.0
11234,23355,3,esquina,24,1,0,23,5,8,37.8,62.2,0.0
11234,23355,4,esquina,24,2,0,22,6,8,33.6,66.4,0.0
11234,23355,4,centro,24,12,0,12,16,10,32.6,67.4,0.0
11234,23355,3,centro,24,4,0,20,16,10,32.2,67.8,0.0
11234,23355,4,lado,24,13,0,11,13,8,30.6,69.4,0.0
11234,23355,2,centro,24,4,0,20,20,10,28.4,71.6,0.0
11234,23355,1,lado,24,12,0,12,12,8,21.8,78.2,0.0
11234,23355,3,lado,24,12,0,12,13,8,21.2,78.8,0.0
11234,23355,2,lado,24,12,0,12,12,8,19.6,80.4,0.0
11234,23355,1,centro,24,4,0,20,24,10,19.2,80.8,0.0
11234,23445,2,esquina,32,2,0,30,10,8,35.6,64.4,0.0
11234,23445,3,esquina,32,2,0,30,8,8,33.8,66.2,0.0
11234,23445,4,esquina,32,3,0,29,9,8,30.2,69.8,0.0
11234,23445,4,centro,32,16,0,16,20,10,29.2,70.8,0.0
