white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
12335,24456,2,esquina,32,2,0,30,8,39.4,60.6,0.0
12335,24456,1,esquina,32,2,0,30,8,37.8,62.2,0.0
12335,24456,3,esquina,32,2,0,30,8,34.8,65.2,0.0
12335,24456,5,centro,32,16,0,16,10,34.4,65.4,0.2
12335,24456,2,centro,32,8,0,24,10,30.2,69.8,0.0
12335,24456,5,esquina,32,3,0,29,8,29.2,70.8,0.0
12335,24456,3,centro,32,8,0,24,10,26.4,73.6,0.0
12335,24456,5,lado,32,20,1,11,8,26.2,73.6,0.2
12335,24456,1,centro,32,8,0,24,10,21.4,78.6,0.0
12335,24456,1,lado,32,17,0,15,8,19.0,81.0,0.0
12335,24456,2,lado,32,17,0,15,8,18.8,81.2,0.0
12335,24456,3,lado,32,16,0,16,8,18.4,81.6,0.0
12335,24466,3,esquina,24,1,0,23,8,41.2,58.8,0.0
12335,24466,2,esquina,24,1,0,23,8,41.2,58.8,0.0
12335,24466,1,esquina,24,1,0,23,8,37.2,62.8,0.0
12335,24466,5,esquina,24,2,0,22,8,34.4,65.4,0.2
12335,24466,5,centro,24,12,0,12,10,33.2,66.8,0.0
12335,24466,5,lado,24,14,1,9,8,31.0,69.0,0.0
12335,24466,3,centro,24,4,0,20,10,30.2,69.8,0.0
12335,24466,2,centro,24,4,0,20,10,29.6,70.4,0.0
12335,24466,3,lado,24,12,0,12,8,22.4,77.6,0.0
12335,24466,1,lado,24,13,0,11,8,20.6,79.2,0.2
12335,24466,1,centro,24,4,0,20,10,20.4,79.6,0.0
12335,24466,2,lado,24,13,0,11,8,18.4,81.4,0.2
12335,24556,2,esquina,32,2,0,30,8,37.2,62.8,0.0
12335,24556,1,esquina,32,2,0,30,8,35.2,64.8,0.0
12335,24556,3,esquina,32,2,0,30,8,29.6,70.4,0.0
12335,24556,5,centro,32,16,0,16,10,28.8,71.2,0.0
12335,24556,5,esquina,32,3,0,29,8,27.4,72.6,0.0
12335,24556,2,centro,32,16,0,16,10,25.6,74.4,0.0
12335,24556,3,centro,32,16,0,16,10,21.8,78.2,0.0
12335,24556,5,lado,32,20,1,11,8,20.2,79.8,0.0
12335,24556,1,centro,32,16,0,16,10,17.8,82.2,0.0
12335,24556,3,lado,32,17,0,15,8,17.2,82.8,0.0
12335,24556,1,lado,32,17,0,15,8,15.6,84.4,0.0
12335,24556,2,lado,32,17,0,15,8,15.4,84.4,0.2
12335,24566,2,esquina,32,2,0,30,8,34.8,65.2,0.0
12335,24566,1,esquina,32,2,0,30,8,32.8,67.2,0.0
12335,24566,5,centro,32,16,0,16,10,28.4,71.4,0.2
12335,24566,3,esquina,32,2,0,30,8,27.6,72.4,0.0
12335,24566,5,esquina,32,3,0,29,8,26.8,73.2,0.0
12335,24566,2,centro,32,16,0,16,10,25.2,74.8,0.0
12335,24566,3,centro,32,16,0,16,10,21.2,78.8,0.0
12335,24566,5,lado,32,20,1,11,8,18.4,81.6,0.0
12335,24566,1,centro,32,16,0,16,10,17.2,82.8,0.0
12335,24566,3,lado,32,17,0,15,8,16.0,84.0,0.0
12335,24566,2,lado,32,17,0,15,8,13.8,86.0,0.2
12335,24566,1,lado,32,17,0,15,8,13.8,86.2,0.0
12335,44556,3,esquina,24,2,0,22,8,29.4,70.6,0.0
12335,44556,2,esquina,24,2,0,22,8,27.6,72.4,0.0
12335,44556,1,esquina,24,2,0,22,8,27.6,72.4,0.0
12335,44556,5,esquina,24,3,0,21,8,21.6,78.4,0.0
12335,44556,5,centro,24,16,0,8,10,13.4,86.6,0.0
12335,44556,5,lado,24,18,0,6,8,12.6,87.4,0.0
12335,44556,3,lado,24,14,0,10,8,12.4,87.6,0.0
12335,44556,2,lado,24,14,0,10,8,12.4,87.6,0.0
12335,44556,1,lado,24,14,0,10,8,12.4,87.6,0.0
12335,44556,3,centro,24,16,0,8,10,7.8,92.2,0.0
12335,44556,2,centro,24,16,0,8,10,7.2,92.8,0.0
12335,44556,1,centro,24,16,0,8,10,7.2,92.8,0.0
12335,44566,3,esquina,24,2,0,22,8,28.2,71.8,0.0
12335,44566,2,esquina,24,2,0,22,8,27.0,73.0,0.0
12335,44566,1,esquina,24,2,0,22,8,27.0,73.0,0.0
12335,44566,5,esquina,24,3,0,21,8,21.6,78.4,0.0
12335,44566,5,lado,24,18,0,6,8,12.8,87.2,0.0
12335,44566,5,centro,24,16,0,8,10,12.4,87.6,0.0
12335,44566,2,lado,24,14,0,10,8,11.6,88.4,0.0
12335,44566,1,lado,24,14,0,10,8,11.6,88.4,0.0
