white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,aperturas
12335,24456,segundo,39.4,2 esquina,28.0,2,12
12335,24466,segundo,41.2,3 esquina,30.0,1,12
12335,24556,segundo,37.2,2 esquina,24.3,2,12
12335,24566,segundo,34.8,2 esquina,23.0,2,12
12335,44556,segundo,29.4,3 esquina,16.0,2,12
12335,44566,segundo,28.2,3 esquina,15.2,2,12
12335,45566,segundo,26.8,3 esquina,13.5,2,12
12345,23446,segundo,56.8,4 centro,47.6,1,15
12345,23456,segundo,45.0,3 esquina,35.1,2,15
12345,23466,segundo,44.0,2 esquina,34.6,1,15
12345,23556,segundo,36.8,5 centro,28.3,2,15
12345,23566,segundo,35.0,5 centro,26.5,2,15
12345,24456,segundo,41.6,5 centro,28.9,2,15
12345,24466,segundo,44.4,2 esquina,32.7,1,15
12345,24556,segundo,32.6,5 centro,24.5,2,15
12345,24566,segundo,31.2,5 centro,23.2,2,15
12345,25566,segundo,33.0,2 esquina,22.1,2,15
12345,34456,segundo,38.4,5 centro,25.8,2,15
12345,34466,segundo,43.0,3 esquina,29.8,1,15
12345,34556,segundo,31.0,5 centro,21.7,2,15
12345,34566,segundo,29.4,5 centro,20.6,2,15
12345,35566,segundo,31.8,3 esquina,19.2,2,15
12345,44556,segundo,31.2,4 esquina,17.9,2,15
12345,44566,segundo,30.0,4 esquina,17.0,2,15
12345,45566,segundo,29.0,4 esquina,15.6,2,15
12355,23446,primero,64.4,5 lado,51.9,0,12
12355,23456,segundo,50.4,5 centro,37.1,2,12
12355,23466,segundo,44.8,5 centro,36.2,1,12
12355,24456,segundo,50.4,5 centro,35.5,2,12
12355,24466,segundo,47.2,5 esquina,34.3,1,12
12355,24556,segundo,41.6,5 centro,29.3,2,12
12355,24566,segundo,37.0,5 centro,26.5,2,12
12355,34456,segundo,49.2,5 centro,31.4,2,12
12355,34466,segundo,44.2,5 esquina,30.5,1,12
12355,34556,segundo,39.4,5 centro,26.2,2,12
12355,34566,segundo,35.4,5 centro,23.6,2,12
12355,44556,segundo,34.2,5 esquina,21.5,2,12
