white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,aperturas
11224,33445,segundo,27.6,1 esquina,15.2,2,9
11224,33455,segundo,27.0,1 esquina,14.6,2,9
11224,34455,segundo,23.8,1 esquina,12.9,2,9
11234,23345,segundo,38.2,2 esquina,27.6,2,12
11234,23355,segundo,40.6,1 esquina,29.8,1,12
11234,23445,segundo,35.6,2 esquina,23.4,2,12
11234,23455,segundo,33.4,2 esquina,22.4,2,12
11234,24455,segundo,29.6,4 esquina,19.6,2,12
11234,33445,segundo,29.6,1 esquina,17.7,2,12
11234,33455,segundo,28.4,1 esquina,16.9,2,12
11234,34455,segundo,27.2,1 esquina,15.3,2,12
11244,23345,segundo,49.2,4 centro,33.7,2,9
11244,23355,segundo,42.0,2 esquina,31.1,1,9
11244,23445,segundo,38.4,4 centro,26.9,2,9
11244,23455,segundo,36.0,4 centro,24.7,2,9
11244,33445,segundo,33.4,4 esquina,23.0,2,9
11244,33455,segundo,31.4,4 esquina,20.2,2,9
11244,34455,segundo,28.4,2 esquina,17.8,2,9
11334,22335,primero,65.8,3 esquina,51.5,0,9
11334,22345,segundo,43.2,3 esquina,32.4,2,9
11334,22355,segundo,46.8,3 esquina,34.5,1,9
11334,22445,segundo,35.6,3 esquina,24.8,2,9
11334,22455,segundo,33.4,3 esquina,23.0,2,9
11334,23345,segundo,41.6,3 esquina,30.2,2,9
11334,23355,segundo,44.4,3 esquina,32.4,1,9
11334,23445,segundo,38.4,3 esquina,25.4,2,9
11334,23455,segundo,36.0,3 esquina,24.5,2,9
11334,24455,segundo,30.4,3 esquina,20.4,2,9
11344,22335,primero,70.4,4 esquina,59.4,0,9
11344,22345,segundo,53.8,4 centro,40.2,2,9
11344,22355,segundo,49.0,4 esquina,38.4,1,9
11344,22445,segundo,40.0,4 centro,28.0,2,9
11344,22455,segundo,34.6,4 esquina,24.0,2,9
11344,23345,segundo,54.2,4 centro,38.5,2,9
11344,23355,segundo,47.4,4 esquina,36.8,1,9
11344,23445,segundo,42.2,4 centro,30.0,2,9
11344,23455,segundo,40.0,4 centro,27.3,2,9
11344,24455,segundo,31.6,4 esquina,21.4,2,9
12234,13345,segundo,42.6,4 centro,33.1,2,12
12234,13355,segundo,44.8,1 esquina,35.1,1,12
12234,13445,segundo,38.6,1 esquina,28.7,2,12
12234,13455,segundo,36.8,1 esquina,27.2,2,12
12234,14455,segundo,32.8,2 esquina,25.0,2,12
12234,33445,segundo,29.6,2 esquina,17.8,2,12
12234,33455,segundo,28.8,3 esquina,17.0,2,12
12234,34455,segundo,27.2,2 esquina,15.3,2,12
12244,13345,segundo,55.2,4 centro,40.8,2,9
12244,13355,segundo,49.4,1 esquina,38.2,1,9
12244,13445,segundo,44.2,4 centro,32.4,2,9
12244,13455,segundo,41.8,4 centro,29.6,2,9
12244,33445,segundo,33.4,4 esquina,23.0,2,9
12244,33455,segundo,31.2,4 esquina,20.2,2,9
12244,34455,segundo,28.6,4 esquina,17.8,2,9
12334,12335,primero,67.6,3 esquina,58.6,0,12
12334,12345,segundo,54.4,4 centro,40.3,2,12
12334,12355,segundo,51.8,4 centro,41.6,1,12
12334,12445,segundo,45.4,4 centro,34.0,2,12
12334,12455,segundo,43.0,4 centro,32.4,2,12
12334,13345,segundo,45.2,4 centro,34.5,2,12
12334,13355,segundo,45.8,1 esquina,35.8,1,12
12334,13445,segundo,39.4,1 esquina,29.3,2,12
12334,13455,segundo,37.0,4 centro,27.8,2,12
12334,14455,segundo,33.6,1 esquina,24.9,2,12
12334,23345,segundo,41.2,4 centro,31.0,2,12
12334,23355,segundo,44.6,3 esquina,32.8,1,12
12334,23445,segundo,37.6,2 esquina,26.2,2,12
12334,23455,segundo,35.2,2 esquina,25.0,2,12
12334,24455,segundo,31.8,3 esquina,21.7,2,12
12334,33445,segundo,31.8,3 esquina,18.9,2,12
12334,33455,segundo,30.6,3 esquina,17.9,2,12
12334,34455,segundo,30.0,3 esquina,16.3,2,12
12344,12335,primero,77.6,4 lado,64.4,0,12
12344,12345,segundo,59.0,4 centro,46.3,2,12
12344,12355,segundo,54.2,3 centro,44.4,1,12
12344,12445,segundo,53.6,4 centro,36.8,2,12
12344,12455,segundo,43.8,4 centro,32.9,2,12
12344,13345,segundo,57.4,4 centro,42.2,2,12
12344,13355,segundo,50.0,4 esquina,39.8,1,12
12344,13445,segundo,48.4,4 centro,34.0,2,12
12344,13455,segundo,42.2,4 centro,30.5,2,12
12344,14455,segundo,34.8,4 esquina,25.2,2,12
12344,23345,segundo,54.0,4 centro,38.1,2,12
12344,23355,segundo,48.6,4 esquina,36.0,1,12
12344,23445,segundo,44.6,4 centro,30.6,2,12
12344,23455,segundo,39.0,4 centro,27.6,2,12
12344,24455,segundo,34.0,4 esquina,22.2,2,12
12344,33445,segundo,35.0,3 esquina,23.8,2,12
12344,33455,segundo,32.8,4 esquina,21.1,2,12
12344,34455,segundo,32.2,4 esquina,19.1,2,12
13344,12235,primero,82.8,4 centro,74.8,0,9
13344,12245,segundo,71.0,4 centro,55.8,2,9
13344,12255,segundo,59.2,3 esquina,52.4,1,9
13344,12335,primero,79.2,4 centro,70.2,0,9
13344,12345,segundo,63.8,4 centro,50.7,2,9
13344,12355,segundo,58.0,4 centro,47.1,1,9
13344,12445,segundo,52.8,4 centro,37.7,2,9
13344,12455,segundo,46.4,4 centro,33.8,2,9
13344,22335,primero,75.2,3 esquina,68.0,0,9
13344,22345,segundo,60.4,4 centro,45.9,2,9
13344,22355,segundo,53.2,3 esquina,43.7,1,9
13344,22445,segundo,44.0,4 centro,31.5,2,9
13344,22455,segundo,37.4,1 esquina,27.2,2,9
13344,23345,segundo,60.6,4 centro,43.8,2,9
13344,23355,segundo,48.8,4 esquina,39.5,1,9
13344,23445,segundo,45.4,4 centro,33.1,2,9
13344,23455,segundo,43.2,4 centro,30.4,2,9
13344,24455,segundo,33.8,1 esquina,23.7,2,9
22334,11335,primero,74.6,2 esquina,63.1,0,9
22334,11345,segundo,49.8,3 esquina,40.6,2,9
22334,11355,segundo,53.4,3 esquina,43.6,1,9
22334,11445,segundo,41.0,4 esquina,31.7,2,9
22334,11455,segundo,39.6,4 esquina,29.8,2,9
22334,13345,segundo,44.4,3 esquina,35.6,2,9
22334,13355,segundo,47.0,3 esquina,38.0,1,9
22334,13445,segundo,40.8,3 esquina,30.1,2,9
22334,13455,segundo,38.8,3 esquina,29.2,2,9
22334,14455,segundo,34.8,2 esquina,26.2,2,9
22344,11335,primero,77.8,4 esquina,69.8,0,9
22344,11345,segundo,62.4,4 centro,49.5,2,9
22344,11355,segundo,57.4,3 esquina,48.8,1,9
22344,11445,segundo,48.6,4 centro,35.1,2,9
22344,11455,segundo,41.0,3 esquina,30.4,2,9
22344,13345,segundo,60.0,4 centro,44.8,2,9
22344,13355,segundo,51.4,3 esquina,43.1,1,9
22344,13445,segundo,46.8,4 centro,34.6,2,9
22344,13455,segundo,46.0,4 centro,31.9,2,9
22344,14455,segundo,37.2,3 esquina,26.9,2,9
23344,11235,primero,88.6,4 centro,81.6,0,9
23344,11245,segundo,75.4,4 centro,62.8,1,9
23344,11255,segundo,66.4,3 esquina,60.3,1,9
23344,11335,primero,80.8,4 esquina,74.3,0,9
23344,11345,segundo,64.0,4 centro,51.7,2,9
23344,11355,segundo,58.2,3 esquina,49.1,1,9
23344,11445,segundo,47.4,4 centro,35.0,2,9
23344,11455,segundo,41.0,2 esquina,30.5,2,9
23344,12335,primero,84.0,4 centro,74.9,0,9
23344,12345,segundo,65.2,4 centro,53.9,2,9
23344,12355,segundo,61.2,4 centro,51.2,1,9
23344,12445,segundo,55.0,4 centro,40.2,2,9
23344,12455,segundo,47.8,4 centro,36.1,2,9
23344,13345,segundo,62.6,4 centro,47.1,2,9
23344,13355,segundo,51.2,4 esquina,43.4,1,9
23344,13445,segundo,48.0,4 centro,35.6,2,9
23344,13455,segundo,45.2,4 centro,32.5,2,9
23344,14455,segundo,37.2,2 esquina,26.8,2,9
