white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11224,33333,4,lado,5,0,2,3,5,0,42.0,58.0,0.0
11224,33333,1,lado,5,1,0,4,5,12,35.3,64.7,0.0
11224,33333,2,lado,5,1,0,4,5,12,34.7,65.3,0.0
11225,33333,5,lado,5,0,2,3,5,0,42.0,58.0,0.0
11225,33333,1,lado,5,1,0,4,5,12,35.3,64.7,0.0
11225,33333,2,lado,5,1,0,4,5,12,34.7,65.3,0.0
11225,33334,5,lado,10,0,4,6,10,0,38.0,62.0,0.0
11225,33334,2,lado,10,2,0,8,10,12,38.0,62.0,0.0
11225,33334,1,lado,10,2,0,8,10,12,35.3,64.7,0.0
11225,33344,5,lado,10,0,4,6,10,0,36.0,64.0,0.0
11225,33344,2,lado,10,2,0,8,10,12,35.3,64.7,0.0
11225,33344,1,lado,10,2,0,8,10,12,34.0,66.0,0.0
11225,33444,2,lado,10,2,0,8,10,12,36.0,64.0,0.0
11225,33444,1,lado,10,2,0,8,10,12,34.7,65.3,0.0
11225,33444,5,lado,10,0,4,6,10,0,34.0,66.0,0.0
11225,34444,5,lado,10,0,4,6,10,0,38.7,61.3,0.0
11225,34444,1,lado,10,2,0,8,10,12,34.7,65.3,0.0
11225,34444,2,lado,10,2,0,8,10,12,34.0,65.3,0.7
11225,44444,5,lado,5,0,2,3,5,0,42.0,58.0,0.0
11225,44444,1,lado,5,1,0,4,5,12,35.3,64.7,0.0
11225,44444,2,lado,5,1,0,4,5,12,34.7,65.3,0.0
11235,23334,5,lado,15,0,0,15,14,0,50.7,47.3,2.0
11235,23334,3,lado,15,1,0,14,14,12,43.3,56.7,0.0
11235,23334,2,lado,15,2,0,13,15,12,42.0,58.0,0.0
11235,23334,1,lado,15,2,1,12,15,12,36.7,63.3,0.0
11235,23344,5,lado,15,0,4,11,15,0,49.3,50.7,0.0
11235,23344,2,lado,15,2,0,13,15,12,38.0,62.0,0.0
11235,23344,3,lado,15,1,0,14,14,12,36.0,64.0,0.0
11235,23344,1,lado,15,2,1,12,15,12,30.7,69.3,0.0
11235,23444,5,lado,15,0,4,11,15,0,46.7,52.7,0.7
11235,23444,3,lado,15,1,0,14,14,12,40.7,59.3,0.0
11235,23444,2,lado,15,2,0,13,15,12,40.0,59.3,0.7
11235,23444,1,lado,15,2,1,12,15,12,30.0,70.0,0.0
11235,24444,3,lado,10,1,0,9,9,12,42.7,56.7,0.7
11235,24444,5,lado,10,0,2,8,10,0,42.0,58.0,0.0
11235,24444,2,lado,10,1,0,9,10,12,34.7,63.3,2.0
11235,24444,1,lado,10,1,1,8,10,12,33.3,66.7,0.0
11235,33334,5,lado,10,0,0,10,9,0,40.7,59.3,0.0
11235,33334,3,lado,10,1,0,9,10,12,38.7,61.3,0.0
11235,33334,2,lado,10,2,0,8,10,12,38.0,62.0,0.0
11235,33334,1,lado,10,2,0,8,10,12,36.0,64.0,0.0
11235,33344,5,lado,10,0,4,6,10,0,37.3,62.7,0.0
11235,33344,2,lado,10,2,0,8,10,12,36.7,63.3,0.0
11235,33344,1,lado,10,2,0,8,10,12,33.3,66.7,0.0
