white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
14444,12345,4,lado,25,1,5,19,15,10,58.2,40.8,1.0
14444,12345,1,lado,25,13,0,12,15,8,37.0,61.8,1.2
14444,22345,4,lado,20,1,5,14,12,10,57.0,42.0,1.0
14444,22345,1,lado,20,10,0,10,12,8,33.0,66.0,1.0
14444,23345,4,lado,20,1,5,14,12,10,57.1,41.6,1.3
14444,23345,1,lado,20,10,0,10,12,8,33.4,65.5,1.1
22335,13445,5,lado,20,3,4,13,12,10,48.9,50.7,0.4
22335,13445,2,lado,20,7,0,13,10,10,37.1,62.3,0.6
22335,13445,3,lado,20,7,0,13,10,10,36.5,62.8,0.7
22444,11345,4,lado,20,3,3,14,12,10,58.4,40.4,1.2
22444,11345,2,lado,20,6,1,13,12,8,41.2,57.0,1.8
22444,13345,4,lado,20,5,1,14,12,10,53.7,45.2,1.1
22444,13345,2,lado,20,7,0,13,12,8,36.1,62.3,1.6
23333,11244,3,lado,15,5,0,10,9,10,51.6,46.2,2.2
23333,11244,2,lado,15,7,1,7,9,8,41.7,55.6,2.7
23333,11255,3,lado,15,5,0,10,9,10,51.6,46.2,2.2
23333,11255,2,lado,15,7,1,7,9,8,41.7,55.6,2.7
24444,11255,4,lado,15,5,0,10,9,10,51.6,46.2,2.2
24444,11255,2,lado,15,7,1,7,9,8,41.7,55.6,2.7
24444,11355,4,lado,15,5,0,10,9,10,52.3,45.4,2.3
24444,11355,2,lado,15,7,1,7,9,8,40.8,56.3,2.9
33333,11244,3,lado,15,5,0,10,9,10,50.2,46.2,3.6
33333,11245,3,lado,20,6,0,14,12,10,45.2,51.5,3.3
33333,11255,3,lado,15,5,0,10,9,10,50.2,46.2,3.6
33333,12244,3,lado,15,5,0,10,9,10,49.4,47.1,3.5
33333,12245,3,lado,20,6,0,14,12,10,44.6,52.1,3.3
33333,12255,3,lado,15,5,0,10,9,10,49.4,47.1,3.5
33334,11245,3,lado,20,6,0,14,12,10,58.7,38.8,2.5
33334,11245,4,lado,20,6,0,14,12,10,51.5,46.5,2.0
33334,12245,3,lado,20,6,0,14,12,10,58.3,39.1,2.6
33334,12245,4,lado,20,6,0,14,12,10,51.0,46.7,2.3
33335,13445,5,lado,20,3,4,13,12,10,46.3,53.4,0.3
33335,13445,3,lado,20,7,0,13,10,10,40.2,59.1,0.7
33335,23445,5,lado,20,3,4,13,12,10,46.3,53.4,0.3
33335,23445,3,lado,20,7,0,13,10,10,40.2,59.1,0.7
33344,11345,4,lado,20,6,0,14,12,10,55.9,42.0,2.1
33344,11345,3,lado,20,8,1,11,12,8,36.9,61.6,1.5
33344,12345,4,lado,25,8,0,17,15,10,56.1,41.5,2.4
33344,12345,3,lado,25,10,1,14,15,8,43.3,55.7,1.0
33344,22345,4,lado,20,6,0,14,12,10,55.9,42.0,2.1
33344,22345,3,lado,20,8,1,11,12,8,36.9,61.6,1.5
33444,11355,4,lado,15,5,0,10,9,10,50.4,47.5,2.1
33444,11355,3,lado,15,7,1,7,9,8,37.8,60.6,1.6
33444,12355,4,lado,20,7,0,13,12,10,50.7,45.7,3.6
33444,12355,3,lado,20,9,1,10,12,8,41.2,56.4,2.4
33444,22355,4,lado,15,5,0,10,9,10,50.4,47.5,2.1
33444,22355,3,lado,15,7,1,7,9,8,37.8,60.6,1.6
34444,11355,4,lado,15,5,0,10,9,10,51.6,46.2,2.2
34444,11355,3,lado,15,7,1,7,9,8,41.7,55.6,2.7
34444,12355,4,lado,20,7,0,13,12,10,52.3,45.0,2.7
34444,12355,3,lado,20,9,1,10,12,8,43.2,54.9,1.9
34444,22355,4,lado,15,5,0,10,9,10,51.6,46.2,2.2
34444,22355,3,lado,15,7,1,7,9,8,41.7,55.6,2.7
44444,11255,4,lado,15,5,0,10,9,10,50.2,46.2,3.6
44444,11355,4,lado,15,5,0,10,9,10,50.2,46.2,3.6
44444,12255,4,lado,15,5,0,10,9,10,49.4,47.1,3.5
44444,12355,4,lado,20,7,0,13,12,10,51.6,45.7,2.7
44444,13355,4,lado,15,5,0,10,9,10,49.4,47.1,3.5
44444,22355,4,lado,15,5,0,10,9,10,50.2,46.2,3.6
44444,23355,4,lado,15,5,0,10,9,10,49.4,47.1,3.5
