white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11235,23334,5,lado,15,0,0,15,14,0,32.6,67.0,0.4
11235,23334,3,lado,15,1,0,14,14,12,30.8,68.6,0.6
11235,23334,2,lado,15,2,0,13,15,12,26.2,72.8,1.0
11235,23334,1,lado,15,2,1,12,15,12,21.6,77.8,0.6
11335,22344,5,lado,15,0,2,13,15,0,36.6,61.6,1.8
11335,22344,3,lado,15,1,0,14,14,12,30.8,67.6,1.6
11335,22344,1,lado,15,2,1,12,15,12,22.6,77.2,0.2
11335,22444,5,lado,10,0,2,8,10,0,36.6,61.2,2.2
11335,22444,3,lado,10,1,0,9,9,12,33.8,64.8,1.4
11335,22444,1,lado,10,1,1,8,10,12,26.2,73.0,0.8
11335,23344,5,lado,15,0,2,13,15,0,35.2,63.8,1.0
11335,23344,3,lado,15,1,0,14,14,12,33.6,65.6,0.8
11335,23344,1,lado,15,2,1,12,15,12,23.2,76.4,0.4
11444,22335,4,lado,15,1,10,4,15,14,30.2,66.6,3.2
11444,22335,1,lado,15,3,12,0,15,8,20.6,78.2,1.2
11444,33335,4,lado,10,1,6,3,10,14,32.6,65.2,2.2
11444,33335,1,lado,10,2,8,0,10,8,25.0,74.0,1.0
12235,13344,5,lado,15,0,4,11,15,0,36.0,62.4,1.6
12235,13344,1,lado,15,2,0,13,15,12,30.0,69.4,0.6
12235,13344,3,lado,15,1,0,14,14,12,28.6,70.2,1.2
12235,13344,2,lado,15,2,0,13,14,12,25.6,73.6,0.8
12235,13444,5,lado,15,0,4,11,15,0,37.0,62.2,0.8
12235,13444,3,lado,15,1,0,14,14,12,28.2,70.6,1.2
12235,13444,2,lado,15,2,0,13,14,12,27.6,71.2,1.2
12235,13444,1,lado,15,2,0,13,15,12,27.0,72.6,0.4
12335,23444,5,lado,15,0,2,13,15,0,34.8,64.8,0.4
12335,23444,2,lado,15,2,0,13,15,12,27.2,71.6,1.2
12335,23444,3,lado,15,1,0,14,14,12,26.6,72.2,1.2
12335,23444,1,lado,15,2,1,12,15,12,23.4,75.8,0.8
12444,33335,4,lado,10,1,6,3,10,14,33.2,65.6,1.2
12444,33335,1,lado,10,2,8,0,10,8,24.8,74.2,1.0
12444,33335,2,lado,10,2,8,0,10,8,24.6,74.4,1.0
13335,13444,5,lado,15,0,2,13,15,0,37.2,61.6,1.2
13335,13444,3,lado,15,1,0,14,14,12,29.6,70.2,0.2
13335,13444,1,lado,15,2,0,13,15,12,28.0,71.6,0.4
13335,14444,5,lado,10,0,2,8,10,0,36.4,62.4,1.2
