white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11235,23334,2,lado,15,2,0,13,15,12,44.0,55.7,0.3
11235,23334,3,lado,15,1,0,14,14,12,42.3,56.3,1.3
11235,23334,1,lado,15,2,1,12,15,12,37.7,61.0,1.3
11235,23334,5,lado,15,4,0,11,14,14,37.0,62.3,0.7
11255,34445,5,lado,15,0,1,14,13,0,65.7,30.3,4.0
11255,34445,2,lado,15,3,0,12,15,8,61.3,36.7,2.0
11255,34445,1,lado,15,3,0,12,15,8,55.3,41.0,3.7
11335,22444,3,lado,10,1,0,9,9,12,42.3,56.7,1.0
11335,22444,1,lado,10,1,1,8,10,12,40.3,59.3,0.3
11335,22444,5,lado,10,0,4,6,10,0,34.7,65.0,0.3
11335,23344,3,lado,15,1,0,14,14,12,47.0,52.7,0.3
11335,23344,5,lado,15,2,4,9,15,14,35.0,63.7,1.3
11335,23344,1,lado,15,2,1,12,15,12,35.0,65.0,0.0
11335,33334,3,lado,10,1,0,9,10,12,53.0,47.0,0.0
11335,33334,5,lado,10,0,2,8,9,0,42.7,57.3,0.0
11335,33334,1,lado,10,2,0,8,10,12,31.3,68.7,0.0
11335,33344,3,lado,10,1,0,9,10,12,41.3,58.7,0.0
11335,33344,1,lado,10,2,0,8,10,12,27.3,72.7,0.0
11335,33344,5,lado,10,2,2,6,10,14,26.3,73.3,0.3
11444,22335,4,lado,15,5,6,4,15,14,68.3,24.7,7.0
11444,22335,1,lado,15,11,2,2,15,8,24.3,75.3,0.3
11444,33335,4,lado,10,3,4,3,10,14,61.3,32.0,6.7
11444,33335,1,lado,10,6,2,2,10,8,25.3,72.7,2.0
12235,13334,3,lado,15,1,0,14,14,12,47.7,51.0,1.3
12235,13334,1,lado,15,2,0,13,15,12,44.0,54.7,1.3
12235,13334,2,lado,15,2,0,13,14,12,42.7,57.0,0.3
12235,13334,5,lado,15,2,2,11,14,14,39.0,59.7,1.3
12235,13344,3,lado,15,1,0,14,14,12,44.3,55.0,0.7
12235,13344,1,lado,15,2,0,13,15,12,38.3,60.3,1.3
12235,13344,2,lado,15,2,0,13,14,12,37.3,61.7,1.0
12235,13344,5,lado,15,2,4,9,15,14,35.0,64.3,0.7
12335,13444,3,lado,15,1,0,14,14,12,45.0,54.7,0.3
