white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
12334,12555,2,esquina,21,5,2,14,9,12,51.9,48.1,0.0
12334,12555,1,esquina,21,5,2,14,11,12,49.5,50.5,0.0
12334,12555,4,esquina,21,5,2,14,9,12,48.7,51.2,0.1
12334,12555,3,esquina,21,5,2,14,9,12,48.3,51.7,0.0
12334,12555,1,lado,21,5,2,14,21,12,43.4,56.6,0.0
12334,12555,2,lado,21,5,0,16,21,12,39.4,60.6,0.0
12334,12555,4,lado,21,5,0,16,21,12,38.9,61.1,0.0
12334,12555,3,lado,21,5,0,16,21,12,37.8,62.2,0.0
12335,12455,1,esquina,28,1,2,25,10,12,53.8,45.1,1.1
12335,12455,2,esquina,28,1,2,25,8,12,53.7,45.7,0.6
12335,12455,3,esquina,28,1,2,25,8,12,53.1,45.9,1.0
12335,12455,5,esquina,28,3,2,23,12,12,51.6,47.3,1.1
12335,12455,5,lado,28,6,2,20,14,12,50.0,48.8,1.2
12335,12455,3,lado,28,2,2,24,28,12,47.2,52.2,0.6
12335,12455,1,lado,28,2,2,24,28,12,45.5,53.9,0.6
12335,12455,2,lado,28,2,2,24,28,12,44.8,54.6,0.6
12344,11245,3,esquina,28,0,0,28,10,0,61.4,35.1,3.5
12344,11245,4,esquina,28,0,0,28,8,0,59.9,38.2,1.9
12344,11245,2,esquina,28,0,1,27,10,0,59.8,37.0,3.2
12344,11245,1,esquina,28,0,1,27,12,0,58.5,39.1,2.4
12344,11245,4,lado,28,0,0,28,26,0,58.1,39.5,2.4
12344,11245,3,lado,28,0,2,26,28,0,53.6,43.3,3.1
12344,11245,2,lado,28,0,3,25,28,0,50.2,47.1,2.7
12344,11245,1,lado,28,0,5,23,28,0,49.9,48.0,2.1
12344,12355,1,esquina,28,1,7,20,14,14,54.1,45.1,0.8
12344,12355,4,esquina,28,2,4,22,10,14,52.9,46.2,0.9
12344,12355,2,esquina,28,1,7,20,12,14,52.0,47.5,0.5
12344,12355,3,esquina,28,1,6,21,10,14,51.8,47.4,0.8
12344,12355,4,lado,28,4,1,23,28,14,48.6,50.6,0.8
12344,12355,3,lado,28,4,1,23,28,14,44.5,54.0,1.5
12344,12355,1,lado,28,4,5,19,28,14,43.6,55.5,0.9
12344,12355,2,lado,28,4,3,21,28,14,42.7,56.2,1.1
12344,12555,2,esquina,21,5,2,14,9,12,49.8,50.2,0.0
12344,12555,1,esquina,21,5,2,14,11,12,49.0,51.0,0.0
12344,12555,3,esquina,21,5,2,14,9,12,48.7,51.3,0.0
12344,12555,4,esquina,21,5,2,14,9,12,48.0,52.0,0.0
12344,12555,1,lado,21,5,2,14,21,12,41.2,58.8,0.0
12344,12555,3,lado,21,5,0,16,21,12,38.8,61.2,0.0
12344,12555,2,lado,21,5,0,16,21,12,37.8,62.2,0.0
12344,12555,4,lado,21,5,0,16,21,12,37.6,62.4,0.0
