white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
12235,13345,3,esquina,28,0,2,26,8,0,50.6,49.2,0.2
12235,13345,1,esquina,28,1,0,27,10,14,47.7,52.1,0.2
12235,13345,5,esquina,28,0,0,28,12,0,46.8,52.7,0.5
12235,13345,2,esquina,28,0,1,27,10,0,44.8,54.5,0.7
12235,13345,5,lado,28,1,7,20,14,14,42.9,56.8,0.3
12235,13345,1,lado,28,0,4,24,28,0,42.1,57.7,0.2
12235,13345,2,lado,28,0,4,24,28,0,42.1,57.5,0.4
12235,13345,3,lado,28,0,4,24,28,0,41.4,57.0,1.6
12333,12334,3,esquina,28,4,2,22,8,12,49.3,50.4,0.3
12333,12334,2,esquina,28,4,2,22,10,12,47.1,52.4,0.5
12333,12334,1,esquina,28,4,2,22,12,14,47.1,52.7,0.2
12333,12334,3,lado,28,4,1,23,26,12,43.3,55.9,0.8
12333,12334,2,lado,28,7,0,21,28,12,40.1,59.7,0.2
12333,12334,1,lado,28,7,2,19,28,12,39.5,60.2,0.3
12333,12335,3,esquina,28,4,2,22,8,12,49.3,50.4,0.3
12333,12335,2,esquina,28,4,2,22,10,12,47.1,52.4,0.5
12333,12335,1,esquina,28,4,2,22,12,14,47.1,52.7,0.2
12333,12335,3,lado,28,4,1,23,26,12,43.3,55.9,0.8
12333,12335,2,lado,28,7,0,21,28,12,40.1,59.7,0.2
12333,12335,1,lado,28,7,2,19,28,12,39.5,60.2,0.3
12334,12355,3,esquina,28,5,2,21,10,12,50.8,48.7,0.5
12334,12355,1,esquina,28,3,7,18,14,12,50.2,49.0,0.8
12334,12355,4,esquina,28,3,4,21,10,12,48.2,51.2,0.6
12334,12355,2,esquina,28,3,7,18,12,12,47.9,51.6,0.5
12334,12355,3,lado,28,5,0,23,28,14,43.8,56.0,0.2
12334,12355,4,lado,28,5,2,21,28,12,43.6,55.6,0.8
12334,12355,2,lado,28,7,0,21,28,14,42.1,57.3,0.6
12334,12355,1,lado,28,7,2,19,28,12,41.7,57.9,0.4
12334,12555,2,esquina,21,5,2,14,9,12,51.9,48.1,0.0
12334,12555,1,esquina,21,5,2,14,11,12,49.5,50.5,0.0
12334,12555,4,esquina,21,5,2,14,9,12,48.7,51.2,0.1
12334,12555,3,esquina,21,5,2,14,9,12,48.3,51.7,0.0
12334,12555,1,lado,21,5,2,14,21,12,43.4,56.6,0.0
12334,12555,2,lado,21,5,0,16,21,12,39.4,60.6,0.0
12334,12555,4,lado,21,5,0,16,21,12,38.9,61.1,0.0
12334,12555,3,lado,21,5,0,16,21,12,37.8,62.2,0.0
12335,13445,3,esquina,28,0,2,26,8,0,49.5,49.9,0.6
12335,13445,1,esquina,28,1,1,26,10,14,47.0,52.5,0.5
12335,13445,2,esquina,28,0,2,26,10,0,46.8,52.7,0.5
12335,13445,5,esquina,28,0,0,28,12,0,46.7,52.7,0.6
12335,13445,5,lado,28,3,7,18,14,14,44.1,55.1,0.8
12335,13445,3,lado,28,0,4,24,28,0,43.7,55.6,0.7
12335,13445,2,lado,28,0,4,24,28,0,43.2,56.3,0.5
12335,13445,1,lado,28,0,4,24,28,0,42.8,56.7,0.5
12335,23345,3,esquina,28,0,1,27,8,0,49.4,49.8,0.8
12335,23345,2,esquina,28,0,0,28,10,0,45.6,54.0,0.4
12335,23345,1,esquina,28,0,0,28,12,0,45.2,54.3,0.5
12335,23345,5,esquina,28,0,0,28,12,0,44.7,54.9,0.4
12335,23345,3,lado,28,0,2,26,28,0,44.7,54.8,0.5
12335,23345,5,lado,28,0,6,22,14,0,42.7,56.6,0.7
12335,23345,1,lado,28,0,0,28,28,0,42.1,57.5,0.4
12335,23345,2,lado,28,0,0,28,28,0,41.4,58.0,0.6
12344,12555,2,esquina,21,5,2,14,9,12,49.8,50.2,0.0
12344,12555,1,esquina,21,5,2,14,11,12,49.0,51.0,0.0
12344,12555,3,esquina,21,5,2,14,9,12,48.7,51.3,0.0
12344,12555,4,esquina,21,5,2,14,9,12,48.0,52.0,0.0
12344,12555,1,lado,21,5,2,14,21,12,41.2,58.8,0.0
12344,12555,3,lado,21,5,0,16,21,12,38.8,61.2,0.0
12344,12555,2,lado,21,5,0,16,21,12,37.8,62.2,0.0
12344,12555,4,lado,21,5,0,16,21,12,37.6,62.4,0.0
12344,13355,4,esquina,21,2,4,15,9,14,47.8,51.7,0.5
12344,13355,3,esquina,21,1,6,14,9,14,47.2,52.4,0.4
12344,13355,1,esquina,21,1,6,14,11,14,46.3,52.7,1.0
12344,13355,2,esquina,21,1,6,14,11,14,46.2,53.2,0.6
12344,13355,1,lado,21,4,3,14,21,14,40.6,58.9,0.5
12344,13355,2,lado,21,4,3,14,21,14,40.5,58.8,0.7
12344,13355,4,lado,21,4,1,16,21,14,40.1,59.4,0.5
12344,13355,3,lado,21,4,1,16,21,14,38.4,61.2,0.4
12444,12355,4,esquina,28,0,6,22,10,0,55.1,43.4,1.5
12444,12355,2,esquina,28,0,8,20,12,0,50.6,47.6,1.8
12444,12355,1,esquina,28,0,8,20,14,0,49.1,49.4,1.5
12444,12355,4,lado,28,0,5,23,28,0,47.3,50.3,2.4
12444,12355,2,lado,28,4,3,21,28,14,42.3,56.5,1.2
12444,12355,1,lado,28,4,5,19,28,14,41.3,57.1,1.6
12444,12445,4,esquina,28,4,2,22,8,12,49.3,50.4,0.3
12444,12445,2,esquina,28,4,2,22,10,12,47.1,52.4,0.5
12444,12445,1,esquina,28,4,2,22,12,14,47.1,52.7,0.2
12444,12445,4,lado,28,4,1,23,26,12,43.3,55.9,0.8
12444,12445,2,lado,28,7,0,21,28,12,40.1,59.7,0.2
12444,12445,1,lado,28,7,2,19,28,12,39.5,60.2,0.3
13333,12245,3,esquina,28,0,8,20,16,0,52.7,44.1,3.2
13333,12245,1,esquina,28,0,12,16,18,0,46.1,51.4,2.5
13333,12245,3,lado,28,0,10,18,28,0,43.0,53.4,3.6
13333,12245,1,lado,28,8,4,16,28,14,35.7,61.6,2.7
13334,12355,3,esquina,28,3,4,21,10,12,51.5,47.6,0.9
13334,12355,4,esquina,28,3,4,21,10,12,48.5,51.2,0.3
13334,12355,1,esquina,28,3,7,18,14,12,46.9,51.9,1.2
13334,12355,3,lado,28,5,0,23,28,14,44.8,53.5,1.7
13334,12355,1,lado,28,7,2,19,28,12,43.3,56.0,0.7
13334,12355,4,lado,28,5,2,21,28,12,42.1,56.7,1.2
13334,22355,3,esquina,21,3,3,15,9,12,48.9,50.7,0.4
13334,22355,4,esquina,21,3,3,15,9,12,45.0,54.2,0.8
13334,22355,1,esquina,21,3,6,12,13,12,44.3,54.4,1.3
13334,22355,3,lado,21,5,0,16,21,14,40.4,58.6,1.0
13334,22355,4,lado,21,5,2,14,21,12,38.9,59.3,1.8
13334,22355,1,lado,21,7,2,12,21,12,36.4,63.0,0.6
13344,12555,4,esquina,21,5,2,14,9,12,52.3,47.7,0.0
13344,12555,3,esquina,21,5,2,14,9,12,50.0,49.9,0.1
13344,12555,1,esquina,21,5,2,14,11,12,48.0,52.0,0.0
13344,12555,1,lado,21,5,2,14,21,12,41.2,58.8,0.0
13344,12555,4,lado,21,5,0,16,21,12,41.2,58.8,0.0
13344,12555,3,lado,21,5,0,16,21,12,39.6,60.4,0.0
13344,23355,4,esquina,21,0,5,16,9,0,48.7,50.6,0.7
