white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
14455,23466,1,centro,32,4,0,28,12,43.2,56.4,0.4
14455,23466,4,centro,32,4,0,28,12,36.0,64.0,0.0
14455,23466,5,esquina,32,1,0,31,10,31.2,68.4,0.4
14455,23466,5,centro,32,4,0,28,10,30.0,68.4,1.6
14455,23466,1,esquina,32,1,0,31,8,28.6,70.8,0.6
14455,23466,5,lado,32,9,2,21,10,27.8,70.2,2.0
14455,23466,4,esquina,32,1,0,31,8,27.2,72.2,0.6
14455,23466,4,lado,32,11,2,19,8,22.4,76.2,1.4
14455,23466,1,lado,32,15,0,17,8,3.4,96.0,0.6
22455,13466,2,centro,32,4,0,28,12,40.6,58.8,0.6
22455,13466,4,centro,32,4,0,28,12,39.4,60.4,0.2
22455,13466,5,esquina,32,1,0,31,10,30.8,69.0,0.2
22455,13466,5,centro,32,4,0,28,10,30.4,68.8,0.8
22455,13466,2,esquina,32,1,0,31,8,27.6,72.2,0.2
22455,13466,5,lado,32,9,2,21,10,26.6,71.0,2.4
22455,13466,4,esquina,32,1,0,31,8,24.6,75.0,0.4
22455,13466,4,lado,32,11,2,19,8,23.0,75.0,2.0
22455,13466,2,lado,32,14,0,18,8,14.4,83.2,2.4
23345,12466,3,esquina,32,1,0,31,8,27.8,72.2,0.0
23345,12466,2,centro,32,4,0,28,10,27.8,71.8,0.4
23345,12466,3,centro,32,4,0,28,10,27.0,72.4,0.6
23345,12466,4,centro,32,4,0,28,10,25.8,74.2,0.0
23345,12466,5,centro,32,12,0,20,10,25.8,74.2,0.0
23345,12466,4,esquina,32,1,0,31,8,24.8,75.0,0.2
23345,12466,2,esquina,32,1,0,31,8,23.6,75.8,0.6
23345,12466,5,esquina,32,2,0,30,8,21.4,78.6,0.0
23345,12466,5,lado,32,13,2,17,8,20.2,78.6,1.2
23345,12466,3,lado,32,12,1,19,8,18.6,78.8,2.6
23345,12466,4,lado,32,12,1,19,8,18.0,80.4,1.6
23345,12466,2,lado,32,14,0,18,8,10.2,87.4,2.4
23445,12466,3,centro,32,4,0,28,10,28.6,71.4,0.0
23445,12466,2,centro,32,4,0,28,10,27.0,72.8,0.2
23445,12466,3,esquina,32,1,0,31,8,25.6,74.0,0.4
23445,12466,5,centro,32,12,0,20,10,25.2,74.8,0.0
23445,12466,4,esquina,32,1,0,31,8,24.8,74.6,0.6
23445,12466,4,centro,32,4,0,28,10,24.6,75.4,0.0
23445,12466,2,esquina,32,1,0,31,8,22.4,77.0,0.6
23445,12466,5,esquina,32,2,0,30,8,21.4,78.6,0.0
23445,12466,5,lado,32,13,2,17,8,19.2,78.6,2.2
23445,12466,4,lado,32,12,1,19,8,18.2,79.4,2.4
23445,12466,3,lado,32,12,1,19,8,16.0,81.8,2.2
23445,12466,2,lado,32,14,0,18,8,10.4,87.6,2.0
23455,12466,3,centro,32,4,0,28,12,40.0,60.0,0.0
23455,12466,2,centro,32,4,0,28,12,38.6,61.4,0.0
23455,12466,4,centro,32,4,0,28,12,34.2,65.8,0.0
23455,12466,5,lado,32,9,2,21,10,32.8,64.8,2.4
23455,12466,5,centro,32,4,0,28,10,32.4,66.4,1.2
23455,12466,5,esquina,32,1,0,31,10,31.0,68.2,0.8
23455,12466,3,esquina,32,1,0,31,8,27.4,72.2,0.4
23455,12466,2,esquina,32,1,0,31,8,26.8,72.8,0.4
23455,12466,4,esquina,32,1,0,31,8,25.8,73.0,1.2
23455,12466,4,lado,32,11,2,19,8,23.0,74.4,2.6
23455,12466,3,lado,32,12,1,19,8,22.4,75.4,2.2
23455,12466,2,lado,32,14,0,18,8,16.0,81.2,2.8
23455,13466,2,centro,32,4,0,28,12,41.8,57.6,0.6
23455,13466,3,centro,32,4,0,28,12,37.8,62.2,0.0
23455,13466,4,centro,32,4,0,28,12,34.2,65.8,0.0
23455,13466,5,lado,32,9,2,21,10,31.6,67.0,1.4
23455,13466,5,centro,32,4,0,28,10,30.6,68.2,1.2
23455,13466,5,esquina,32,1,0,31,10,29.8,70.0,0.2
23455,13466,2,esquina,32,1,0,31,8,28.6,71.2,0.2
23455,13466,3,esquina,32,1,0,31,8,25.8,74.2,0.0
23455,13466,4,esquina,32,1,0,31,8,23.6,75.6,0.8
23455,13466,4,lado,32,11,2,19,8,21.2,77.2,1.6
23455,13466,3,lado,32,14,0,18,8,15.4,81.4,3.2
23455,13466,2,lado,32,14,0,18,8,14.2,84.0,1.8
33445,12456,5,centro,40,12,0,28,10,31.8,67.8,0.4
33445,12456,4,centro,40,8,0,32,10,27.6,72.4,0.0
33445,12456,4,esquina,40,2,0,38,8,26.2,72.4,1.4
33445,12456,3,esquina,40,2,0,38,8,26.0,73.2,0.8
33445,12456,5,lado,40,14,4,22,8,24.8,72.8,2.4
33445,12456,3,centro,40,8,0,32,10,24.4,75.6,0.0
33445,12456,5,esquina,40,3,0,37,8,22.0,77.4,0.6
33445,12456,3,lado,40,12,1,27,8,21.6,74.8,3.6
33445,12456,4,lado,40,11,1,28,8,21.2,75.4,3.4
