white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
12344,11245,4,lado,32,6,0,26,10,54.0,44.6,1.4
12344,11245,2,esquina,32,2,0,30,8,47.8,51.4,0.8
12344,11245,1,esquina,32,2,0,30,8,45.4,53.8,0.8
12344,11245,3,lado,32,2,0,30,10,42.0,56.0,2.0
12344,11245,1,centro,32,4,4,24,12,40.0,58.8,1.2
12344,11245,3,esquina,32,2,0,30,10,39.8,59.0,1.2
12344,11245,4,esquina,32,2,0,30,10,38.4,60.0,1.6
12344,11245,4,centro,32,4,0,28,12,36.4,63.6,0.0
12344,11245,2,centro,32,4,4,24,12,34.0,65.2,0.8
12344,11245,3,centro,32,8,0,24,12,31.6,67.4,1.0
12344,11245,2,lado,32,8,2,22,8,31.4,66.2,2.4
12344,11245,1,lado,32,11,2,19,8,16.0,80.0,4.0
13344,12355,1,centro,32,4,0,28,12,40.4,58.8,0.8
13344,12355,3,centro,32,4,0,28,12,36.0,64.0,0.0
13344,12355,4,esquina,32,1,0,31,10,31.2,68.2,0.6
13344,12355,4,centro,32,4,0,28,10,30.0,68.4,1.6
13344,12355,1,esquina,32,1,0,31,8,29.8,69.6,0.6
13344,12355,4,lado,32,9,2,21,10,27.6,70.4,2.0
13344,12355,3,esquina,32,1,0,31,8,27.2,72.2,0.6
13344,12355,3,lado,32,11,2,19,8,22.4,76.0,1.6
13344,12355,1,lado,32,15,0,17,8,3.4,96.0,0.6
