white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
12345,23446,1,esquina,32,1,0,31,10,53.5,46.4,0.1
12345,23446,2,esquina,32,1,0,31,10,52.9,47.0,0.1
12345,23446,4,centro,32,4,0,28,12,52.6,46.9,0.5
12345,23446,3,esquina,32,1,0,31,10,52.3,47.4,0.3
12345,23446,5,esquina,32,2,0,30,10,51.0,48.6,0.4
12345,23446,5,lado,32,1,1,30,10,49.5,50.0,0.5
12345,23446,5,centro,32,8,0,24,10,49.5,49.9,0.6
12345,23446,2,centro,32,4,0,28,12,49.4,50.3,0.3
12345,23446,3,centro,32,4,0,28,12,49.1,50.5,0.4
12345,23446,4,esquina,32,1,0,31,10,49.0,50.4,0.6
12345,23446,1,centro,32,4,0,28,12,47.2,52.6,0.2
12345,23446,4,lado,32,4,4,24,10,44.5,54.9,0.6
12345,23446,3,lado,32,8,0,24,10,42.3,57.2,0.5
12345,23446,2,lado,32,11,0,21,10,42.2,57.4,0.4
12345,23446,1,lado,32,11,0,21,10,41.8,58.0,0.2
13445,22366,1,esquina,24,1,0,23,8,56.4,43.0,0.6
13445,22366,4,centro,24,4,0,20,12,55.9,43.0,1.1
13445,22366,4,esquina,24,1,0,23,10,55.9,43.1,1.0
13445,22366,3,esquina,24,1,0,23,8,54.7,44.7,0.6
13445,22366,3,centro,24,4,0,20,12,54.3,45.3,0.4
13445,22366,5,esquina,24,1,0,23,10,53.4,46.0,0.6
13445,22366,4,lado,24,7,0,17,10,53.1,45.9,1.0
13445,22366,5,centro,24,4,0,20,12,52.3,47.0,0.7
13445,22366,1,centro,24,4,0,20,12,52.2,46.1,1.7
13445,22366,5,lado,24,7,0,17,10,48.5,50.2,1.3
13445,22366,3,lado,24,9,2,13,8,47.7,51.4,0.9
13445,22366,1,lado,24,12,0,12,8,43.6,55.5,0.9
13455,22366,1,esquina,24,1,0,23,8,57.3,42.2,0.5
13455,22366,5,esquina,24,1,0,23,10,56.0,43.2,0.8
13455,22366,5,centro,24,4,0,20,12,55.9,42.8,1.3
13455,22366,3,esquina,24,1,0,23,8,54.8,44.6,0.6
13455,22366,3,centro,24,4,0,20,12,54.3,45.6,0.1
13455,22366,4,esquina,24,1,0,23,10,53.4,46.0,0.6
13455,22366,5,lado,24,7,0,17,10,53.3,45.5,1.2
13455,22366,4,centro,24,4,0,20,12,52.2,47.0,0.8
13455,22366,1,centro,24,4,0,20,12,49.9,48.9,1.2
13455,22366,4,lado,24,7,0,17,10,48.1,50.4,1.5
