Despues de 4@A1 5@A2, le toca a el primero.
Teoria a 12 plies, 400 partidas a ve6 con esas jugadas forzadas.

jugada                     teoria                   ve6 1o/2o
------------------------------------------------------------------
4 a C3                     pierde en 12             41.8 / 57.5
1 a A3                     pierde en 12             33.8 / 62.3
2 a A3                     pierde en 12             30.5 / 66.3
3 a A3                     pierde en 12             23.3 / 74.8
4 a C2                     pierde en 12             19.0 / 74.3
4 a B3                     pierde en 12             18.8 / 75.3
4 a A3                     pierde en 10             17.8 / 80.3
1 a B3                     pierde en 12             15.5 / 78.0
2 a B3                     pierde en 12             15.5 / 81.0
1 a C1                     pierde en 12             15.3 / 79.3
3 a B3                     pierde en 12             15.3 / 80.0
3 a C2                     pierde en 12             14.8 / 83.3
3 a C1                     pierde en 12             14.0 / 81.3
3 a C3                     pierde en 10             13.8 / 83.0
2 a C1                     pierde en 12             12.8 / 82.3
1 a B1                     pierde en 12             10.8 / 88.0
2 a B1                     pierde en 12             10.3 / 88.5
2 a C3                     pierde en 12             10.3 / 85.5
1 a C3                     pierde en 12             9.3 / 86.0
4 a C1                     pierde en 12             9.3 / 87.5
2 a C2                     pierde en 12             8.8 / 86.5
1 a C2                     pierde en 12             8.3 / 86.5
3 a B1                     pierde en 12             1.3 / 96.0
4 a B1                     pierde en 10             0.0 / 98.3
mueve 4 a B1               pierde en 6              0.0 / 100.0

Jugadas que no pierden en teoria a 12 plies: 0 de 25.
