ap_pieza,ap_casilla,ap_celda,pieza,celda,tipo,en_linea,teoria,plies,gana1,gana2,sindef
1,esquina,A1,5,C3,esquina,1,BlackWin,14,2.9,94.6,2.5
1,esquina,A1,5,B3,lado,0,Draw,14,10.1,88.8,1.1
1,esquina,A1,3,A2,lado,1,WhiteWin,13,14.8,84.0,1.2
1,esquina,A1,5,A2,lado,1,Draw,14,15.8,82.2,1.9
1,esquina,A1,2,A2,lado,1,WhiteWin,13,17.6,80.9,1.6
1,esquina,A1,3,C3,esquina,1,Draw,14,44.0,52.9,3.2
1,esquina,A1,2,C3,esquina,1,Draw,14,46.0,52.0,1.9
1,esquina,A1,5,A3,esquina,1,WhiteWin,9,50.0,49.8,0.1
1,esquina,A1,1,C3,esquina,1,Draw,14,52.1,46.1,1.8
1,esquina,A1,3,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,2,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,1,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,3,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,2,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,1,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
1,esquina,A1,1,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,5,C3,esquina,1,BlackWin,14,3.8,94.6,1.6
2,esquina,A1,5,B3,lado,0,Draw,14,11.8,86.2,2.0
2,esquina,A1,3,A2,lado,1,WhiteWin,13,15.3,83.0,1.6
2,esquina,A1,5,A2,lado,1,Draw,14,15.6,82.3,2.1
2,esquina,A1,3,C3,esquina,1,Draw,14,43.9,53.1,3.0
2,esquina,A1,1,C3,esquina,1,Draw,14,46.0,53.0,1.0
2,esquina,A1,2,C3,esquina,1,Draw,14,45.8,52.0,2.2
2,esquina,A1,5,A3,esquina,1,WhiteWin,9,49.3,50.2,0.5
2,esquina,A1,3,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,3,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,2,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,2,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,2,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,1,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,1,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
2,esquina,A1,1,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,5,C3,esquina,1,BlackWin,14,8.7,90.2,1.1
3,esquina,A1,5,B3,lado,0,Draw,14,12.3,85.9,1.8
3,esquina,A1,5,A2,lado,1,Draw,14,14.3,83.9,1.8
3,esquina,A1,2,C3,esquina,1,Draw,14,38.9,59.9,1.2
3,esquina,A1,1,C3,esquina,1,Draw,14,44.6,53.0,2.4
3,esquina,A1,3,C3,esquina,1,WhiteWin,13,46.1,51.2,2.6
3,esquina,A1,5,A3,esquina,1,WhiteWin,9,49.2,49.8,0.9
3,esquina,A1,3,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,3,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,3,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,2,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,2,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,2,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,1,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,1,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
3,esquina,A1,1,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,5,A2,lado,1,BlackWin,14,15.6,82.5,1.9
4,esquina,A1,5,B3,lado,0,Draw,14,23.4,74.3,2.3
4,esquina,A1,3,C3,esquina,1,WhiteWin,13,28.1,70.2,1.8
4,esquina,A1,2,C3,esquina,1,Draw,14,32.4,63.7,4.0
4,esquina,A1,1,C3,esquina,1,Draw,14,41.1,55.8,3.1
4,esquina,A1,5,A3,esquina,1,WhiteWin,9,48.4,50.2,1.4
4,esquina,A1,5,C3,esquina,1,WhiteWin,9,49.1,50.0,0.9
4,esquina,A1,3,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,3,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,3,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,2,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,2,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,2,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,1,B3,lado,0,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,1,A3,esquina,1,WhiteWin,7,100.0,0.0,0.0
4,esquina,A1,1,A2,lado,1,WhiteWin,7,100.0,0.0,0.0
1,lado,A2,5,C2,lado,1,Draw,14,5.2,93.4,1.4
1,lado,A2,5,B1,lado,0,BlackWin,14,9.3,88.7,2.0
1,lado,A2,3,A1,esquina,1,Draw,14,20.4,78.7,0.9
1,lado,A2,5,A1,esquina,1,BlackWin,14,20.1,78.0,1.9
1,lado,A2,2,A1,esquina,1,Draw,14,25.3,72.2,2.5
1,lado,A2,5,C1,esquina,0,WhiteWin,9,27.8,71.7,0.6
1,lado,A2,3,B1,lado,0,WhiteWin,9,34.6,64.8,0.6
1,lado,A2,2,B1,lado,0,WhiteWin,9,36.8,62.9,0.3
1,lado,A2,1,B1,lado,0,WhiteWin,9,42.5,57.4,0.1
1,lado,A2,3,C2,lado,1,WhiteWin,9,55.0,43.1,1.9
1,lado,A2,1,C2,lado,1,WhiteWin,9,58.4,40.9,0.8
1,lado,A2,1,C1,esquina,0,WhiteWin,9,57.0,40.9,2.1
1,lado,A2,2,C2,lado,1,WhiteWin,9,58.9,40.1,1.0
1,lado,A2,2,C1,esquina,0,WhiteWin,9,58.8,38.5,2.8
1,lado,A2,1,A1,esquina,1,WhiteWin,9,62.0,37.1,0.9
1,lado,A2,3,C1,esquina,0,WhiteWin,9,66.8,31.2,2.0
2,lado,A2,5,C2,lado,1,Draw,14,4.8,93.3,1.8
2,lado,A2,5,B1,lado,0,BlackWin,14,9.2,89.5,1.3
2,lado,A2,5,A1,esquina,1,BlackWin,14,20.6,77.4,1.9
2,lado,A2,3,A1,esquina,1,Draw,14,22.7,76.0,1.2
2,lado,A2,5,C1,esquina,0,WhiteWin,9,31.9,67.4,0.7
2,lado,A2,3,B1,lado,0,WhiteWin,9,36.8,62.1,1.1
2,lado,A2,2,B1,lado,0,WhiteWin,9,37.0,61.8,1.2
2,lado,A2,1,B1,lado,0,WhiteWin,9,41.6,57.8,0.6
2,lado,A2,2,C2,lado,1,WhiteWin,9,50.4,48.6,1.0
2,lado,A2,3,C2,lado,1,WhiteWin,9,51.9,46.2,1.9
2,lado,A2,2,A1,esquina,1,WhiteWin,9,52.8,45.7,1.5
2,lado,A2,2,C1,esquina,0,WhiteWin,9,56.2,41.9,1.9
2,lado,A2,1,C2,lado,1,WhiteWin,9,58.6,40.9,0.5
2,lado,A2,1,C1,esquina,0,WhiteWin,9,57.3,40.4,2.3
2,lado,A2,3,C1,esquina,0,WhiteWin,9,58.1,39.2,2.7
2,lado,A2,1,A1,esquina,1,WhiteWin,9,69.2,28.8,2.0
3,lado,A2,5,C2,lado,1,Draw,14,6.5,92.2,1.4
3,lado,A2,5,B1,lado,0,BlackWin,14,8.8,89.5,1.7
3,lado,A2,5,A1,esquina,1,BlackWin,14,19.8,78.2,2.1
3,lado,A2,3,B1,lado,0,WhiteWin,9,34.4,63.7,1.9
3,lado,A2,5,C1,esquina,0,WhiteWin,9,36.1,63.5,0.5
3,lado,A2,2,B1,lado,0,WhiteWin,9,39.1,60.1,0.8
3,lado,A2,3,A1,esquina,1,WhiteWin,9,40.5,58.4,1.1
3,lado,A2,1,B1,lado,0,WhiteWin,9,43.4,56.2,0.5
3,lado,A2,3,C2,lado,1,WhiteWin,9,43.4,55.3,1.4
3,lado,A2,2,C2,lado,1,WhiteWin,9,47.4,52.0,0.7
3,lado,A2,2,C1,esquina,0,WhiteWin,9,47.4,49.2,3.4
3,lado,A2,1,C2,lado,1,WhiteWin,9,53.9,45.6,0.5
3,lado,A2,1,C1,esquina,0,WhiteWin,9,53.2,44.7,2.1
3,lado,A2,3,C1,esquina,0,WhiteWin,9,55.8,41.1,3.1
3,lado,A2,2,A1,esquina,1,WhiteWin,9,65.8,31.4,2.8
3,lado,A2,1,A1,esquina,1,WhiteWin,9,67.0,31.0,1.9
4,lado,A2,5,B1,lado,0,BlackWin,14,12.7,85.6,1.8
4,lado,A2,5,C2,lado,1,Draw,14,13.0,85.0,1.9
4,lado,A2,5,A1,esquina,1,BlackWin,14,22.0,76.8,1.2
4,lado,A2,5,C1,esquina,0,WhiteWin,9,34.8,63.8,1.4
4,lado,A2,3,C2,lado,1,WhiteWin,9,41.7,57.6,0.7
4,lado,A2,2,C2,lado,1,WhiteWin,9,44.9,54.4,0.7
4,lado,A2,2,B1,lado,0,WhiteWin,9,46.4,52.8,0.8
4,lado,A2,3,B1,lado,0,WhiteWin,9,46.2,52.5,1.2
4,lado,A2,3,C1,esquina,0,WhiteWin,9,46.1,51.8,2.0
4,lado,A2,1,C2,lado,1,WhiteWin,9,48.5,50.8,0.7
4,lado,A2,1,B1,lado,0,WhiteWin,9,48.5,50.5,1.1
