white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
14455,23366,5,centro,24,4,0,20,16,12,56.9,42.6,0.5
14455,23366,4,esquina,24,1,0,23,5,10,56.9,41.9,1.2
14455,23366,5,esquina,24,1,0,23,5,10,56.7,42.4,0.9
14455,23366,4,centro,24,4,0,20,16,12,56.1,42.9,1.0
14455,23366,1,esquina,24,1,0,23,9,8,53.8,45.5,0.7
14455,23366,5,lado,24,7,0,17,12,10,49.2,49.3,1.5
14455,23366,4,lado,24,7,0,17,12,10,48.9,49.6,1.4
14455,23366,1,centro,24,4,0,20,24,12,43.5,54.1,2.3
14455,23366,1,lado,24,12,0,12,12,8,33.5,65.5,1.1
22455,13366,5,centro,24,4,0,20,16,12,55.9,43.6,0.6
22455,13366,5,esquina,24,1,0,23,5,10,55.2,43.7,1.1
22455,13366,4,esquina,24,1,0,23,5,10,54.2,44.2,1.6
22455,13366,2,esquina,24,1,0,23,7,8,53.0,46.4,0.7
22455,13366,4,centro,24,4,0,20,16,12,51.0,48.4,0.7
22455,13366,2,centro,24,4,0,20,20,12,49.3,49.5,1.2
22455,13366,5,lado,24,7,0,17,12,10,46.8,52.0,1.2
22455,13366,4,lado,24,7,0,17,12,10,43.5,55.4,1.2
22455,13366,2,lado,24,11,0,13,12,8,36.6,62.3,1.1
23455,12366,5,esquina,32,1,0,31,5,10,62.8,36.5,0.8
23455,12366,3,esquina,32,1,0,31,5,8,60.5,38.2,1.3
23455,12366,4,esquina,32,1,0,31,5,10,60.4,38.0,1.6
23455,12366,3,centro,32,4,0,28,20,12,60.2,39.2,0.6
23455,12366,2,esquina,32,1,0,31,7,8,59.8,39.1,1.1
23455,12366,5,centro,32,4,0,28,20,12,59.5,40.1,0.3
23455,12366,4,centro,32,4,0,28,20,12,58.0,41.5,0.6
23455,12366,2,centro,32,4,0,28,24,12,56.6,41.5,1.9
23455,12366,5,lado,32,9,0,23,15,10,52.8,45.5,1.8
23455,12366,4,lado,32,9,0,23,15,10,50.2,48.0,1.7
23455,12366,3,lado,32,11,2,19,15,8,45.4,53.0,1.6
23455,12366,2,lado,32,14,0,18,15,8,41.5,56.6,1.9
23455,12456,5,centro,40,4,0,36,24,12,64.3,35.2,0.4
23455,12456,5,esquina,40,2,0,38,6,10,59.6,39.3,1.1
23455,12456,4,esquina,40,2,0,38,8,8,56.0,42.9,1.1
23455,12456,2,esquina,40,2,0,38,10,8,55.9,43.4,0.8
23455,12456,3,esquina,40,2,0,38,10,8,55.6,43.1,1.2
23455,12456,5,lado,40,8,0,32,19,10,52.2,46.8,1.1
23455,12456,4,centro,40,8,0,32,24,12,51.1,47.8,1.1
23455,12456,2,centro,40,8,0,32,28,12,49.4,49.0,1.6
23455,12456,3,centro,40,8,0,32,28,12,48.2,50.5,1.3
23455,12456,3,lado,40,10,2,28,19,8,43.1,55.9,1.0
23455,12456,4,lado,40,10,2,28,19,8,41.6,56.9,1.4
23455,12456,2,lado,40,13,2,25,19,8,39.6,59.5,0.8
24455,12366,5,esquina,32,1,0,31,5,10,63.5,34.8,1.7
24455,12366,4,esquina,32,1,0,31,5,10,63.2,35.0,1.7
24455,12366,5,centro,32,4,0,28,20,12,61.8,37.4,0.8
24455,12366,4,centro,32,4,0,28,20,12,61.5,37.8,0.8
24455,12366,2,esquina,32,1,0,31,7,8,59.4,39.6,1.0
24455,12366,2,centro,32,4,0,28,24,12,56.6,41.5,1.9
24455,12366,4,lado,32,9,0,23,15,10,53.7,44.1,2.2
24455,12366,5,lado,32,9,0,23,15,10,53.5,44.7,1.9
24455,12366,2,lado,32,14,0,18,15,8,41.5,56.1,2.4
33455,12466,5,esquina,32,1,0,31,5,10,61.5,37.0,1.4
33455,12466,3,esquina,32,1,0,31,7,8,58.0,40.1,1.8
33455,12466,5,centro,32,4,0,28,20,10,57.8,41.7,0.5
33455,12466,4,esquina,32,1,0,31,5,8,57.6,41.5,0.8
33455,12466,4,centro,32,4,0,28,20,12,55.1,44.0,0.8
33455,12466,3,centro,32,4,0,28,24,12,51.9,46.8,1.4
33455,12466,5,lado,32,9,2,21,15,10,48.6,48.9,2.5
33455,12466,3,lado,32,12,1,19,15,8,44.8,52.9,2.4
33455,12466,4,lado,32,11,2,19,15,8,41.3,56.8,1.9
34455,12466,5,esquina,32,1,0,31,5,10,61.5,36.9,1.6
34455,12466,4,esquina,32,1,0,31,5,8,60.5,38.0,1.6
34455,12466,4,centro,32,4,0,28,20,12,59.4,40.1,0.5
34455,12466,5,centro,32,4,0,28,20,10,58.0,41.5,0.4
34455,12466,3,esquina,32,1,0,31,7,8,56.0,42.9,1.1
34455,12466,5,lado,32,9,2,21,15,10,49.6,48.5,1.9
34455,12466,3,centro,32,4,0,28,24,12,49.4,49.2,1.4
34455,12466,3,lado,32,12,1,19,15,8,44.0,53.9,2.1
34455,12466,4,lado,32,11,2,19,15,8,43.1,54.8,2.0
