white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
12344,11245,4,centro,32,4,0,28,12,12,68.7,30.4,0.9
12344,11245,4,esquina,32,2,0,30,6,10,60.4,38.5,1.1
12344,11245,2,esquina,32,2,0,30,8,8,58.1,41.1,0.8
12344,11245,1,esquina,32,2,0,30,10,8,57.8,41.5,0.7
12344,11245,3,esquina,32,2,0,30,8,10,56.5,42.8,0.7
12344,11245,2,centro,32,4,4,24,20,12,54.6,44.8,0.6
12344,11245,4,lado,32,6,0,26,16,10,54.4,44.1,1.5
12344,11245,3,centro,32,8,0,24,20,12,51.2,48.3,0.5
12344,11245,1,centro,32,4,4,24,24,12,50.0,48.2,1.8
12344,11245,3,lado,32,2,0,30,15,10,49.2,49.5,1.3
12344,11245,2,lado,32,8,2,22,16,8,41.5,57.4,1.1
12344,11245,1,lado,32,11,2,19,16,8,31.9,67.0,1.1
12344,12245,4,centro,32,4,0,28,12,12,66.5,32.8,0.8
12344,12245,4,esquina,32,2,0,30,6,10,58.1,41.1,0.7
12344,12245,2,esquina,32,2,0,30,8,8,56.4,43.2,0.5
12344,12245,1,esquina,32,2,0,30,10,8,55.2,43.9,0.9
12344,12245,3,esquina,32,2,0,30,8,10,54.0,45.3,0.7
12344,12245,2,centro,32,4,4,24,20,12,52.5,47.2,0.2
12344,12245,4,lado,32,6,0,26,16,10,52.0,46.4,1.6
12344,12245,3,centro,32,8,0,24,20,12,48.9,50.5,0.7
12344,12245,1,centro,32,4,4,24,24,12,48.5,49.9,1.6
12344,12245,3,lado,32,4,0,28,15,10,47.1,51.5,1.4
12344,12245,2,lado,32,9,3,20,16,8,36.8,62.0,1.1
12344,12245,1,lado,32,11,2,19,16,8,31.0,68.0,1.0
12344,12345,4,centro,40,4,0,36,24,12,60.1,39.6,0.2
12344,12345,4,esquina,40,2,0,38,6,10,54.5,44.6,0.8
12344,12345,2,esquina,40,2,0,38,10,8,51.8,47.5,0.7
12344,12345,1,esquina,40,2,0,38,12,8,51.7,47.9,0.5
12344,12345,3,esquina,40,2,0,38,8,8,50.9,48.5,0.6
12344,12345,4,lado,40,8,0,32,19,10,49.2,49.7,1.1
12344,12345,3,centro,40,8,0,32,24,12,47.8,51.8,0.5
12344,12345,2,centro,40,8,0,32,28,12,44.4,54.9,0.7
12344,12345,1,centro,40,8,0,32,32,12,42.8,55.9,1.4
12344,12345,3,lado,40,10,4,26,19,8,37.6,61.1,1.2
12344,12345,2,lado,40,13,2,25,19,8,36.5,62.8,0.7
12344,12345,1,lado,40,16,0,24,19,8,31.8,67.9,0.3
13344,12255,4,centro,24,4,0,20,16,12,58.0,41.5,0.5
13344,12255,3,esquina,24,1,0,23,5,10,57.2,41.5,1.2
13344,12255,3,centro,24,4,0,20,16,12,57.2,41.8,1.0
13344,12255,4,esquina,24,1,0,23,5,10,57.0,42.0,1.0
13344,12255,1,esquina,24,1,0,23,7,8,56.9,42.5,0.7
13344,12255,1,centro,24,4,0,20,20,12,52.1,45.8,2.0
13344,12255,4,lado,24,7,0,17,12,10,50.1,48.6,1.3
13344,12255,3,lado,24,7,0,17,12,10,49.5,49.0,1.5
13344,12255,1,lado,24,12,0,12,12,8,31.9,67.0,1.1
