2857 enfrentamiento(s), 5714 aperturas, 300 partidas a ve4 por apertura, teoria hasta 14 plies.
     50/5714  (2s)
    100/5714  (4s)
    150/5714  (7s)
    200/5714  (10s)
    250/5714  (13s)
    300/5714  (16s)
    350/5714  (20s)
    400/5714  (23s)
    450/5714  (27s)
    500/5714  (31s)
    550/5714  (34s)
    600/5714  (37s)
    650/5714  (41s)
    700/5714  (45s)
    750/5714  (49s)
    800/5714  (52s)
    850/5714  (56s)
    900/5714  (59s)
    950/5714  (63s)
   1000/5714  (67s)
   1050/5714  (71s)
   1100/5714  (75s)
   1150/5714  (79s)
   1200/5714  (83s)
   1250/5714  (87s)
   1300/5714  (90s)
   1350/5714  (94s)
   1400/5714  (97s)
   1450/5714  (101s)
   1500/5714  (104s)
   1550/5714  (109s)
   1600/5714  (112s)
   1650/5714  (116s)
   1700/5714  (120s)
   1750/5714  (124s)
   1800/5714  (127s)
   1850/5714  (131s)
   1900/5714  (134s)
   1950/5714  (138s)
   2000/5714  (142s)
   2050/5714  (145s)
   2100/5714  (149s)
   2150/5714  (153s)
   2200/5714  (157s)
   2250/5714  (161s)
   2300/5714  (165s)
   2350/5714  (169s)
   2400/5714  (173s)
   2450/5714  (177s)
   2500/5714  (181s)
   2550/5714  (185s)
   2600/5714  (189s)
   2650/5714  (193s)
   2700/5714  (196s)
   2750/5714  (200s)
   2800/5714  (204s)
   2850/5714  (208s)
   2900/5714  (212s)
   2950/5714  (217s)
   3000/5714  (221s)
   3050/5714  (225s)
   3100/5714  (229s)
   3150/5714  (233s)
   3200/5714  (237s)
   3250/5714  (240s)
   3300/5714  (244s)
   3350/5714  (249s)
   3400/5714  (253s)
   3450/5714  (258s)
   3500/5714  (263s)
   3550/5714  (267s)
   3600/5714  (271s)
   3650/5714  (275s)
   3700/5714  (279s)
   3750/5714  (282s)
   3800/5714  (285s)
   3850/5714  (288s)
   3900/5714  (291s)
   3950/5714  (294s)
   4000/5714  (297s)
   4050/5714  (300s)
   4100/5714  (303s)
   4150/5714  (306s)
   4200/5714  (309s)
   4250/5714  (312s)
   4300/5714  (315s)
   4350/5714  (318s)
   4400/5714  (321s)
   4450/5714  (324s)
   4500/5714  (327s)
   4550/5714  (330s)
   4600/5714  (334s)
   4650/5714  (337s)
   4700/5714  (340s)
   4750/5714  (343s)
   4800/5714  (346s)
   4850/5714  (349s)
   4900/5714  (351s)
   4950/5714  (355s)
   5000/5714  (358s)
   5050/5714  (361s)
   5100/5714  (363s)
   5150/5714  (367s)
   5200/5714  (370s)
   5250/5714  (373s)
   5300/5714  (376s)
   5350/5714  (379s)
   5400/5714  (382s)
   5450/5714  (384s)
   5500/5714  (386s)
   5550/5714  (388s)
   5600/5714  (391s)
   5650/5714  (393s)
   5700/5714  (395s)
   5714/5714  (397s)
Escrito apc_ascsc.csv (5714 filas) y apc_ascsc_resumen.csv (2857 filas), 397s
