white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11122,23333,segundo,18.3,1 esquina,15.0,5,7,2
11122,23334,segundo,18.3,1 esquina,15.0,5,7,2
11122,23335,segundo,18.3,1 esquina,15.0,5,7,2
11122,23344,segundo,18.3,1 esquina,15.0,5,7,2
11122,23345,segundo,18.3,1 esquina,15.0,5,7,2
11122,23355,segundo,18.3,1 esquina,15.0,5,7,2
11122,23444,segundo,18.3,1 esquina,15.0,5,7,2
11122,23445,segundo,18.3,1 esquina,15.0,5,7,2
11122,23455,segundo,18.3,1 esquina,15.0,5,7,2
11122,23555,segundo,18.3,1 esquina,15.0,5,7,2
11122,24444,segundo,18.3,1 esquina,15.0,5,7,2
11122,24445,segundo,18.3,1 esquina,15.0,5,7,2
11122,24455,segundo,18.3,1 esquina,15.0,5,7,2
11122,24555,segundo,18.3,1 esquina,15.0,5,7,2
11122,25555,segundo,18.3,1 esquina,15.0,5,7,2
11122,33333,segundo,18.7,1 esquina,15.2,5,7,2
11122,33334,segundo,18.7,1 esquina,15.2,5,7,2
11122,33335,segundo,18.7,1 esquina,15.2,5,7,2
11122,33344,segundo,18.7,1 esquina,15.2,5,7,2
11122,33345,segundo,18.7,1 esquina,15.2,5,7,2
11122,33355,segundo,18.7,1 esquina,15.2,5,7,2
11122,33444,segundo,18.7,1 esquina,15.2,5,7,2
11122,33445,segundo,18.7,1 esquina,15.2,5,7,2
11122,33455,segundo,18.7,1 esquina,15.2,5,7,2
11122,33555,segundo,18.7,1 esquina,15.2,5,7,2
11122,34444,segundo,18.7,1 esquina,15.2,5,7,2
11122,34445,segundo,18.7,1 esquina,15.2,5,7,2
11122,34455,segundo,18.7,1 esquina,15.2,5,7,2
11122,34555,segundo,18.7,1 esquina,15.2,5,7,2
11122,35555,segundo,18.7,1 esquina,15.2,5,7,2
11122,44444,segundo,18.7,1 esquina,15.2,5,7,2
11122,44445,segundo,18.7,1 esquina,15.2,5,7,2
11122,44455,segundo,18.7,1 esquina,15.2,5,7,2
11122,44555,segundo,18.7,1 esquina,15.2,5,7,2
11122,45555,segundo,18.7,1 esquina,15.2,5,7,2
11122,55555,segundo,18.7,1 esquina,15.2,5,7,2
11123,22333,segundo,23.7,1 esquina,19.3,5,7,2
11123,22334,segundo,23.7,1 esquina,19.3,5,7,2
11123,22335,segundo,23.7,1 esquina,19.3,5,7,2
11123,22344,segundo,23.7,1 esquina,19.3,5,7,2
11123,22345,segundo,23.7,1 esquina,19.3,5,7,2
11123,22355,segundo,23.7,1 esquina,19.3,5,7,2
11123,22444,segundo,21.3,1 esquina,17.2,5,7,2
11123,22445,segundo,21.3,1 esquina,17.2,5,7,2
11123,22455,segundo,21.3,1 esquina,17.2,5,7,2
11123,22555,segundo,21.3,1 esquina,17.2,5,7,2
11123,23333,segundo,20.0,1 esquina,17.2,5,7,2
11123,23334,segundo,20.0,1 esquina,17.2,5,7,2
11123,23335,segundo,20.0,1 esquina,17.2,5,7,2
11123,23344,segundo,20.0,1 esquina,17.2,5,7,2
11123,23345,segundo,20.0,1 esquina,17.2,5,7,2
11123,23355,segundo,20.0,1 esquina,17.2,5,7,2
11123,23444,segundo,19.0,1 esquina,16.0,5,7,2
11123,23445,segundo,19.0,1 esquina,16.0,5,7,2
11123,23455,segundo,19.0,1 esquina,16.0,5,7,2
11123,23555,segundo,19.0,1 esquina,16.0,5,7,2
11123,24444,segundo,18.7,1 esquina,15.5,5,7,2
11123,24445,segundo,18.7,1 esquina,15.5,5,7,2
11123,24455,segundo,18.7,1 esquina,15.5,5,7,2
11123,24555,segundo,18.7,1 esquina,15.5,5,7,2
11123,25555,segundo,18.7,1 esquina,15.5,5,7,2
11123,33333,segundo,17.7,1 esquina,14.7,5,7,2
11123,33334,segundo,17.7,1 esquina,14.7,5,7,2
11123,33335,segundo,17.7,1 esquina,14.7,5,7,2
11123,33344,segundo,17.7,1 esquina,14.7,5,7,2
11123,33345,segundo,17.7,1 esquina,14.7,5,7,2
11123,33355,segundo,17.7,1 esquina,14.7,5,7,2
11123,33444,segundo,18.3,1 esquina,15.0,5,7,2
11123,33445,segundo,18.3,1 esquina,15.0,5,7,2
