3475 enfrentamiento(s), 10425 aperturas, 300 partidas a ve4 por apertura, teoria hasta 14 plies.
     50/10425  (3s)
    100/10425  (5s)
    150/10425  (7s)
    200/10425  (10s)
    250/10425  (12s)
    300/10425  (15s)
    350/10425  (17s)
    400/10425  (20s)
    450/10425  (23s)
    500/10425  (25s)
    550/10425  (28s)
    600/10425  (30s)
    650/10425  (33s)
    700/10425  (36s)
    750/10425  (38s)
    800/10425  (41s)
    850/10425  (44s)
    900/10425  (47s)
    950/10425  (49s)
   1000/10425  (52s)
   1050/10425  (55s)
   1100/10425  (58s)
   1150/10425  (61s)
   1200/10425  (63s)
   1250/10425  (66s)
   1300/10425  (69s)
   1350/10425  (72s)
   1400/10425  (75s)
   1450/10425  (78s)
   1500/10425  (81s)
   1550/10425  (84s)
   1600/10425  (87s)
   1650/10425  (89s)
   1700/10425  (92s)
   1750/10425  (95s)
   1800/10425  (98s)
   1850/10425  (100s)
   1900/10425  (103s)
   1950/10425  (106s)
   2000/10425  (109s)
   2050/10425  (112s)
   2100/10425  (115s)
   2150/10425  (118s)
   2200/10425  (121s)
   2250/10425  (124s)
   2300/10425  (127s)
   2350/10425  (129s)
   2400/10425  (132s)
   2450/10425  (135s)
   2500/10425  (138s)
   2550/10425  (141s)
   2600/10425  (144s)
   2650/10425  (147s)
   2700/10425  (151s)
   2750/10425  (153s)
   2800/10425  (156s)
   2850/10425  (159s)
   2900/10425  (162s)
   2950/10425  (165s)
   3000/10425  (168s)
   3050/10425  (171s)
   3100/10425  (173s)
   3150/10425  (176s)
   3200/10425  (179s)
   3250/10425  (182s)
   3300/10425  (185s)
   3350/10425  (188s)
   3400/10425  (191s)
   3450/10425  (194s)
   3500/10425  (197s)
   3550/10425  (200s)
   3600/10425  (203s)
   3650/10425  (206s)
   3700/10425  (208s)
   3750/10425  (211s)
   3800/10425  (214s)
   3850/10425  (217s)
   3900/10425  (220s)
   3950/10425  (223s)
   4000/10425  (226s)
   4050/10425  (229s)
   4100/10425  (231s)
   4150/10425  (234s)
   4200/10425  (236s)
   4250/10425  (239s)
   4300/10425  (242s)
   4350/10425  (245s)
   4400/10425  (249s)
   4450/10425  (252s)
   4500/10425  (255s)
   4550/10425  (258s)
   4600/10425  (261s)
   4650/10425  (263s)
   4700/10425  (266s)
   4750/10425  (269s)
   4800/10425  (271s)
   4850/10425  (274s)
   4900/10425  (276s)
   4950/10425  (278s)
   5000/10425  (280s)
   5050/10425  (282s)
   5100/10425  (284s)
   5150/10425  (286s)
   5200/10425  (288s)
   5250/10425  (290s)
   5300/10425  (292s)
   5350/10425  (294s)
   5400/10425  (296s)
   5450/10425  (298s)
   5500/10425  (300s)
   5550/10425  (302s)
   5600/10425  (305s)
   5650/10425  (307s)
   5700/10425  (309s)
   5750/10425  (311s)
   5800/10425  (313s)
   5850/10425  (315s)
   5900/10425  (317s)
   5950/10425  (319s)
   6000/10425  (321s)
   6050/10425  (324s)
   6100/10425  (326s)
   6150/10425  (329s)
   6200/10425  (331s)
   6250/10425  (334s)
   6300/10425  (336s)
   6350/10425  (338s)
   6400/10425  (340s)
   6450/10425  (343s)
   6500/10425  (345s)
   6550/10425  (347s)
   6600/10425  (349s)
   6650/10425  (352s)
   6700/10425  (354s)
   6750/10425  (356s)
   6800/10425  (359s)
   6850/10425  (361s)
   6900/10425  (363s)
   6950/10425  (366s)
   7000/10425  (369s)
   7050/10425  (371s)
   7100/10425  (373s)
   7150/10425  (375s)
   7200/10425  (378s)
   7250/10425  (380s)
   7300/10425  (382s)
   7350/10425  (385s)
   7400/10425  (387s)
   7450/10425  (389s)
   7500/10425  (391s)
   7550/10425  (393s)
   7600/10425  (394s)
   7650/10425  (396s)
   7700/10425  (398s)
   7750/10425  (400s)
   7800/10425  (401s)
   7850/10425  (402s)
   7900/10425  (403s)
   7950/10425  (404s)
   8000/10425  (406s)
   8050/10425  (407s)
   8100/10425  (409s)
   8150/10425  (410s)
   8200/10425  (411s)
   8250/10425  (412s)
   8300/10425  (414s)
   8350/10425  (415s)
   8400/10425  (417s)
   8450/10425  (418s)
   8500/10425  (419s)
   8550/10425  (420s)
   8600/10425  (422s)
   8650/10425  (424s)
   8700/10425  (426s)
   8750/10425  (427s)
   8800/10425  (428s)
   8850/10425  (429s)
   8900/10425  (430s)
   8950/10425  (431s)
   9000/10425  (431s)
   9050/10425  (432s)
   9100/10425  (433s)
   9150/10425  (434s)
   9200/10425  (435s)
   9250/10425  (435s)
   9300/10425  (436s)
   9350/10425  (437s)
   9400/10425  (438s)
   9450/10425  (439s)
   9500/10425  (439s)
   9550/10425  (440s)
   9600/10425  (441s)
   9650/10425  (441s)
   9700/10425  (442s)
   9750/10425  (443s)
   9800/10425  (444s)
   9850/10425  (445s)
   9900/10425  (446s)
   9950/10425  (446s)
  10000/10425  (448s)
  10050/10425  (448s)
  10100/10425  (449s)
  10150/10425  (450s)
  10200/10425  (451s)
  10250/10425  (452s)
  10300/10425  (452s)
  10350/10425  (453s)
  10400/10425  (454s)
  10425/10425  (455s)
Escrito apc_desc.csv (10425 filas) y apc_desc_resumen.csv (3475 filas), 455s
