3128 enfrentamiento(s), 6256 aperturas, 300 partidas a ve4 por apertura, teoria hasta 14 plies.
     50/6256  (4s)
    100/6256  (7s)
    150/6256  (10s)
    200/6256  (14s)
    250/6256  (16s)
    300/6256  (20s)
    350/6256  (23s)
    400/6256  (27s)
    450/6256  (31s)
    500/6256  (35s)
    550/6256  (38s)
    600/6256  (42s)
    650/6256  (46s)
    700/6256  (49s)
    750/6256  (53s)
    800/6256  (57s)
    850/6256  (60s)
    900/6256  (64s)
    950/6256  (68s)
   1000/6256  (72s)
   1050/6256  (75s)
   1100/6256  (79s)
   1150/6256  (82s)
   1200/6256  (86s)
   1250/6256  (89s)
   1300/6256  (92s)
   1350/6256  (96s)
   1400/6256  (100s)
   1450/6256  (103s)
   1500/6256  (107s)
   1550/6256  (110s)
   1600/6256  (113s)
   1650/6256  (116s)
   1700/6256  (120s)
   1750/6256  (124s)
   1800/6256  (127s)
   1850/6256  (131s)
   1900/6256  (134s)
   1950/6256  (137s)
   2000/6256  (141s)
   2050/6256  (145s)
   2100/6256  (148s)
   2150/6256  (152s)
   2200/6256  (155s)
   2250/6256  (158s)
   2300/6256  (161s)
   2350/6256  (165s)
   2400/6256  (168s)
   2450/6256  (171s)
   2500/6256  (175s)
   2550/6256  (179s)
   2600/6256  (182s)
   2650/6256  (185s)
   2700/6256  (188s)
   2750/6256  (192s)
   2800/6256  (195s)
   2850/6256  (199s)
   2900/6256  (203s)
   2950/6256  (207s)
   3000/6256  (211s)
   3050/6256  (214s)
   3100/6256  (218s)
   3150/6256  (222s)
   3200/6256  (225s)
   3250/6256  (229s)
   3300/6256  (233s)
   3350/6256  (237s)
   3400/6256  (241s)
   3450/6256  (244s)
   3500/6256  (248s)
   3550/6256  (253s)
   3600/6256  (256s)
   3650/6256  (260s)
   3700/6256  (264s)
   3750/6256  (267s)
   3800/6256  (269s)
   3850/6256  (272s)
   3900/6256  (275s)
   3950/6256  (277s)
   4000/6256  (280s)
   4050/6256  (282s)
   4100/6256  (285s)
   4150/6256  (288s)
   4200/6256  (291s)
   4250/6256  (293s)
   4300/6256  (296s)
   4350/6256  (298s)
   4400/6256  (301s)
   4450/6256  (303s)
   4500/6256  (306s)
   4550/6256  (309s)
   4600/6256  (311s)
   4650/6256  (314s)
   4700/6256  (316s)
   4750/6256  (319s)
   4800/6256  (322s)
   4850/6256  (325s)
   4900/6256  (328s)
   4950/6256  (331s)
   5000/6256  (333s)
   5050/6256  (336s)
   5100/6256  (339s)
   5150/6256  (341s)
   5200/6256  (343s)
   5250/6256  (345s)
   5300/6256  (347s)
   5350/6256  (350s)
   5400/6256  (352s)
   5450/6256  (354s)
   5500/6256  (356s)
   5550/6256  (359s)
   5600/6256  (361s)
   5650/6256  (363s)
   5700/6256  (366s)
   5750/6256  (368s)
   5800/6256  (371s)
   5850/6256  (373s)
   5900/6256  (376s)
   5950/6256  (379s)
   6000/6256  (381s)
   6050/6256  (384s)
   6100/6256  (386s)
   6150/6256  (388s)
   6200/6256  (389s)
   6250/6256  (393s)
   6256/6256  (394s)
Escrito apc_descsc.csv (6256 filas) y apc_descsc_resumen.csv (3128 filas), 394s
