white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11244,22334,primero,43.7,1 esquina,40.4,0,5,2
11244,22335,primero,42.9,1 esquina,39.8,0,5,2
11245,22334,primero,44.2,1 esquina,41.0,0,5,2
11245,22335,primero,43.0,1 esquina,39.9,0,5,2
11245,22344,primero,42.9,1 esquina,39.6,0,5,2
11255,22334,primero,44.5,1 esquina,41.5,0,5,2
11255,22335,primero,43.7,1 esquina,40.4,0,5,2
11255,22344,primero,44.7,1 esquina,41.4,0,5,2
11255,22345,primero,43.8,1 esquina,40.3,0,5,2
11255,22445,primero,43.7,1 esquina,40.4,0,5,2
11334,22344,primero,45.8,1 esquina,43.8,0,5,2
11334,22345,primero,45.5,1 esquina,43.6,0,5,2
11334,22355,primero,44.5,1 esquina,42.2,0,5,2
11334,23334,primero,46.3,1 esquina,43.8,0,5,2
11334,23335,primero,45.8,1 esquina,43.3,0,5,2
11335,22344,primero,47.9,1 esquina,45.7,0,5,2
11335,22345,primero,47.5,1 esquina,45.2,0,5,2
11335,22355,primero,45.8,1 esquina,43.8,0,5,2
11335,23334,primero,47.3,1 esquina,44.9,0,5,2
11335,23335,primero,46.3,1 esquina,43.8,0,5,2
11344,22445,primero,40.3,1 esquina,39.0,0,5,2
11344,23355,primero,44.7,1 esquina,42.5,0,5,2
11344,33345,primero,44.5,1 esquina,41.5,0,5,2
11345,22445,primero,44.2,1 esquina,42.2,0,5,2
11345,22455,primero,41.3,1 esquina,39.8,0,5,2
11345,23355,primero,46.0,1 esquina,43.6,0,5,2
11345,23444,primero,44.0,1 esquina,41.0,0,5,2
11345,23445,primero,43.2,1 esquina,40.0,0,5,2
11345,33345,primero,46.6,1 esquina,43.2,0,5,2
11355,22445,primero,50.8,1 esquina,48.8,0,5,2
11355,22455,primero,47.2,1 esquina,45.3,0,5,2
11355,23445,primero,46.6,1 esquina,44.3,0,5,2
11355,23455,primero,44.0,1 esquina,41.5,0,5,2
11355,24445,primero,44.2,1 esquina,42.0,0,5,2
11355,33345,primero,48.7,1 esquina,45.2,0,5,2
11355,33445,primero,43.7,1 esquina,40.4,0,5,2
11445,22455,primero,45.8,1 esquina,43.8,0,5,2
11445,23455,primero,46.3,1 esquina,44.0,0,5,2
11445,24445,primero,46.3,1 esquina,43.8,0,5,2
11445,33455,primero,45.8,1 esquina,43.8,0,5,2
11445,34445,primero,46.3,1 esquina,43.8,0,5,2
11455,23555,primero,41.3,1 esquina,39.6,0,5,2
12344,33345,primero,43.8,1 esquina,40.5,0,5,2
12345,33345,primero,45.5,1 esquina,42.0,0,5,2
12355,33345,primero,47.7,1 esquina,44.3,0,5,2
12355,33445,primero,42.4,1 esquina,39.3,0,5,2
12444,33445,primero,45.8,1 esquina,43.7,0,5,2
12444,33455,primero,42.5,1 esquina,40.2,0,5,2
12445,33455,primero,45.1,1 esquina,43.2,0,5,2
12445,34445,primero,45.8,1 esquina,43.5,0,5,2
12555,34555,primero,49.8,1 esquina,47.5,0,5,2
22344,33345,primero,44.5,2 esquina,41.5,0,5,2
22345,33345,primero,46.6,2 esquina,43.2,0,5,2
22355,33345,primero,48.7,2 esquina,45.2,0,5,2
22355,33445,primero,43.7,2 esquina,40.4,0,5,2
22445,33455,primero,45.8,2 esquina,43.8,0,5,2
22445,34445,primero,46.3,2 esquina,43.8,0,5,2
