white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11244,22334,1,esquina,7,0,0,7,5,0,71.5,28.0,0.5
11244,22334,1,lado,7,0,0,7,7,0,62.7,37.2,0.2
11244,22335,1,esquina,7,0,0,7,5,0,69.7,30.3,0.0
11244,22335,1,lado,7,0,0,7,7,0,62.2,37.7,0.2
11245,22334,1,esquina,7,0,0,7,5,0,74.3,24.7,1.0
11245,22334,1,lado,7,0,0,7,7,0,64.0,35.2,0.8
11245,22335,1,esquina,7,0,0,7,5,0,69.7,30.3,0.0
11245,22335,1,lado,7,0,0,7,7,0,62.3,37.7,0.0
11245,22344,1,esquina,7,0,0,7,5,0,68.7,28.7,2.7
11245,22344,1,lado,7,0,2,5,7,0,60.2,37.8,2.0
11255,22334,1,esquina,7,0,0,7,5,0,74.5,24.8,0.7
11255,22334,1,lado,7,0,0,7,7,0,64.0,35.0,1.0
11255,22335,1,esquina,7,0,0,7,5,0,71.5,28.0,0.5
11255,22335,1,lado,7,0,0,7,7,0,62.7,37.2,0.2
11255,22344,1,esquina,7,0,0,7,5,0,74.3,24.8,0.8
11255,22344,1,lado,7,0,0,7,7,0,63.7,35.2,1.2
11255,22345,1,esquina,7,0,0,7,5,0,71.5,28.0,0.5
11255,22345,1,lado,7,0,0,7,7,0,62.7,37.2,0.2
11255,22445,1,esquina,7,0,0,7,5,0,71.5,28.0,0.5
11255,22445,1,lado,7,0,0,7,7,0,62.7,37.2,0.2
11334,22344,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
11334,22344,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
11334,22345,1,esquina,7,0,0,7,5,0,78.5,21.5,0.0
11334,22345,1,lado,7,0,0,7,7,0,64.7,34.7,0.7
11334,22355,1,esquina,7,0,0,7,5,0,78.3,21.7,0.0
11334,22355,1,lado,7,0,0,7,7,0,63.8,34.8,1.3
11334,23334,1,esquina,7,0,0,7,5,0,76.3,21.8,1.8
11334,23334,1,lado,7,0,0,7,7,0,71.7,27.8,0.5
11334,23335,1,esquina,7,0,0,7,5,0,76.3,23.5,0.2
11334,23335,1,lado,7,0,0,7,7,0,70.3,29.2,0.5
11335,22344,1,esquina,7,0,0,7,5,0,78.5,19.0,2.5
11335,22344,1,lado,7,0,0,7,7,0,66.7,21.7,11.7
11335,22345,1,esquina,7,0,0,7,5,0,78.3,20.3,1.3
11335,22345,1,lado,7,0,0,7,7,0,65.5,28.3,6.2
11335,22355,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
11335,22355,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
11335,23334,1,esquina,7,0,0,7,5,0,80.2,18.2,1.7
11335,23334,1,lado,7,0,0,7,7,0,71.5,26.3,2.2
11335,23335,1,esquina,7,0,0,7,5,0,76.3,21.8,1.8
11335,23335,1,lado,7,0,0,7,7,0,71.7,27.8,0.5
11344,22445,1,esquina,7,0,0,7,5,0,58.5,41.0,0.5
11344,22445,1,lado,7,0,0,7,7,0,49.2,50.5,0.3
11344,23355,1,esquina,7,0,0,7,5,0,86.8,13.2,0.0
11344,23355,1,lado,7,0,0,7,7,0,71.0,28.5,0.5
11344,33345,1,esquina,7,0,0,7,5,0,76.2,23.8,0.0
11344,33345,1,lado,7,0,0,7,7,0,55.0,45.0,0.0
11345,22445,1,esquina,7,0,0,7,5,0,61.8,36.7,1.5
11345,22445,1,lado,7,0,0,7,7,0,58.8,37.7,3.5
11345,22455,1,esquina,7,0,0,7,5,0,61.5,37.7,0.8
11345,22455,1,lado,7,0,0,7,7,0,54.7,43.7,1.7
11345,23355,1,esquina,7,0,0,7,5,0,86.8,12.7,0.5
11345,23355,1,lado,7,0,0,7,7,0,71.7,27.0,1.3
11345,23444,1,lado,7,0,0,7,7,0,66.3,28.3,5.3
11345,23444,1,esquina,7,0,0,7,5,0,64.7,30.2,5.2
11345,23445,1,esquina,7,0,0,7,5,0,61.7,37.2,1.2
11345,23445,1,lado,7,0,0,7,7,0,61.0,35.7,3.3
11345,33345,1,esquina,7,0,0,7,5,0,82.7,16.2,1.2
11345,33345,1,lado,7,0,0,7,7,0,70.2,28.0,1.8
11355,22445,1,esquina,7,0,0,7,5,0,88.8,3.7,7.5
11355,22445,1,lado,7,0,0,7,7,0,78.2,14.0,7.8
11355,22455,1,esquina,7,0,0,7,5,0,75.5,19.2,5.3
11355,22455,1,lado,7,0,0,7,7,0,61.3,32.0,6.7
11355,23445,1,esquina,7,0,0,7,5,0,77.8,15.0,7.2
11355,23445,1,lado,7,0,0,7,7,0,70.8,22.3,6.8
11355,23455,1,esquina,7,0,0,7,5,0,67.3,28.5,4.2
11355,23455,1,lado,7,0,0,7,7,0,57.7,37.0,5.3
11355,24445,1,esquina,7,0,0,7,5,0,67.7,22.7,9.7
11355,24445,1,lado,7,0,0,7,7,0,59.8,31.5,8.7
11355,33345,1,esquina,7,0,0,7,5,0,85.3,13.5,1.2
11355,33345,1,lado,7,0,0,7,7,0,71.2,27.8,1.0
11355,33445,1,esquina,7,0,0,7,5,0,71.5,28.0,0.5
11355,33445,1,lado,7,0,0,7,7,0,62.7,37.2,0.2
11445,22455,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
11445,22455,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
11445,23455,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
11445,23455,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
11445,24445,1,esquina,7,0,0,7,5,0,76.3,21.8,1.8
11445,24445,1,lado,7,0,0,7,7,0,71.7,27.8,0.5
11445,33455,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
11445,33455,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
11445,34445,1,esquina,7,0,0,7,5,0,76.3,21.8,1.8
11445,34445,1,lado,7,0,0,7,7,0,71.7,27.8,0.5
11455,23555,1,esquina,7,0,0,7,5,0,58.7,40.7,0.7
11455,23555,1,lado,7,0,0,7,7,0,49.5,50.2,0.3
12344,33345,1,esquina,7,0,0,7,5,0,76.2,23.8,0.0
12344,33345,1,lado,7,0,0,7,7,0,55.0,45.0,0.0
12345,33345,1,esquina,7,0,0,7,5,0,82.7,16.2,1.2
12345,33345,1,lado,7,0,0,7,7,0,70.2,28.0,1.8
12355,33345,1,esquina,7,0,0,7,5,0,85.3,13.5,1.2
12355,33345,1,lado,7,0,0,7,7,0,71.2,27.8,1.0
12355,33445,1,esquina,7,0,0,7,5,0,71.5,27.8,0.7
12355,33445,1,lado,7,0,0,7,7,0,62.7,37.0,0.3
12444,33445,1,esquina,7,0,0,7,5,0,85.3,14.7,0.0
12444,33445,1,lado,7,0,0,7,7,0,68.2,31.5,0.3
12444,33455,1,esquina,7,0,0,7,5,0,75.3,23.8,0.8
12444,33455,1,lado,7,0,0,7,7,0,59.3,40.3,0.3
12445,33455,1,esquina,7,0,0,7,5,0,78.2,20.8,1.0
12445,33455,1,lado,7,0,0,7,7,0,64.7,32.3,3.0
12445,34445,1,esquina,7,0,0,7,5,0,76.3,21.8,1.8
12445,34445,1,lado,7,0,0,7,7,0,71.7,27.8,0.5
12555,34555,1,esquina,7,0,0,7,5,0,85.7,13.0,1.3
12555,34555,1,lado,7,0,0,7,7,0,71.2,25.3,3.5
22344,33345,2,esquina,7,0,0,7,5,0,76.2,23.8,0.0
22344,33345,2,lado,7,0,0,7,7,0,55.0,45.0,0.0
22345,33345,2,esquina,7,0,0,7,5,0,82.7,16.2,1.2
22345,33345,2,lado,7,0,0,7,7,0,70.2,28.0,1.8
22355,33345,2,esquina,7,0,0,7,5,0,85.3,13.5,1.2
22355,33345,2,lado,7,0,0,7,7,0,71.2,27.8,1.0
22355,33445,2,esquina,7,0,0,7,5,0,71.5,28.0,0.5
22355,33445,2,lado,7,0,0,7,7,0,62.7,37.2,0.2
22445,33455,2,esquina,7,0,0,7,5,0,78.2,20.8,1.0
22445,33455,2,lado,7,0,0,7,7,0,64.7,32.3,3.0
22445,34445,2,esquina,7,0,0,7,5,0,76.3,21.8,1.8
22445,34445,2,lado,7,0,0,7,7,0,71.7,27.8,0.5
