white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11333,22333,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11333,22333,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11333,22334,1,esquina,7,0,0,7,5,0,55.0,45.0,0.0
11333,22334,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
11333,22335,1,esquina,7,0,0,7,5,0,55.0,45.0,0.0
11333,22335,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
11335,23334,1,esquina,7,0,0,7,5,0,54.3,44.9,0.9
11335,23334,1,lado,7,0,0,7,7,0,43.4,55.5,1.1
11345,22444,1,esquina,7,0,0,7,5,0,52.7,43.5,3.8
11345,22444,1,lado,7,0,0,7,7,0,44.9,50.9,4.1
11345,23445,1,esquina,7,0,0,7,5,0,49.8,48.4,1.8
11345,23445,1,lado,7,0,0,7,7,0,39.7,58.9,1.4
11355,23445,1,esquina,7,0,0,7,5,0,55.3,40.5,4.1
11355,23445,1,lado,7,0,0,7,7,0,46.5,49.6,3.9
11355,24444,1,esquina,7,0,0,7,5,0,52.5,42.6,4.9
11355,24444,1,lado,7,0,0,7,7,0,44.1,50.7,5.2
11355,33345,1,esquina,7,0,0,7,5,0,58.6,39.7,1.7
11355,33345,1,lado,7,0,0,7,7,0,46.4,51.1,2.5
11444,22444,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11444,22444,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11444,22445,1,esquina,7,0,0,7,5,0,55.0,45.0,0.0
11444,22445,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
11444,23444,1,esquina,7,0,0,7,5,0,56.2,42.9,0.9
11444,23444,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11444,23445,1,esquina,7,0,0,7,5,0,55.1,44.9,0.0
11444,23445,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
11444,33444,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11444,33444,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11444,33445,1,esquina,7,0,0,7,5,0,55.0,45.0,0.0
11444,33445,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
11555,22555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11555,22555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11555,23555,1,esquina,7,0,0,7,5,0,56.2,42.9,0.9
11555,23555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11555,24555,1,esquina,7,0,0,7,5,0,56.2,42.9,0.9
11555,24555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11555,33555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11555,33555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11555,34555,1,esquina,7,0,0,7,5,0,56.2,42.9,0.9
11555,34555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
11555,44555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
11555,44555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
12355,33345,1,esquina,7,0,0,7,5,0,58.6,39.7,1.7
12355,33345,1,lado,7,0,0,7,7,0,46.4,51.1,2.5
12444,33444,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
12444,33444,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
12444,33445,1,esquina,7,0,0,7,5,0,55.1,44.9,0.0
12444,33445,1,lado,7,0,0,7,7,0,46.3,53.7,0.1
12555,33555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
12555,33555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
12555,34555,1,esquina,7,0,0,7,5,0,56.2,42.9,0.9
12555,34555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
12555,44555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
12555,44555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
13555,44555,1,esquina,7,0,0,7,5,0,56.1,43.0,0.9
13555,44555,1,lado,7,0,0,7,7,0,48.6,50.1,1.3
22355,33345,2,esquina,7,0,0,7,5,0,58.6,39.7,1.7
22355,33345,2,lado,7,0,0,7,7,0,46.4,51.1,2.5
22444,33444,2,esquina,7,0,0,7,5,0,56.1,43.0,0.9
22444,33444,2,lado,7,0,0,7,7,0,48.6,50.1,1.3
22444,33445,2,esquina,7,0,0,7,5,0,55.0,45.0,0.0
22444,33445,2,lado,7,0,0,7,7,0,46.3,53.7,0.1
22555,33555,2,esquina,7,0,0,7,5,0,56.1,43.0,0.9
22555,33555,2,lado,7,0,0,7,7,0,48.6,50.1,1.3
22555,34555,2,esquina,7,0,0,7,5,0,56.2,42.9,0.9
22555,34555,2,lado,7,0,0,7,7,0,48.6,50.1,1.3
22555,44555,2,esquina,7,0,0,7,5,0,56.1,43.0,0.9
22555,44555,2,lado,7,0,0,7,7,0,48.6,50.1,1.3
23555,44555,2,esquina,7,0,0,7,5,0,56.1,43.0,0.9
23555,44555,2,lado,7,0,0,7,7,0,48.6,50.1,1.3
33555,44555,3,esquina,7,0,0,7,5,0,56.1,43.0,0.9
33555,44555,3,lado,7,0,0,7,7,0,48.6,50.1,1.3
