white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11333,22333,primero,56.1,1 esquina,52.3,0,5,2
11333,22334,primero,55.0,1 esquina,50.6,0,5,2
11333,22335,primero,55.0,1 esquina,50.6,0,5,2
11335,23334,primero,54.3,1 esquina,48.8,0,5,2
11345,22444,primero,52.7,1 esquina,48.8,0,5,2
11345,23445,primero,49.8,1 esquina,44.8,0,5,2
11355,23445,primero,55.3,1 esquina,50.9,0,5,2
11355,24444,primero,52.5,1 esquina,48.3,0,5,2
11355,33345,primero,58.6,1 esquina,52.5,0,5,2
11444,22444,primero,56.1,1 esquina,52.3,0,5,2
11444,22445,primero,55.0,1 esquina,50.6,0,5,2
11444,23444,primero,56.2,1 esquina,52.4,0,5,2
11444,23445,primero,55.1,1 esquina,50.7,0,5,2
11444,33444,primero,56.1,1 esquina,52.3,0,5,2
11444,33445,primero,55.0,1 esquina,50.6,0,5,2
11555,22555,primero,56.1,1 esquina,52.3,0,5,2
11555,23555,primero,56.2,1 esquina,52.4,0,5,2
11555,24555,primero,56.2,1 esquina,52.4,0,5,2
11555,33555,primero,56.1,1 esquina,52.3,0,5,2
11555,34555,primero,56.2,1 esquina,52.4,0,5,2
11555,44555,primero,56.1,1 esquina,52.3,0,5,2
12355,33345,primero,58.6,1 esquina,52.5,0,5,2
12444,33444,primero,56.1,1 esquina,52.3,0,5,2
12444,33445,primero,55.1,1 esquina,50.7,0,5,2
12555,33555,primero,56.1,1 esquina,52.3,0,5,2
12555,34555,primero,56.2,1 esquina,52.4,0,5,2
12555,44555,primero,56.1,1 esquina,52.3,0,5,2
13555,44555,primero,56.1,1 esquina,52.3,0,5,2
22355,33345,primero,58.6,2 esquina,52.5,0,5,2
22444,33444,primero,56.1,2 esquina,52.3,0,5,2
22444,33445,primero,55.0,2 esquina,50.6,0,5,2
22555,33555,primero,56.1,2 esquina,52.3,0,5,2
22555,34555,primero,56.2,2 esquina,52.4,0,5,2
22555,44555,primero,56.1,2 esquina,52.3,0,5,2
23555,44555,primero,56.1,2 esquina,52.3,0,5,2
33555,44555,primero,56.1,3 esquina,52.3,0,5,2
