white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11144,22235,primero,46.1,4 esquina,44.3,0,4,3
11144,22335,primero,45.8,4 esquina,44.3,0,4,3
11144,23335,primero,45.7,4 esquina,44.1,0,4,3
11144,33335,primero,45.9,4 esquina,44.2,0,4,3
11234,12235,primero,47.7,4 esquina,46.8,0,4,3
11244,12235,primero,52.4,4 esquina,50.5,0,4,3
11244,12335,primero,50.1,4 esquina,48.1,0,4,3
11244,13335,primero,48.4,4 esquina,46.9,0,4,3
11244,22335,primero,47.4,4 esquina,45.6,0,4,3
11244,23335,primero,46.0,4 esquina,44.5,0,4,3
11244,33335,primero,45.9,4 esquina,44.2,0,4,3
11334,12335,primero,50.4,4 lado,47.7,0,5,3
11334,22335,primero,50.0,4 lado,47.3,0,5,3
12233,11234,primero,49.9,3 centro,47.5,0,4,3
12233,11235,primero,49.9,3 centro,47.5,0,4,3
12244,11245,primero,49.9,4 centro,47.5,0,4,3
12244,12335,primero,51.1,4 esquina,49.4,0,4,3
12244,13335,primero,48.9,4 esquina,47.3,0,4,3
12244,23335,primero,47.0,4 esquina,45.5,0,4,3
12244,33335,primero,45.9,4 esquina,44.2,0,4,3
12334,11335,primero,52.5,4 esquina,49.9,0,5,3
12334,12335,primero,51.0,4 lado,48.5,0,5,3
12334,22335,primero,50.7,4 lado,48.0,0,5,3
13344,11345,primero,49.9,4 centro,47.5,0,4,3
13344,22345,primero,49.5,4 centro,47.1,0,4,3
22244,13335,primero,48.9,4 esquina,47.6,0,4,3
22244,33335,primero,45.9,4 esquina,44.2,0,4,3
22334,11335,primero,52.8,4 esquina,50.4,0,5,3
22334,12335,primero,51.6,4 lado,49.2,0,5,3
23344,11345,primero,50.8,4 centro,48.3,0,4,3
23344,22345,primero,49.9,4 centro,47.5,0,4,3
33334,13335,primero,56.7,4 lado,53.4,0,5,3
33334,23335,primero,56.7,4 lado,53.4,0,5,3
33344,11345,primero,51.2,4 centro,49.2,0,4,3
33344,12345,primero,51.2,4 centro,49.2,0,4,3
33344,22345,primero,51.2,4 centro,49.2,0,4,3
