white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11144,22235,4,lado,8,0,0,8,6,0,46.8,52.7,0.5
11144,22235,4,esquina,8,0,0,8,5,0,44.2,55.0,0.8
11144,22235,4,centro,8,4,0,4,4,12,10.8,88.8,0.3
11144,22335,4,lado,8,0,0,8,6,0,46.8,52.8,0.3
11144,22335,4,esquina,8,0,0,8,5,0,44.0,55.8,0.2
11144,22335,4,centro,8,4,0,4,4,12,10.8,88.8,0.3
11144,23335,4,lado,8,0,0,8,6,0,46.8,52.8,0.3
11144,23335,4,esquina,8,0,0,8,5,0,44.0,55.7,0.3
11144,23335,4,centro,8,4,0,4,4,12,10.8,88.8,0.3
11144,33335,4,lado,8,0,0,8,6,0,46.8,52.7,0.5
11144,33335,4,esquina,8,0,0,8,5,0,44.0,55.7,0.3
11144,33335,4,centro,8,4,0,4,4,12,10.8,88.8,0.3
11234,12235,4,lado,8,0,0,8,6,0,57.8,41.8,0.3
11234,12235,4,esquina,8,0,0,8,5,0,44.7,54.0,1.3
11234,12235,4,centro,8,4,0,4,4,12,22.7,77.0,0.3
11244,12235,4,lado,8,0,0,8,6,0,60.5,38.3,1.2
11244,12235,4,esquina,8,0,0,8,5,0,56.5,43.2,0.3
11244,12235,4,centro,8,4,0,4,4,12,15.7,84.0,0.3
11244,12335,4,lado,8,0,0,8,6,0,62.7,36.2,1.2
11244,12335,4,esquina,8,0,0,8,5,0,58.0,41.8,0.2
11244,12335,4,centro,8,4,0,4,4,12,17.8,82.0,0.2
11244,13335,4,lado,8,0,0,8,6,0,59.8,38.8,1.3
11244,13335,4,esquina,8,0,0,8,5,0,56.5,43.2,0.3
11244,13335,4,centro,8,4,0,4,4,12,16.7,83.2,0.2
11244,22335,4,lado,8,0,0,8,6,0,57.2,41.3,1.5
11244,22335,4,esquina,8,0,0,8,5,0,53.0,46.8,0.2
11244,22335,4,centro,8,4,0,4,4,12,13.5,85.3,1.2
11244,23335,4,lado,8,0,0,8,6,0,55.7,42.7,1.7
11244,23335,4,esquina,8,0,0,8,5,0,51.7,48.0,0.3
11244,23335,4,centro,8,4,0,4,4,12,12.7,86.3,1.0
11244,33335,4,lado,8,0,0,8,6,0,46.8,52.7,0.5
11244,33335,4,esquina,8,0,0,8,5,0,44.0,55.7,0.3
11244,33335,4,centro,8,4,0,4,4,12,10.8,88.8,0.3
11334,12335,4,lado,8,0,0,8,6,0,58.5,41.5,0.0
11334,12335,4,esquina,8,0,0,8,5,0,58.5,41.5,0.0
11334,12335,4,centro,8,4,0,4,8,10,54.8,45.2,0.0
11334,22335,4,esquina,8,0,0,8,5,0,58.5,41.5,0.0
11334,22335,4,lado,8,0,0,8,6,0,57.7,42.3,0.0
11334,22335,4,centro,8,4,0,4,8,10,54.8,45.2,0.0
12233,11234,3,esquina,8,0,0,8,5,0,61.3,38.7,0.0
12233,11234,3,centro,8,0,0,8,4,0,57.5,42.5,0.0
12233,11234,3,lado,8,2,0,6,6,14,38.3,61.5,0.2
12233,11235,3,esquina,8,0,0,8,5,0,61.3,38.7,0.0
12233,11235,3,centro,8,0,0,8,4,0,57.5,42.5,0.0
12233,11235,3,lado,8,2,0,6,6,14,38.3,61.5,0.2
12244,11245,4,esquina,8,0,0,8,5,0,61.3,38.7,0.0
12244,11245,4,centro,8,0,0,8,4,0,57.5,42.5,0.0
12244,11245,4,lado,8,2,0,6,6,14,38.3,61.5,0.2
12244,12335,4,lado,8,0,0,8,6,0,63.0,36.2,0.8
