white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
12334,11335,4,esquina,7,0,2,5,5,0,51.7,47.3,1.0
12334,11335,4,lado,7,0,0,7,5,0,50.2,48.4,1.4
12334,12335,4,esquina,7,0,2,5,5,0,48.8,50.4,0.8
12334,12335,4,lado,7,0,0,7,5,0,48.4,50.5,1.1
12334,22335,4,lado,7,0,0,7,5,0,48.1,50.9,1.0
12334,22335,4,esquina,7,0,2,5,5,0,47.8,51.5,0.7
22334,11335,4,esquina,7,0,0,7,5,0,52.0,47.5,0.5
22334,11335,4,lado,7,0,0,7,5,0,51.7,47.0,1.3
22334,12335,4,esquina,7,0,2,5,5,0,50.0,49.0,1.0
22334,12335,4,lado,7,0,0,7,5,0,49.1,49.7,1.2
23334,13335,4,lado,7,0,0,7,5,0,47.9,51.9,0.2
23334,13335,4,esquina,7,0,2,5,5,0,47.2,52.3,0.5
33333,11334,3,lado,7,1,2,4,5,14,46.5,53.0,0.5
33333,11334,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33333,11335,3,lado,7,1,2,4,5,14,46.5,53.0,0.5
33333,11335,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33333,12334,3,lado,7,1,2,4,5,14,46.6,52.9,0.5
33333,12334,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33333,12335,3,lado,7,1,2,4,5,14,46.6,52.9,0.5
33333,12335,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33333,22334,3,lado,7,1,2,4,5,14,46.5,53.0,0.5
33333,22334,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33333,22335,3,lado,7,1,2,4,5,14,46.5,53.0,0.5
33333,22335,3,esquina,7,0,3,4,5,0,44.9,54.9,0.2
33334,13335,4,esquina,7,0,0,7,5,0,55.1,44.8,0.1
33334,13335,4,lado,7,0,0,7,5,0,54.1,45.7,0.2
33334,23335,4,esquina,7,0,0,7,5,0,55.1,44.8,0.1
33334,23335,4,lado,7,0,0,7,5,0,54.1,45.7,0.2
33334,33335,4,lado,7,0,0,7,5,0,50.0,49.9,0.1
33334,33335,4,esquina,7,0,0,7,5,0,49.3,50.6,0.1
44444,11445,4,lado,7,1,2,4,5,14,46.5,53.0,0.5
44444,11445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
44444,12445,4,lado,7,1,2,4,5,14,46.6,52.9,0.5
44444,12445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
44444,13445,4,lado,7,1,2,4,5,14,46.6,52.9,0.5
44444,13445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
44444,22445,4,lado,7,1,2,4,5,14,46.5,53.0,0.5
44444,22445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
44444,23445,4,lado,7,1,2,4,5,14,46.6,52.9,0.5
44444,23445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
44444,33445,4,lado,7,1,2,4,5,14,46.5,53.0,0.5
44444,33445,4,esquina,7,0,3,4,5,0,44.9,54.9,0.2
