white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
12334,11335,primero,50.7,4 lado,45.8,0,5,2
12334,12335,primero,47.5,4 lado,43.0,0,5,2
12334,22335,primero,45.9,4 lado,41.8,0,5,2
22334,11335,primero,51.9,4 lado,47.0,0,5,2
22334,12335,primero,48.8,4 lado,44.5,0,5,2
23334,13335,primero,46.8,4 lado,44.7,0,5,2
33333,11334,tablas,49.2,3 lado,47.6,0,5,2
33333,11335,tablas,49.2,3 lado,47.6,0,5,2
33333,12334,tablas,49.2,3 lado,47.6,0,5,2
33333,12335,tablas,49.2,3 lado,47.6,0,5,2
33333,22334,tablas,49.2,3 lado,47.6,0,5,2
33333,22335,tablas,49.2,3 lado,47.6,0,5,2
33334,13335,primero,58.7,4 lado,56.0,0,5,2
33334,23335,primero,58.7,4 lado,56.0,0,5,2
33334,33335,primero,46.9,4 lado,46.1,0,5,2
44444,11445,tablas,49.2,4 lado,47.6,0,5,2
44444,12445,tablas,49.2,4 lado,47.6,0,5,2
44444,13445,tablas,49.2,4 lado,47.6,0,5,2
44444,22445,tablas,49.2,4 lado,47.6,0,5,2
44444,23445,tablas,49.2,4 lado,47.6,0,5,2
44444,33445,tablas,49.2,4 lado,47.6,0,5,2
