1500 enfrentamiento(s), 7714 aperturas, 200 partidas a ve4 por apertura, teoria hasta 14 plies.
     50/7714  (9s)
    100/7714  (20s)
    150/7714  (33s)
    200/7714  (43s)
    250/7714  (52s)
    300/7714  (61s)
    350/7714  (70s)
    400/7714  (80s)
    450/7714  (90s)
    500/7714  (98s)
    550/7714  (108s)
    600/7714  (119s)
    650/7714  (128s)
    700/7714  (138s)
    750/7714  (145s)
    800/7714  (153s)
    850/7714  (161s)
    900/7714  (169s)
    950/7714  (175s)
   1000/7714  (181s)
   1050/7714  (187s)
   1100/7714  (194s)
   1150/7714  (204s)
   1200/7714  (214s)
   1250/7714  (222s)
   1300/7714  (233s)
   1350/7714  (244s)
   1400/7714  (255s)
   1450/7714  (266s)
   1500/7714  (275s)
   1550/7714  (284s)
   1600/7714  (293s)
   1650/7714  (303s)
   1700/7714  (311s)
   1750/7714  (323s)
   1800/7714  (333s)
   1850/7714  (342s)
   1900/7714  (353s)
   1950/7714  (362s)
   2000/7714  (371s)
   2050/7714  (378s)
   2100/7714  (385s)
   2150/7714  (393s)
   2200/7714  (402s)
   2250/7714  (409s)
   2300/7714  (417s)
   2350/7714  (427s)
   2400/7714  (436s)
   2450/7714  (445s)
   2500/7714  (455s)
   2550/7714  (464s)
   2600/7714  (471s)
   2650/7714  (479s)
   2700/7714  (487s)
   2750/7714  (495s)
   2800/7714  (502s)
   2850/7714  (509s)
   2900/7714  (516s)
   2950/7714  (523s)
   3000/7714  (532s)
   3050/7714  (542s)
   3100/7714  (553s)
   3150/7714  (563s)
   3200/7714  (572s)
   3250/7714  (583s)
   3300/7714  (592s)
   3350/7714  (605s)
   3400/7714  (618s)
   3450/7714  (627s)
   3500/7714  (639s)
   3550/7714  (650s)
   3600/7714  (664s)
   3650/7714  (679s)
   3700/7714  (693s)
   3750/7714  (705s)
   3800/7714  (717s)
   3850/7714  (727s)
   3900/7714  (738s)
   3950/7714  (747s)
   4000/7714  (757s)
   4050/7714  (766s)
   4100/7714  (776s)
   4150/7714  (786s)
   4200/7714  (794s)
   4250/7714  (802s)
   4300/7714  (812s)
   4350/7714  (820s)
   4400/7714  (829s)
   4450/7714  (838s)
   4500/7714  (849s)
   4550/7714  (859s)
   4600/7714  (866s)
   4650/7714  (875s)
   4700/7714  (883s)
   4750/7714  (892s)
   4800/7714  (903s)
   4850/7714  (913s)
   4900/7714  (923s)
   4950/7714  (932s)
   5000/7714  (940s)
   5050/7714  (948s)
   5100/7714  (957s)
   5150/7714  (965s)
   5200/7714  (971s)
   5250/7714  (980s)
   5300/7714  (986s)
   5350/7714  (993s)
   5400/7714  (1000s)
   5450/7714  (1008s)
   5500/7714  (1016s)
   5550/7714  (1025s)
   5600/7714  (1033s)
   5650/7714  (1042s)
   5700/7714  (1049s)
   5750/7714  (1055s)
   5800/7714  (1062s)
   5850/7714  (1069s)
   5900/7714  (1075s)
   5950/7714  (1082s)
   6000/7714  (1088s)
   6050/7714  (1093s)
   6100/7714  (1099s)
   6150/7714  (1104s)
   6200/7714  (1110s)
   6250/7714  (1117s)
   6300/7714  (1124s)
   6350/7714  (1133s)
   6400/7714  (1141s)
   6450/7714  (1150s)
   6500/7714  (1160s)
   6550/7714  (1169s)
   6600/7714  (1176s)
   6650/7714  (1183s)
   6700/7714  (1190s)
   6750/7714  (1197s)
   6800/7714  (1204s)
   6850/7714  (1212s)
   6900/7714  (1220s)
   6950/7714  (1228s)
   7000/7714  (1235s)
   7050/7714  (1242s)
   7100/7714  (1248s)
   7150/7714  (1255s)
   7200/7714  (1261s)
   7250/7714  (1270s)
   7300/7714  (1278s)
   7350/7714  (1288s)
   7400/7714  (1296s)
   7450/7714  (1303s)
   7500/7714  (1311s)
   7550/7714  (1319s)
   7600/7714  (1326s)
   7650/7714  (1334s)
   7700/7714  (1355s)
   7714/7714  (1369s)
Escrito apc_4v5.csv (7714 filas) y apc_4v5_resumen.csv (1500 filas), 1369s
