white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11124,223335,segundo,25.5,2 esquina,22.1,2,9,6
11124,233335,segundo,27.0,2 esquina,21.9,2,9,6
11124,333335,segundo,30.5,1 esquina,24.1,2,8,6
11133,222333,segundo,36.5,3 esquina,35.2,1,2,4
11134,222344,segundo,35.0,4 esquina,32.4,1,5,6
11134,223344,segundo,35.5,4 esquina,31.8,1,5,6
11134,233344,segundo,33.0,3 esquina,29.4,1,5,6
11134,333344,segundo,31.5,1 esquina,27.7,1,4,6
11135,222355,segundo,35.0,5 esquina,32.4,1,5,6
11135,223355,segundo,35.5,5 esquina,31.8,1,5,6
11135,233355,segundo,33.0,3 esquina,29.4,1,5,6
11135,333355,segundo,31.5,1 esquina,27.7,1,4,6
11144,222345,segundo,34.5,4 esquina,28.0,1,8,4
11144,222355,segundo,32.0,1 esquina,28.5,3,9,4
11144,222444,segundo,36.5,4 esquina,35.2,1,2,4
11144,223345,segundo,34.5,4 esquina,26.9,1,8,4
11144,223355,segundo,30.5,1 esquina,26.6,3,9,4
11144,223444,segundo,40.5,1 esquina,36.4,1,3,4
11144,233345,segundo,33.5,4 esquina,28.2,1,8,4
11144,233355,segundo,32.5,1 esquina,25.9,3,9,4
11144,233444,segundo,39.0,4 esquina,37.2,1,3,4
11144,333345,segundo,35.5,1 esquina,30.6,1,7,4
11144,333355,segundo,28.5,4 esquina,25.8,3,8,4
11144,333444,segundo,36.5,4 esquina,35.2,1,2,4
11145,222455,segundo,35.0,5 esquina,32.4,1,5,6
11145,223455,segundo,38.0,4 esquina,32.5,1,6,6
11145,224455,segundo,35.5,5 esquina,31.8,1,5,6
11145,233455,segundo,39.0,4 esquina,32.4,1,6,6
11145,234455,segundo,37.5,4 esquina,31.0,1,6,6
11145,244455,segundo,33.0,4 esquina,29.4,1,5,6
11145,333455,segundo,35.0,5 esquina,32.4,1,5,6
11145,334455,segundo,35.5,5 esquina,31.8,1,5,6
11145,344455,segundo,33.0,4 esquina,29.4,1,5,6
11145,444455,segundo,31.5,1 esquina,27.7,1,4,6
11155,222555,segundo,36.5,5 esquina,35.2,1,2,4
11155,223555,segundo,40.5,1 esquina,36.4,1,3,4
11155,224555,segundo,40.5,1 esquina,36.4,1,3,4
11155,233555,segundo,39.0,5 esquina,37.2,1,3,4
11155,234555,segundo,45.0,1 esquina,39.2,1,4,4
11155,244555,segundo,39.0,5 esquina,37.2,1,3,4
11155,333555,segundo,36.5,5 esquina,35.2,1,2,4
11155,334555,segundo,40.5,1 esquina,36.4,1,3,4
11155,344555,segundo,39.0,5 esquina,37.2,1,3,4
11155,444555,segundo,36.5,5 esquina,35.2,1,2,4
11224,123335,segundo,38.5,1 esquina,32.9,2,10,6
11224,133335,segundo,40.5,2 esquina,34.5,2,9,6
11224,233335,segundo,28.5,2 esquina,24.2,2,9,6
11224,333335,segundo,30.5,2 esquina,23.0,2,8,6
11233,122333,tablas,56.0,3 lado,50.8,0,3,6
11233,123333,segundo,53.5,2 esquina,48.5,1,3,6
11233,133333,segundo,51.0,3 esquina,44.2,1,2,6
11233,223333,segundo,46.5,2 lado,40.9,1,2,6
11233,233333,segundo,42.5,3 esquina,37.2,1,2,6
11233,333333,segundo,34.0,3 esquina,25.2,1,1,6
11234,122344,segundo,56.0,1 esquina,45.9,1,6,8
11234,122345,segundo,41.0,1 esquina,33.9,6,11,8
11234,122355,segundo,48.0,1 esquina,37.2,5,10,8
11234,123344,segundo,56.0,1 esquina,42.9,1,6,8
11234,123345,segundo,45.0,1 esquina,34.6,6,11,8
11234,123355,segundo,47.5,1 esquina,35.2,5,10,8
11234,133344,segundo,46.0,1 esquina,39.5,1,5,8
11234,133345,segundo,41.0,1 esquina,29.6,5,10,8
11234,133355,segundo,38.0,3 esquina,34.4,5,9,8
11234,223344,segundo,38.0,1 esquina,34.7,1,5,8
11234,223345,segundo,33.5,1 esquina,26.6,6,10,8
11234,223355,segundo,33.0,1 esquina,28.7,5,9,8
11234,233344,segundo,36.5,4 lado,33.1,1,5,8
11234,233345,segundo,33.5,1 esquina,25.4,6,10,8
11234,233355,segundo,30.5,3 esquina,27.5,5,9,8
11234,333344,segundo,32.0,3 esquina,28.1,1,4,8
11234,333345,segundo,30.0,1 esquina,24.0,5,9,8
11234,333355,segundo,29.5,3 esquina,22.8,5,8,8
11235,122355,segundo,56.0,1 esquina,45.9,1,6,8
11235,123355,segundo,56.0,1 esquina,42.9,1,6,8
11235,133355,segundo,46.0,1 esquina,39.5,1,5,8
11235,223355,segundo,38.0,1 esquina,34.7,1,5,8
11235,233355,segundo,36.5,5 lado,33.1,1,5,8
11235,333355,segundo,32.0,3 esquina,28.1,1,4,8
11244,122345,segundo,46.5,1 esquina,38.1,1,9,6
11244,122355,segundo,43.5,1 esquina,36.8,3,10,6
11244,122444,tablas,56.0,4 lado,50.8,0,3,6
11244,123345,segundo,46.5,1 esquina,38.2,1,9,6
11244,123355,segundo,42.0,1 esquina,36.9,3,10,6
11244,123444,segundo,56.5,2 esquina,50.6,1,4,6
11244,124444,segundo,53.5,2 esquina,48.5,1,3,6
