white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
11134,2235,primero,58.0,4 lado,51.7,0,7,6
11224,1335,tablas,53.8,4 lado,45.3,0,9,6
11233,1244,tablas,51.5,3 lado,43.2,0,9,6
11233,1255,tablas,51.5,3 lado,43.2,0,9,6
11234,1245,tablas,49.5,4 lado,41.9,0,10,8
11234,2335,primero,60.5,4 lado,45.5,0,7,8
11244,1255,tablas,51.5,4 lado,43.2,0,9,6
11334,2245,primero,52.5,3 lado,43.8,0,9,6
11344,1355,tablas,51.5,4 lado,43.2,0,9,6
12224,1335,tablas,55.5,4 lado,47.0,0,9,6
12224,1344,tablas,52.0,2 lado,41.1,0,7,6
12225,1355,tablas,52.0,2 lado,41.1,0,7,6
12225,1455,tablas,52.0,2 lado,41.1,0,7,6
12333,2244,tablas,49.5,3 lado,39.8,0,8,6
12333,2255,tablas,49.5,3 lado,39.8,0,8,6
12334,1345,segundo,45.8,4 lado,36.6,1,10,8
12334,1355,segundo,49.8,4 lado,36.6,1,9,8
12444,1355,tablas,57.2,4 lado,47.8,0,9,6
12444,2255,tablas,49.5,4 lado,39.8,0,8,6
13335,1455,tablas,52.0,3 lado,41.1,0,7,6
13344,3345,primero,50.5,4 lado,42.5,0,7,6
13444,3355,tablas,49.5,4 lado,39.8,0,8,6
22244,1355,tablas,53.8,4 lado,47.1,0,9,4
22334,1345,tablas,49.0,4 lado,39.8,0,10,6
22335,1455,tablas,55.5,2 lado,45.2,0,7,6
22344,2355,tablas,51.5,4 lado,43.2,0,9,6
23335,1455,tablas,55.5,3 lado,44.5,0,7,6
23335,2455,tablas,52.0,3 lado,41.1,0,7,6
23344,3345,primero,50.5,4 lado,42.5,0,7,6
23444,3355,tablas,49.5,4 lado,39.8,0,8,6
