white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
111344,222355,4,lado,21,0,5,16,21,0,48.8,51.2,0.0
111344,222355,4,esquina,21,0,3,18,9,0,47.0,52.9,0.1
111344,222355,1,esquina,21,0,3,18,13,0,46.5,53.2,0.2
111344,222355,3,esquina,21,0,5,16,9,0,46.4,53.5,0.1
111344,222355,3,lado,21,0,5,16,21,0,43.2,56.8,0.0
111344,222355,1,lado,21,0,9,12,21,0,40.5,59.5,0.0
112224,133335,4,esquina,21,2,2,17,13,14,50.0,50.0,0.0
112224,133335,2,esquina,21,0,6,15,9,0,49.5,50.5,0.0
112224,133335,1,esquina,21,0,6,15,9,0,46.9,53.1,0.0
112224,133335,1,lado,21,0,5,16,21,0,45.4,54.6,0.0
112224,133335,2,lado,21,0,5,16,21,0,44.6,55.4,0.0
112224,133335,4,lado,21,3,6,12,19,14,43.8,56.2,0.0
112244,123355,4,esquina,28,0,6,22,10,0,53.1,46.8,0.1
112244,123355,4,lado,28,2,3,23,28,14,49.2,50.5,0.2
112244,123355,2,esquina,28,0,5,23,12,0,47.9,52.0,0.1
112244,123355,2,lado,28,0,7,21,28,0,46.5,53.5,0.0
112244,123355,1,esquina,28,0,5,23,14,0,45.1,54.9,0.0
112244,123355,1,lado,28,0,9,19,28,0,42.1,57.9,0.0
112244,133355,4,esquina,21,0,5,16,9,0,51.6,48.4,0.0
112244,133355,4,lado,21,2,3,16,21,14,47.9,52.0,0.1
112244,133355,2,esquina,21,0,5,16,11,0,47.4,52.6,0.0
112244,133355,1,esquina,21,0,5,16,11,0,47.2,52.8,0.0
112244,133355,2,lado,21,0,7,14,21,0,43.1,56.9,0.0
112244,133355,1,lado,21,0,7,14,21,0,41.8,58.2,0.0
112334,122345,3,esquina,35,0,1,34,11,0,55.4,44.6,0.0
112334,122345,1,esquina,35,0,5,30,15,0,53.9,46.1,0.0
112334,122345,4,esquina,35,3,0,32,15,14,52.4,47.4,0.2
112334,122345,4,lado,35,2,4,29,33,14,51.5,48.2,0.2
112334,122345,2,esquina,35,0,5,30,13,0,50.9,49.0,0.1
112334,122345,2,lado,35,0,9,26,35,0,48.1,51.8,0.1
112334,122345,3,lado,35,0,5,30,35,0,48.0,52.0,0.0
112334,122345,1,lado,35,0,11,24,35,0,44.6,55.2,0.1
112334,123345,3,esquina,35,0,5,30,11,0,51.6,48.4,0.0
112334,123345,1,esquina,35,0,6,29,15,0,50.9,49.1,0.0
112334,123345,4,esquina,35,3,2,30,15,14,48.4,51.4,0.2
112334,123345,2,esquina,35,0,6,29,13,0,46.6,53.4,0.0
112334,123345,4,lado,35,4,7,24,33,12,46.1,53.9,0.0
112334,123345,2,lado,35,0,9,26,35,0,45.4,54.6,0.0
112334,123345,3,lado,35,0,7,28,35,0,45.0,55.0,0.0
112334,123345,1,lado,35,0,11,24,35,0,43.2,56.8,0.0
112344,223355,4,esquina,21,0,3,18,9,0,54.4,45.6,0.0
112344,223355,4,lado,21,0,5,16,21,0,52.2,47.6,0.1
112344,223355,3,lado,21,0,5,16,21,0,48.8,51.1,0.1
112344,223355,2,esquina,21,0,3,18,11,0,48.2,51.5,0.2
112344,223355,1,esquina,21,0,3,18,13,0,46.8,53.2,0.0
112344,223355,2,lado,21,0,7,14,21,0,46.0,53.9,0.1
112344,223355,3,esquina,21,0,5,16,9,0,45.5,54.5,0.0
112344,223355,1,lado,21,0,9,12,21,0,45.5,54.5,0.0
113334,123345,3,esquina,35,0,1,34,11,0,52.4,47.6,0.0
113334,123345,3,lado,35,0,5,30,35,0,50.4,49.6,0.0
113334,123345,1,esquina,35,0,4,31,15,0,50.2,49.8,0.0
113334,123345,4,lado,35,0,11,24,33,0,49.0,50.9,0.1
113334,123345,4,esquina,35,3,2,30,15,14,44.6,55.4,0.0
113334,123345,1,lado,35,0,11,24,35,0,43.4,56.5,0.1
113334,123355,3,esquina,28,0,6,22,10,0,53.9,45.9,0.2
113334,123355,4,esquina,28,3,2,23,10,14,53.1,46.9,0.0
113334,123355,3,lado,28,0,3,25,28,0,50.4,49.5,0.1
113334,123355,1,esquina,28,0,6,22,14,0,50.1,49.9,0.0
113334,123355,4,lado,28,2,5,21,28,14,49.1,50.9,0.0
113334,123355,1,lado,28,0,9,19,28,0,45.6,54.4,0.0
113334,222355,3,esquina,21,0,4,17,9,0,54.8,45.2,0.0
113334,222355,3,lado,21,0,3,18,21,0,51.2,48.8,0.0
113334,222355,4,esquina,21,1,4,16,9,14,49.5,50.1,0.4
113334,222355,1,esquina,21,0,5,16,13,0,48.4,51.6,0.0
113334,222355,4,lado,21,0,5,16,21,0,46.9,53.1,0.0
113334,222355,1,lado,21,0,9,12,21,0,43.4,56.6,0.0
122234,113355,2,esquina,21,0,8,13,11,0,51.4,48.6,0.0
122234,113355,4,esquina,21,3,2,16,9,14,51.2,48.5,0.2
122234,113355,2,lado,21,0,7,14,21,0,50.4,49.6,0.0
122234,113355,3,lado,21,2,3,16,21,14,49.9,50.1,0.0
122234,113355,3,esquina,21,1,5,15,9,12,48.6,51.2,0.1
122234,113355,4,lado,21,5,2,14,21,12,48.1,51.8,0.1
122234,113355,1,esquina,21,0,8,13,11,0,47.0,52.9,0.1
122234,113355,1,lado,21,0,7,14,21,0,46.9,53.1,0.0
122235,114455,2,esquina,21,1,1,19,7,12,53.5,46.4,0.1
122235,114455,5,esquina,21,3,0,18,11,10,51.1,48.8,0.1
122235,114455,2,lado,21,2,0,19,21,14,50.9,49.0,0.1
122235,114455,5,lado,21,6,0,15,12,10,50.0,50.0,0.0
122235,114455,3,esquina,21,1,1,19,7,12,50.0,49.8,0.2
122235,114455,1,esquina,21,1,1,19,7,12,48.0,52.0,0.0
122235,114455,1,lado,21,2,0,19,21,14,46.4,53.6,0.0
122235,114455,3,lado,21,2,0,19,21,14,44.4,55.5,0.1
122244,133355,4,esquina,21,0,5,16,9,0,51.2,48.8,0.0
122244,133355,2,esquina,21,0,5,16,11,0,49.2,50.8,0.0
122244,133355,4,lado,21,2,3,16,21,14,47.5,52.4,0.1
122244,133355,1,esquina,21,0,5,16,11,0,46.4,53.5,0.1
122244,133355,2,lado,21,0,7,14,21,0,42.8,57.2,0.0
122244,133355,1,lado,21,0,7,14,21,0,40.5,59.5,0.0
122333,113334,3,esquina,21,2,0,19,7,12,54.5,45.5,0.0
122333,113334,3,lado,21,4,3,14,19,12,51.6,48.4,0.0
122333,113334,2,esquina,21,4,0,17,9,14,51.5,48.5,0.0
122333,113334,1,esquina,21,4,0,17,9,14,47.9,52.1,0.0
122333,113334,1,lado,21,4,3,14,21,10,46.8,53.2,0.0
122333,113334,2,lado,21,4,3,14,21,10,46.5,53.4,0.1
122333,113335,3,esquina,21,2,0,19,7,12,54.5,45.5,0.0
122333,113335,3,lado,21,4,3,14,19,12,51.6,48.4,0.0
122333,113335,2,esquina,21,4,0,17,9,14,51.5,48.5,0.0
122333,113335,1,esquina,21,4,0,17,9,14,47.9,52.1,0.0
122333,113335,1,lado,21,4,3,14,21,10,46.8,53.2,0.0
122333,113335,2,lado,21,4,3,14,21,10,46.5,53.4,0.1
122344,233355,4,esquina,21,0,3,18,9,0,53.9,46.1,0.0
122344,233355,4,lado,21,0,5,16,21,0,51.6,48.4,0.0
122344,233355,2,esquina,21,0,3,18,11,0,49.1,50.9,0.0
122344,233355,3,esquina,21,0,5,16,9,0,48.2,51.8,0.0
122344,233355,3,lado,21,0,5,16,21,0,47.8,52.2,0.0
122344,233355,1,esquina,21,0,3,18,13,0,46.9,53.1,0.0
122344,233355,2,lado,21,0,7,14,21,0,46.1,53.9,0.0
122344,233355,1,lado,21,0,9,12,21,0,40.9,59.1,0.0
133333,113334,3,esquina,21,0,2,19,7,0,54.1,45.9,0.0
133333,113334,3,lado,21,0,5,16,19,0,50.9,49.1,0.0
133333,113334,1,esquina,21,3,1,17,9,14,44.4,55.6,0.0
133333,113334,1,lado,21,2,5,14,21,10,43.6,56.4,0.0
133334,113345,3,esquina,28,0,1,27,10,0,53.6,46.4,0.0
133334,113345,3,lado,28,0,1,27,28,0,52.4,47.6,0.0
133334,113345,4,esquina,28,1,4,23,14,14,50.5,49.5,0.0
133334,113345,1,esquina,28,0,4,24,12,0,50.5,49.5,0.0
