Barriendo 26,460 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
      25/26460  (1s)
      50/26460  (2s)
      75/26460  (3s)
     100/26460  (3s)
     125/26460  (4s)
     150/26460  (4s)
     175/26460  (5s)
     200/26460  (6s)
     225/26460  (6s)
     250/26460  (7s)
     275/26460  (7s)
     300/26460  (7s)
     325/26460  (8s)
     350/26460  (9s)
     375/26460  (10s)
     400/26460  (11s)
     425/26460  (12s)
     450/26460  (13s)
     475/26460  (15s)
     500/26460  (16s)
     525/26460  (17s)
     550/26460  (18s)
     575/26460  (19s)
     600/26460  (20s)
     625/26460  (21s)
     650/26460  (22s)
     675/26460  (23s)
     700/26460  (25s)
     725/26460  (27s)
     750/26460  (30s)
     775/26460  (32s)
     800/26460  (35s)
     825/26460  (37s)
     850/26460  (39s)
     875/26460  (40s)
     900/26460  (42s)
     925/26460  (43s)
     950/26460  (43s)
     975/26460  (44s)
    1000/26460  (45s)
    1025/26460  (46s)
    1050/26460  (46s)
    1075/26460  (47s)
    1100/26460  (48s)
    1125/26460  (50s)
    1150/26460  (52s)
    1175/26460  (54s)
    1200/26460  (56s)
    1225/26460  (59s)
    1250/26460  (60s)
    1275/26460  (62s)
    1300/26460  (65s)
    1325/26460  (67s)
    1350/26460  (69s)
    1375/26460  (71s)
    1400/26460  (71s)
    1425/26460  (73s)
    1450/26460  (75s)
    1475/26460  (77s)
    1500/26460  (78s)
    1525/26460  (80s)
    1550/26460  (82s)
    1575/26460  (83s)
    1600/26460  (84s)
    1625/26460  (85s)
    1650/26460  (87s)
    1675/26460  (88s)
    1700/26460  (89s)
    1725/26460  (91s)
    1750/26460  (92s)
    1775/26460  (94s)
    1800/26460  (95s)
    1825/26460  (96s)
    1850/26460  (98s)
    1875/26460  (101s)
    1900/26460  (103s)
    1925/26460  (105s)
    1950/26460  (107s)
    1975/26460  (108s)
    2000/26460  (109s)
    2025/26460  (110s)
    2050/26460  (111s)
    2075/26460  (112s)
    2100/26460  (113s)
    2125/26460  (114s)
    2150/26460  (116s)
    2175/26460  (120s)
    2200/26460  (123s)
    2225/26460  (128s)
    2250/26460  (131s)
    2275/26460  (139s)
    2300/26460  (142s)
    2325/26460  (143s)
    2350/26460  (147s)
    2375/26460  (150s)
    2400/26460  (152s)
    2425/26460  (155s)
    2450/26460  (157s)
    2475/26460  (161s)
    2500/26460  (165s)
    2525/26460  (168s)
    2550/26460  (171s)
    2575/26460  (172s)
    2600/26460  (174s)
    2625/26460  (176s)
    2650/26460  (178s)
    2675/26460  (180s)
    2700/26460  (183s)
    2725/26460  (187s)
    2750/26460  (191s)
    2775/26460  (194s)
    2800/26460  (197s)
    2825/26460  (198s)
    2850/26460  (205s)
    2875/26460  (209s)
    2900/26460  (211s)
    2925/26460  (216s)
    2950/26460  (221s)
    2975/26460  (222s)
    3000/26460  (228s)
    3025/26460  (233s)
    3050/26460  (237s)
    3075/26460  (240s)
    3100/26460  (245s)
    3125/26460  (248s)
    3150/26460  (251s)
    3175/26460  (254s)
    3200/26460  (258s)
    3225/26460  (261s)
    3250/26460  (265s)
    3275/26460  (267s)
    3300/26460  (269s)
    3325/26460  (272s)
    3350/26460  (276s)
    3375/26460  (278s)
    3400/26460  (280s)
    3425/26460  (282s)
    3450/26460  (284s)
    3475/26460  (286s)
    3500/26460  (289s)
    3525/26460  (292s)
    3550/26460  (294s)
    3575/26460  (296s)
    3600/26460  (299s)
    3625/26460  (303s)
    3650/26460  (304s)
    3675/26460  (306s)
    3700/26460  (308s)
    3725/26460  (310s)
    3750/26460  (312s)
    3775/26460  (314s)
    3800/26460  (315s)
    3825/26460  (317s)
    3850/26460  (318s)
    3875/26460  (319s)
    3900/26460  (321s)
    3925/26460  (323s)
    3950/26460  (324s)
    3975/26460  (327s)
    4000/26460  (328s)
    4025/26460  (330s)
    4050/26460  (332s)
    4075/26460  (335s)
    4100/26460  (338s)
    4125/26460  (341s)
    4150/26460  (343s)
    4175/26460  (347s)
    4200/26460  (349s)
    4225/26460  (352s)
    4250/26460  (353s)
    4275/26460  (355s)
    4300/26460  (356s)
    4325/26460  (358s)
