white,black,white_sum,black_sum,verdict,plies,nodes,ms
111111,11111,6,5,draw,13,7062,36
111111,11112,6,6,black,10,6643,19
111111,11113,6,7,black,10,6643,34
111111,11114,6,8,black,10,6643,11
111111,11115,6,9,black,10,6643,11
111111,11122,6,7,black,10,7593,11
111111,11123,6,8,black,10,10662,18
111111,11124,6,9,black,10,10662,8
111111,11133,6,9,black,10,7593,5
111111,11222,6,8,black,10,7279,5
111111,11223,6,9,black,10,11765,8
111111,12222,6,9,black,10,7405,5
111112,11111,7,5,white,7,3063,1
111112,11112,7,6,white,11,33483,66
111112,11113,7,7,white,11,31727,47
111112,11114,7,8,white,11,31727,69
111112,11115,7,9,white,11,31727,52
111112,11116,7,10,white,11,31727,34
111112,11122,7,7,black,12,79430,137
111112,11123,7,8,black,10,64011,131
111112,11124,7,9,black,10,64011,61
111112,11125,7,10,black,10,64011,108
111112,11133,7,9,black,10,52694,78
111112,11134,7,10,black,10,62754,161
111112,11222,7,8,black,10,58502,67
111112,11223,7,9,black,10,65953,114
111112,11224,7,10,black,10,65953,150
111112,11233,7,10,black,10,61010,68
111112,12222,7,9,black,10,41635,57
111112,12223,7,10,black,10,49849,122
111112,22222,7,10,black,10,20689,17
111113,11111,8,5,white,7,3063,1
111113,11112,8,6,white,9,18692,26
111113,11113,8,7,white,11,33483,28
111113,11114,8,8,white,11,31727,73
111113,11115,8,9,white,11,31727,29
111113,11116,8,10,white,11,31727,25
111113,11122,8,7,white,9,24035,74
111113,11123,8,8,black,12,122218,304
111113,11124,8,9,black,12,121639,219
111113,11125,8,10,black,12,121639,229
111113,11126,8,11,black,12,121639,192
111113,11133,8,9,black,12,79430,82
111113,11134,8,10,black,10,64011,83
111113,11135,8,11,black,10,64011,110
111113,11144,8,11,black,10,52694,100
111113,11222,8,8,white,9,23730,67
111113,11223,8,9,black,12,148867,248
111113,11224,8,10,black,12,147883,369
111113,11225,8,11,black,12,147883,275
111113,11233,8,10,black,10,110821,141
111113,11234,8,11,black,10,124286,170
111113,11333,8,11,black,10,58502,102
111113,12222,8,9,white,9,21015,28
111113,12223,8,10,black,12,134158,180
111113,12224,8,11,black,12,132563,243
111113,12233,8,11,black,10,114155,149
111113,22222,8,10,white,9,14555,19
111113,22223,8,11,black,12,86611,138
111114,11112,9,6,white,9,18692,34
111114,11113,9,7,white,9,18692,14
111114,11114,9,8,white,11,33483,81
111114,11115,9,9,white,11,31727,46
111114,11116,9,10,white,11,31727,63
111114,11122,9,7,white,9,24035,17
111114,11123,9,8,white,9,32307,65
111114,11124,9,9,black,12,122218,156
111114,11125,9,10,black,12,121639,126
111114,11126,9,11,black,12,121639,278
111114,11133,9,9,white,9,24035,87
111114,11134,9,10,black,12,122218,160
111114,11135,9,11,black,12,121639,218
111114,11136,9,12,black,12,121639,261
111114,11144,9,11,black,12,79430,167
111114,11145,9,12,black,10,64011,201
111114,11222,9,8,white,9,23730,53
111114,11223,9,9,white,9,36844,39
111114,11224,9,10,black,12,148867,263
111114,11225,9,11,black,12,147883,207
111114,11226,9,12,black,12,147883,192
111114,11233,9,10,white,9,35186,28
111114,11234,9,11,black,12,235465,314
111114,11235,9,12,black,12,236541,467
111114,11244,9,12,black,10,110821,168
111114,11333,9,11,white,9,23730,42
111114,11334,9,12,black,12,148867,189
111114,12222,9,9,white,9,21015,25
111114,12223,9,10,white,9,33294,72
111114,12224,9,11,black,12,134158,227
111114,12225,9,12,black,12,132563,195
111114,12233,9,11,white,9,36652,77
111114,12234,9,12,black,12,245470,372
111114,12333,9,12,white,9,31397,60
111114,22222,9,10,white,9,14555,10
111114,22223,9,11,white,9,21658,62
111114,22224,9,12,black,12,86611,132
111114,22233,9,12,white,9,24368,74
111115,11113,10,7,white,9,18692,16
111115,11114,10,8,white,9,18692,16
111115,11115,10,9,white,11,33483,47
111115,11116,10,10,white,11,31727,67
111115,11122,10,7,white,9,24035,32
111115,11123,10,8,white,9,32307,42
111115,11124,10,9,white,9,32307,39
111115,11125,10,10,black,12,122218,146
111115,11126,10,11,black,12,121639,186
111115,11133,10,9,white,9,24035,27
111115,11134,10,10,white,9,32307,62
111115,11135,10,11,black,12,122218,224
111115,11136,10,12,black,12,121639,150
111115,11144,10,11,white,9,24035,20
111115,11145,10,12,black,12,122218,346
111115,11146,10,13,black,12,121639,177
111115,11155,10,13,black,12,79430,113
111115,11222,10,8,white,9,23730,32
111115,11223,10,9,white,9,36844,31
111115,11224,10,10,white,9,36844,50
111115,11225,10,11,black,12,148867,292
111115,11226,10,12,black,12,147883,195
111115,11233,10,10,white,9,35186,53
111115,11234,10,11,white,9,51436,67
111115,11235,10,12,black,12,235465,472
111115,11236,10,13,black,12,236541,344
111115,11244,10,12,white,9,35186,28
111115,11245,10,13,black,12,235465,434
