white,black,white_sum,black_sum,verdict,plies,nodes,ms
1333,1112,10,5,white,7,6369,6
1333,11124,10,9,white,13,269810,338
1333,111245,10,14,black,10,208212,417
1333,11125,10,10,white,13,269810,324
1333,1114,10,7,white,12,89834,172
1333,11145,10,12,black,10,108660,224
1333,1115,10,8,white,12,89834,158
1333,1124,10,8,white,13,267094,338
1333,11245,10,13,black,10,193477,223
1333,1125,10,9,white,13,267094,429
1333,1145,10,11,black,12,255545,352
1333,1245,10,12,black,12,406430,556
13334,1112,14,5,white,7,12386,12
13334,11124,14,9,white,7,34379,102
13334,111245,14,14,black,12,753452,936
13334,11125,14,10,white,11,191800,385
13334,1114,14,7,white,7,24704,22
13334,11145,14,12,black,12,393231,609
13334,1115,14,8,white,11,96958,146
13334,1124,14,8,white,7,33995,50
13334,11245,14,13,black,12,665616,1008
13334,1125,14,9,white,11,184548,357
13334,1145,14,11,white,13,399836,508
13334,1245,14,12,white,13,623802,687
133344,1112,18,5,white,7,14936,13
133344,11124,18,9,white,7,42263,34
133344,111245,18,14,black,12,1079309,1425
133344,11125,18,10,white,11,240251,432
133344,1114,18,7,white,7,31313,27
133344,11145,18,12,black,12,564262,728
133344,1115,18,8,white,11,133708,162
133344,1124,18,8,white,7,41843,41
133344,11245,18,13,black,12,957964,1223
133344,1125,18,9,white,11,232253,286
133344,1145,18,11,white,13,542210,740
133344,1245,18,12,white,13,874033,842
1334,1112,11,5,white,7,11864,10
1334,11124,11,9,white,7,31232,55
1334,111245,11,14,black,10,409055,657
1334,11125,11,10,white,13,580564,778
1334,1114,11,7,white,7,22188,22
1334,11145,11,12,black,10,226741,306
1334,1115,11,8,white,12,202929,409
1334,1124,11,8,white,7,30852,38
1334,11245,11,13,black,10,377118,517
1334,1125,11,9,white,13,585627,605
1334,1145,11,11,black,12,643743,622
1334,1245,11,12,black,12,995738,1093
13344,1112,15,5,white,7,14414,14
13344,11124,15,9,white,7,39036,68
13344,111245,15,14,black,12,943386,823
13344,11125,15,10,white,11,226695,180
13344,1114,15,7,white,7,28773,80
13344,11145,15,12,black,12,487385,758
13344,1115,15,8,white,11,120820,165
13344,1124,15,8,white,7,38620,38
13344,11245,15,13,black,12,831842,1152
13344,1125,15,9,white,11,218851,306
13344,1145,15,11,white,13,465922,548
13344,1245,15,12,white,13,779616,833
1344,1112,12,5,white,7,11610,12
1344,11124,12,9,white,7,28147,29
1344,111245,12,14,black,10,369781,549
1344,11125,12,10,white,13,571288,521
1344,1114,12,7,white,7,19969,15
1344,11145,12,12,black,10,202945,355
1344,1115,12,8,white,12,195577,175
1344,1124,12,8,white,7,27771,33
1344,11245,12,13,black,10,339506,373
1344,1125,12,9,white,13,570988,613
1344,1145,12,11,black,14,1373501,1168
1344,1245,12,12,black,14,2226639,1898
3334,1112,13,5,white,7,4722,5
3334,11124,13,9,white,7,15983,17
3334,111245,13,14,black,10,209600,196
3334,11125,13,10,white,13,223517,307
3334,1114,13,7,white,7,10238,10
3334,11145,13,12,black,10,112597,137
3334,1115,13,8,white,12,103765,294
3334,1124,13,8,white,7,15781,17
3334,11245,13,13,black,10,192608,253
3334,1125,13,9,white,12,186415,358
3334,1145,13,11,black,14,896736,1014
3334,1245,13,12,black,14,1390738,1436
33344,1112,17,5,white,7,5837,16
33344,11124,17,9,white,7,20536,22
33344,111245,17,14,black,12,469400,751
33344,11125,17,10,white,11,100513,207
33344,1114,17,7,white,7,13630,13
33344,11145,17,12,black,12,261253,402
33344,1115,17,8,white,11,59445,67
33344,1124,17,8,white,7,20310,42
33344,11245,17,13,black,12,416447,616
33344,1125,17,9,white,11,97224,161
33344,1145,17,11,white,13,255659,371
33344,1245,17,12,white,13,374402,627
3344,1112,14,5,white,7,5425,18
3344,11124,14,9,white,7,17570,23
3344,111245,14,14,black,10,240354,314
3344,11125,14,10,white,13,282241,340
3344,1114,14,7,white,7,11647,12
3344,11145,14,12,black,10,132707,244
3344,1115,14,8,white,12,130934,139
3344,1124,14,8,white,7,17348,16
3344,11245,14,13,black,10,219997,414
3344,1125,14,9,white,12,222261,310
3344,1145,14,11,black,16,2508853,2576
3344,1245,14,12,black,16,3921154,2972
