white,black,white_sum,black_sum,verdict,plies,nodes,ms
1333,1112,10,5,white,7,6369,28
1333,11122,10,7,white,7,7962,13
1333,111224,10,11,white,13,373014,416
1333,111225,10,12,white,13,373014,473
1333,11124,10,9,white,13,269810,385
1333,111245,10,14,black,10,208212,430
1333,11125,10,10,white,13,269810,385
1333,1114,10,7,white,12,89834,175
1333,11145,10,12,black,10,108660,246
1333,1115,10,8,white,12,89834,220
1333,1122,10,6,white,7,7806,8
1333,11224,10,10,white,13,331735,494
1333,112245,10,15,black,10,237533,323
1333,11225,10,11,white,13,331735,517
1333,1124,10,8,white,13,267094,403
1333,11245,10,13,black,10,193477,184
1333,1125,10,9,white,13,267094,275
1333,1145,10,11,black,12,255545,280
1333,1224,10,9,white,13,290384,461
1333,12245,10,14,black,10,191778,386
1333,1225,10,10,white,13,290384,446
1333,1245,10,12,black,12,406430,673
1333,2245,10,13,black,12,301544,293
13334,1112,14,5,white,7,12386,25
13334,11122,14,7,white,7,14787,8
13334,111224,14,11,white,7,37303,39
13334,111225,14,12,white,11,243860,331
13334,11124,14,9,white,7,34379,125
13334,111245,14,14,black,12,753452,1041
13334,11125,14,10,white,11,191800,307
13334,1114,14,7,white,7,24704,23
13334,11145,14,12,black,12,393231,491
13334,1115,14,8,white,11,96958,163
13334,1122,14,6,white,7,14631,15
13334,11224,14,10,white,7,36919,38
13334,112245,14,15,black,12,805615,1088
13334,11225,14,11,white,11,232405,325
13334,1124,14,8,white,7,33995,35
13334,11245,14,13,black,12,665616,959
13334,1125,14,9,white,11,184548,263
13334,1145,14,11,white,13,399836,527
13334,1224,14,9,white,7,35146,40
13334,12245,14,14,black,12,650577,808
13334,1225,14,10,white,11,198286,289
13334,1245,14,12,white,13,623802,907
13334,2245,14,13,white,13,495444,586
133344,1112,18,5,white,7,14936,14
133344,11122,18,7,white,7,17445,18
133344,111224,18,11,white,7,45328,44
133344,111225,18,12,white,11,296912,417
133344,11124,18,9,white,7,42263,92
133344,111245,18,14,black,12,1079309,1774
133344,11125,18,10,white,11,240251,420
133344,1114,18,7,white,7,31313,34
133344,11145,18,12,black,12,564262,903
133344,1115,18,8,white,11,133708,145
133344,1122,18,6,white,7,17289,96
133344,11224,18,10,white,7,44908,79
133344,112245,18,15,black,12,1162740,1543
133344,11225,18,11,white,11,284240,441
133344,1124,18,8,white,7,41843,65
133344,11245,18,13,black,12,957964,1301
133344,1125,18,9,white,11,232253,362
133344,1145,18,11,white,13,542210,779
133344,1224,18,9,white,7,43626,51
133344,12245,18,14,black,12,942631,1259
133344,1225,18,10,white,11,247566,306
133344,1245,18,12,white,13,874033,946
133344,2245,18,13,white,13,661759,810
1334,1112,11,5,white,7,11864,12
1334,11122,11,7,white,7,14150,16
1334,111224,11,11,white,7,34084,38
1334,111225,11,12,white,13,776784,905
1334,11124,11,9,white,7,31232,36
1334,111245,11,14,black,10,409055,407
1334,11125,11,10,white,13,580564,780
1334,1114,11,7,white,7,22188,22
