white,black,regla,ve,gana1,gana2,sindef,turnos
11224,11235,fijo,2,47.45,52.10,0.45,10.60
11224,11235,fijo,4,46.27,53.21,0.52,10.09
11224,11235,fijo,6,34.52,64.53,0.94,10.86
11224,11235,libre,2,51.03,48.63,0.33,10.19
11224,11235,libre,4,52.39,47.31,0.30,9.77
11224,11235,libre,6,64.83,34.92,0.25,9.23
11234,12335,fijo,2,48.42,51.11,0.47,10.49
11234,12335,fijo,4,48.52,51.10,0.38,9.94
11234,12335,fijo,6,32.13,67.37,0.50,10.44
11234,12335,libre,2,51.13,48.58,0.29,10.13
11234,12335,libre,4,53.93,45.83,0.24,9.63
11234,12335,libre,6,62.82,36.93,0.25,9.03
11344,12245,fijo,2,49.18,50.15,0.67,10.71
11344,12245,fijo,4,47.53,51.73,0.73,10.20
11344,12245,fijo,6,34.04,64.75,1.21,10.44
11344,12245,libre,2,52.69,46.93,0.38,10.31
11344,12245,libre,4,51.00,48.51,0.49,9.90
11344,12245,libre,6,62.98,36.71,0.31,9.60
12344,11345,fijo,2,50.08,49.17,0.75,10.64
12344,11345,fijo,4,44.60,54.56,0.84,10.11
12344,11345,fijo,6,31.12,67.13,1.74,10.81
12344,11345,libre,2,52.81,46.71,0.48,10.22
12344,11345,libre,4,50.34,49.23,0.42,9.80
12344,11345,libre,6,52.32,47.20,0.48,9.87
12344,12345,fijo,2,49.41,49.92,0.67,10.45
12344,12345,fijo,4,45.36,53.80,0.84,10.09
12344,12345,fijo,6,29.48,69.04,1.48,10.73
12344,12345,libre,2,52.49,46.98,0.53,10.07
12344,12345,libre,4,50.35,48.95,0.70,9.81
12344,12345,libre,6,49.23,50.27,0.50,9.88
13344,12345,fijo,2,51.85,47.41,0.74,10.53
13344,12345,fijo,4,48.72,50.21,1.07,10.19
13344,12345,fijo,6,33.87,64.36,1.77,10.78
13344,12345,libre,2,54.99,44.48,0.53,10.11
13344,12345,libre,4,52.17,47.33,0.51,9.74
13344,12345,libre,6,56.40,42.87,0.73,9.84
