white,black,white_sum,black_sum,verdict,plies,nodes,ms
111114,11122,9,7,white,9,24035,96
111114,11135,9,11,black,12,121427,493
111114,11234,9,11,black,12,235071,721
111114,11245,9,13,black,10,124286,232
111114,11334,9,12,black,12,148621,318
111114,11555,9,17,black,10,47368,65
111114,12226,9,13,black,12,132469,299
111114,12246,9,15,black,10,128461,227
111114,12256,9,16,black,10,128221,236
111114,12444,9,15,black,10,87579,113
111114,12556,9,19,black,10,104633,184
111114,13334,9,14,black,12,134077,296
111114,14555,9,20,black,10,46291,58
111114,14666,9,23,black,10,46291,52
111114,15556,9,22,black,10,46725,91
111114,22366,9,19,black,10,113950,166
111114,22446,9,18,black,10,80158,117
111114,22456,9,19,black,10,102784,164
111114,24555,9,21,black,10,57628,110
111114,25556,9,23,black,10,57876,93
111114,25666,9,25,black,10,56351,68
111114,33445,9,19,black,10,80158,126
111114,33555,9,21,black,10,58023,106
111114,45556,9,25,black,10,34074,48
111122,11122,8,7,white,9,49506,83
111122,11135,8,11,black,12,196170,357
111122,11234,8,11,black,10,145504,206
111122,11245,8,13,black,10,145504,214
111122,11334,8,12,black,10,124610,317
111122,11555,8,17,black,10,96487,323
111122,12226,8,13,black,10,84172,156
111122,12246,8,15,black,10,109342,387
111122,12256,8,16,black,10,109342,283
111122,12444,8,15,black,10,74073,142
111122,12556,8,19,black,10,99088,192
111122,13334,8,14,black,10,82352,224
111122,14555,8,20,black,10,78913,128
111122,14666,8,23,black,10,78913,177
111122,15556,8,22,black,10,82352,180
111122,22366,8,19,black,10,46948,148
111122,22446,8,18,black,10,47489,54
111122,22456,8,19,black,10,57639,80
111122,24555,8,21,black,10,46220,46
111122,25556,8,23,black,10,44942,39
111122,25666,8,25,black,10,46220,72
111122,33445,8,19,black,10,46721,82
111122,33555,8,21,black,10,38650,74
111122,45556,8,25,black,10,47790,86
111124,11122,10,7,white,7,20569,16
111124,11135,10,11,white,13,490887,1012
111124,11234,10,11,white,9,195832,331
111124,11245,10,13,black,10,369613,605
111124,11334,10,12,white,9,145170,260
111124,11555,10,17,black,10,173727,279
111124,12226,10,13,black,12,404533,613
111124,12246,10,15,black,10,352483,609
111124,12256,10,16,black,10,345296,479
111124,12444,10,15,black,10,244891,341
111124,12556,10,19,black,10,289820,495
111124,13334,10,14,black,12,436738,433
111124,14555,10,20,black,10,140749,135
111124,14666,10,23,black,10,140749,140
111124,15556,10,22,black,10,143204,321
111124,22366,10,19,black,10,285992,462
111124,22446,10,18,black,10,198923,313
111124,22456,10,19,black,10,238420,478
111124,24555,10,21,black,10,144441,255
111124,25556,10,23,black,10,141098,208
111124,25666,10,25,black,10,139451,269
111124,33445,10,19,black,10,201704,314
111124,33555,10,21,black,10,153203,249
111124,45556,10,25,black,10,83837,98
111134,11122,11,7,white,7,21541,13
