,Valor
Total de partidas ganadas por blanco,6882.0
Total de partidas ganadas por negro,3118.0
Porcentaje de victorias de blanco,68.82000000000001
Porcentaje de victorias de negro,31.180000000000003
Promedio de piezas colocadas por el ganador,5.6843
Promedio de piezas colocadas por blanco cuando gana,5.532839290903807
Promedio de piezas colocadas por negro cuando gana,6.018601667735728
Promedio de rondas total,3.4036
Promedio de rondas en partidas ganadas por blanco,3.436355710549259
Promedio de rondas en partidas ganadas por negro,3.331302116741501

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6661,66.29635189911424,33.70364810088575
4,2731,72.94031490296594,27.059685097034052
5,535,79.43925233644859,20.5607476635514
6,62,64.51612903225806,35.483870967741936
7,8,75.0,25.0
8,2,100.0,0.0
10,1,100.0,0.0

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",231,174,3.3636363636363638,75.32467532467533
"WC1(0,1)",221,134,3.5339366515837103,60.633484162895925
"WC1(0,2)",208,144,3.326923076923077,69.23076923076923
"WC1(1,0)",202,129,3.4603960396039604,63.86138613861386
"WC1(1,1)",251,202,3.2151394422310755,80.47808764940238
"WC1(1,2)",233,144,3.4206008583690988,61.80257510729614
"WC1(2,0)",207,143,3.347826086956522,69.08212560386472
"WC1(2,1)",222,136,3.5675675675675675,61.261261261261254
"WC1(2,2)",234,164,3.358974358974359,70.08547008547008
"WC2(0,0)",423,303,3.359338061465721,71.63120567375887
"WC2(0,1)",473,299,3.4355179704016914,63.213530655391125
"WC2(0,2)",418,309,3.327751196172249,73.92344497607655
"WC2(1,0)",484,313,3.518595041322314,64.6694214876033
"WC2(1,1)",439,357,3.211845102505695,81.32118451025056
"WC2(1,2)",413,244,3.4987893462469732,59.07990314769975
"WC2(2,0)",415,291,3.3373493975903616,70.12048192771084
"WC2(2,1)",439,278,3.507972665148064,63.32574031890661
"WC2(2,2)",477,348,3.348008385744235,72.95597484276729
"WC4(0,0)",235,167,3.3574468085106384,71.06382978723404
"WC4(0,1)",233,152,3.523605150214592,65.23605150214593
"WC4(0,2)",206,147,3.3592233009708736,71.35922330097088
"WC4(1,0)",220,131,3.4909090909090907,59.54545454545455
"WC4(1,1)",206,159,3.237864077669903,77.18446601941747
"WC4(1,2)",240,154,3.533333333333333,64.16666666666667
"WC4(2,0)",225,174,3.3422222222222224,77.33333333333333
"WC4(2,1)",228,140,3.4166666666666665,61.40350877192983
"WC4(2,2)",230,156,3.356521739130435,67.82608695652173
"WC6(0,0)",199,150,3.3969849246231156,75.37688442211056
"WC6(0,1)",236,158,3.5296610169491527,66.94915254237289
"WC6(0,2)",226,157,3.3451327433628317,69.46902654867256
"WC6(1,0)",245,158,3.5306122448979593,64.48979591836735
"WC6(1,1)",233,186,3.278969957081545,79.82832618025752
"WC6(1,2)",206,132,3.5533980582524274,64.07766990291263
"WC6(2,0)",218,150,3.36697247706422,68.80733944954129
"WC6(2,1)",210,145,3.5285714285714285,69.04761904761905
"WC6(2,2)",214,154,3.2990654205607477,71.96261682242991
