,Valor
Total de partidas ganadas por blanco,6858.0
Total de partidas ganadas por negro,3142.0
Porcentaje de victorias de blanco,68.58
Porcentaje de victorias de negro,31.419999999999998
Promedio de piezas colocadas por el ganador,5.6776
Promedio de piezas colocadas por blanco cuando gana,5.512685914260717
Promedio de piezas colocadas por negro cuando gana,6.037555697008275
Promedio de rondas total,3.3948
Promedio de rondas en partidas ganadas por blanco,3.4184893554972295
Promedio de rondas en partidas ganadas por negro,3.343093570973902

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6749,66.45428952437398,33.54571047562602
4,2652,73.22775263951733,26.772247360482655
5,515,72.62135922330097,27.378640776699033
6,70,68.57142857142857,31.428571428571427
7,14,64.28571428571429,35.714285714285715

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",215,138,3.316279069767442,64.18604651162791
"WC1(0,1)",194,125,3.5,64.43298969072166
"WC1(0,2)",213,149,3.39906103286385,69.95305164319248
"WC1(1,0)",230,149,3.5,64.78260869565217
"WC1(1,1)",206,172,3.320388349514563,83.49514563106796
"WC1(1,2)",222,140,3.4414414414414414,63.06306306306306
"WC1(2,0)",234,177,3.3076923076923075,75.64102564102564
"WC1(2,1)",205,142,3.521951219512195,69.26829268292683
"WC1(2,2)",220,162,3.331818181818182,73.63636363636363
"WC2(0,0)",419,312,3.3699284009546537,74.46300715990454
"WC2(0,1)",442,258,3.4547511312217196,58.371040723981906
"WC2(0,2)",431,307,3.3387470997679816,71.22969837587007
"WC2(1,0)",436,271,3.4862385321100917,62.15596330275229
"WC2(1,1)",479,372,3.2505219206680587,77.66179540709813
"WC2(1,2)",429,247,3.4079254079254078,57.57575757575758
"WC2(2,0)",446,325,3.309417040358744,72.86995515695067
"WC2(2,1)",438,251,3.4383561643835616,57.30593607305936
"WC2(2,2)",442,322,3.328054298642534,72.85067873303167
"WC4(0,0)",200,147,3.34,73.5
"WC4(0,1)",232,148,3.4525862068965516,63.793103448275865
"WC4(0,2)",219,156,3.3972602739726026,71.23287671232876
"WC4(1,0)",252,157,3.4801587301587302,62.301587301587304
"WC4(1,1)",211,163,3.3412322274881516,77.25118483412322
"WC4(1,2)",212,140,3.5047169811320753,66.0377358490566
"WC4(2,0)",241,172,3.3734439834024896,71.36929460580913
"WC4(2,1)",240,157,3.5166666666666666,65.41666666666667
"WC4(2,2)",209,147,3.382775119617225,70.33492822966507
"WC6(0,0)",239,164,3.3179916317991633,68.6192468619247
"WC6(0,1)",240,155,3.470833333333333,64.58333333333334
"WC6(0,2)",225,169,3.3866666666666667,75.1111111111111
"WC6(1,0)",207,124,3.4830917874396135,59.90338164251207
"WC6(1,1)",250,191,3.248,76.4
"WC6(1,2)",232,162,3.4655172413793105,69.82758620689656
"WC6(2,0)",248,186,3.3911290322580645,75.0
"WC6(2,1)",232,152,3.5,65.51724137931035
"WC6(2,2)",210,149,3.3333333333333335,70.95238095238095
