,Valor
Total de partidas ganadas por blanco,5649.0
Total de partidas ganadas por negro,4345.0
Porcentaje de victorias de blanco,56.489999999999995
Porcentaje de victorias de negro,43.45
Promedio de piezas colocadas por el ganador,5.535021012607564
Promedio de piezas colocadas por blanco cuando gana,5.203221809169764
Promedio de piezas colocadas por negro cuando gana,5.966398158803222
Promedio de rondas total,3.4833
Promedio de rondas en partidas ganadas por blanco,3.3464329969906177
Promedio de rondas en partidas ganadas por negro,3.6522439585730724

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6472,62.60815822002472,37.39184177997528
4,2592,49.961419753086425,50.038580246913575
5,686,36.88046647230321,63.11953352769679
6,175,24.0,76.0
7,50,10.0,90.0
8,14,14.285714285714285,85.71428571428571
9,3,0.0,100.0
10,8,0.0,25.0

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",358,227,3.388268156424581,63.40782122905028
"WC1(0,1)",372,154,3.5,41.39784946236559
"WC1(0,2)",327,186,3.46177370030581,56.88073394495413
"WC1(1,0)",370,170,3.597297297297297,45.94594594594595
"WC1(1,1)",403,260,3.327543424317618,64.51612903225806
"WC1(1,2)",349,190,3.5730659025787967,54.44126074498568
"WC1(2,0)",385,256,3.446753246753247,66.49350649350649
"WC1(2,1)",371,184,3.582210242587601,49.59568733153639
"WC1(2,2)",400,242,3.4375,60.5
"WC2(0,0)",387,248,3.441860465116279,64.08268733850129
"WC2(0,1)",375,179,3.429333333333333,47.733333333333334
"WC2(0,2)",348,206,3.5086206896551726,59.195402298850574
"WC2(1,0)",382,186,3.505235602094241,48.69109947643979
"WC2(1,1)",394,265,3.3959390862944163,67.25888324873097
"WC2(1,2)",367,179,3.5476839237057223,48.77384196185286
"WC2(2,0)",385,240,3.397402597402597,62.33766233766234
"WC2(2,1)",333,161,3.5975975975975976,48.348348348348345
"WC2(2,2)",349,212,3.4269340974212033,60.74498567335244
"WC6(0,0)",349,197,3.4498567335243555,56.446991404011456
"WC6(0,1)",351,188,3.5584045584045585,53.561253561253565
"WC6(0,2)",364,214,3.4148351648351647,58.791208791208796
"WC6(1,0)",393,210,3.6361323155216283,53.43511450381679
"WC6(1,1)",382,259,3.4424083769633507,67.80104712041884
"WC6(1,2)",378,176,3.5343915343915344,46.56084656084656
"WC6(2,0)",360,213,3.452777777777778,59.166666666666664
"WC6(2,1)",383,204,3.6109660574412534,53.26370757180157
"WC6(2,2)",385,243,3.412987012987013,63.116883116883116
