,Valor
Total de partidas ganadas por blanco,7048.0
Total de partidas ganadas por negro,2952.0
Porcentaje de victorias de blanco,70.48
Porcentaje de victorias de negro,29.520000000000003
Promedio de piezas colocadas por el ganador,5.6815
Promedio de piezas colocadas por blanco cuando gana,5.521140749148695
Promedio de piezas colocadas por negro cuando gana,6.064363143631437
Promedio de rondas total,3.4034
Promedio de rondas en partidas ganadas por blanco,3.437570942111237
Promedio de rondas en partidas ganadas por negro,3.3218157181571817

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6677,67.66511906544855,32.33488093455145
4,2700,75.66666666666667,24.333333333333336
5,548,78.46715328467153,21.532846715328464
6,65,75.38461538461539,24.615384615384617
7,7,85.71428571428571,14.285714285714285
8,3,66.66666666666666,33.33333333333333

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC2(0,0)",387,288,3.34625322997416,74.4186046511628
"WC2(0,1)",400,253,3.4725,63.24999999999999
"WC2(0,2)",353,253,3.3626062322946177,71.671388101983
"WC2(1,0)",355,235,3.526760563380282,66.19718309859155
"WC2(1,1)",357,288,3.2717086834733893,80.67226890756302
"WC2(1,2)",398,257,3.5251256281407035,64.57286432160804
"WC2(2,0)",370,267,3.3702702702702703,72.16216216216216
"WC2(2,1)",373,242,3.5227882037533513,64.87935656836461
"WC2(2,2)",373,266,3.3056300268096517,71.31367292225201
"WC3(0,0)",558,421,3.369175627240143,75.44802867383513
"WC3(0,1)",560,359,3.4839285714285713,64.10714285714286
"WC3(0,2)",581,435,3.3562822719449223,74.87091222030982
"WC3(1,0)",565,363,3.47787610619469,64.24778761061947
"WC3(1,1)",542,440,3.263837638376384,81.18081180811808
"WC3(1,2)",559,358,3.513416815742397,64.04293381037567
"WC3(2,0)",523,402,3.3594646271510515,76.8642447418738
"WC3(2,1)",527,343,3.4819734345351043,65.08538899430741
"WC3(2,2)",629,465,3.3529411764705883,73.9268680445151
"WC5(0,0)",160,123,3.2375,76.875
"WC5(0,1)",157,90,3.4012738853503186,57.324840764331206
"WC5(0,2)",191,136,3.3350785340314135,71.20418848167539
"WC5(1,0)",179,115,3.4804469273743015,64.24581005586593
"WC5(1,1)",176,139,3.3011363636363638,78.97727272727273
"WC5(1,2)",179,118,3.46927374301676,65.92178770949721
"WC5(2,0)",197,146,3.3908629441624365,74.11167512690355
"WC5(2,1)",165,108,3.418181818181818,65.45454545454545
"WC5(2,2)",186,138,3.3333333333333335,74.19354838709677
