white,black,regla,ve,gana1,gana2,sindef,turnos
11344,11245,fijo,2,50.40,48.95,0.65,10.76
11344,11245,fijo,4,48.17,51.13,0.69,10.21
11344,11245,fijo,6,35.39,63.27,1.33,10.52
11344,11245,libre,2,53.35,46.30,0.35,10.26
11344,11245,libre,4,51.43,48.12,0.45,9.90
11344,11245,libre,6,64.59,34.96,0.45,9.65
12334,11245,fijo,2,51.62,47.50,0.88,10.73
12334,11245,fijo,4,48.23,50.62,1.15,10.25
12334,11245,fijo,6,32.83,65.78,1.39,10.47
12334,11245,libre,2,55.77,43.58,0.65,10.28
12334,11245,libre,4,51.76,47.54,0.70,9.85
12334,11245,libre,6,57.86,41.51,0.63,9.51
12334,11255,fijo,2,54.26,45.00,0.74,10.51
12334,11255,fijo,4,47.77,51.08,1.15,10.23
12334,11255,fijo,6,28.93,69.62,1.45,10.68
12334,11255,libre,2,56.50,42.90,0.60,10.18
12334,11255,libre,4,50.45,48.98,0.57,9.74
12334,11255,libre,6,54.94,44.46,0.60,9.75
12344,11245,fijo,2,54.55,44.68,0.77,10.62
12344,11245,fijo,4,51.67,47.27,1.06,10.17
12344,11245,fijo,6,38.76,59.40,1.84,10.64
12344,11245,libre,2,57.12,42.32,0.56,10.23
12344,11245,libre,4,56.07,43.14,0.79,9.83
12344,11245,libre,6,66.86,32.24,0.90,9.69
12344,11255,fijo,2,53.68,45.45,0.87,10.58
12344,11255,fijo,4,48.40,50.51,1.09,10.21
12344,11255,fijo,6,28.57,69.80,1.63,10.76
12344,11255,libre,2,57.36,42.07,0.57,10.16
12344,11255,libre,4,50.48,48.82,0.70,9.78
12344,11255,libre,6,54.67,44.72,0.62,9.74
13344,12255,fijo,2,53.97,45.03,1.00,10.80
13344,12255,fijo,4,50.49,48.20,1.31,10.37
13344,12255,fijo,6,31.09,67.26,1.65,10.71
13344,12255,libre,2,56.77,42.50,0.73,10.28
13344,12255,libre,4,52.44,46.88,0.68,9.87
13344,12255,libre,6,56.35,42.62,1.02,10.38
13344,12345,fijo,2,51.85,47.41,0.74,10.53
13344,12345,fijo,4,48.72,50.21,1.07,10.19
13344,12345,fijo,6,33.87,64.36,1.77,10.78
13344,12345,libre,2,54.99,44.48,0.53,10.11
13344,12345,libre,4,52.17,47.33,0.51,9.74
13344,12345,libre,6,56.40,42.87,0.73,9.84
22334,12255,fijo,2,55.81,43.52,0.67,10.54
22334,12255,fijo,4,50.16,48.63,1.21,10.27
22334,12255,fijo,6,31.19,67.38,1.43,10.55
22334,12255,libre,2,57.44,42.07,0.49,10.10
22334,12255,libre,4,51.68,47.68,0.63,9.72
22334,12255,libre,6,60.56,39.11,0.33,9.35
22344,11345,fijo,2,52.52,46.37,1.12,10.86
22344,11345,fijo,4,49.22,49.70,1.08,10.33
22344,11345,fijo,6,36.15,61.87,1.98,10.77
22344,11345,libre,2,55.00,44.32,0.68,10.41
22344,11345,libre,4,52.34,46.96,0.70,9.93
22344,11345,libre,6,58.65,40.73,0.62,9.77
22344,12255,fijo,2,54.88,44.46,0.66,10.51
22344,12255,fijo,4,50.67,48.27,1.06,10.24
22344,12255,fijo,6,31.00,67.52,1.48,10.59
22344,12255,libre,2,57.39,42.03,0.57,10.13
22344,12255,libre,4,51.58,47.81,0.62,9.72
22344,12255,libre,6,60.57,38.98,0.45,9.39
22344,12345,fijo,2,52.02,47.32,0.67,10.54
22344,12345,fijo,4,49.47,49.54,0.99,10.16
22344,12345,fijo,6,32.98,65.42,1.60,10.68
22344,12345,libre,2,54.32,45.26,0.42,10.18
22344,12345,libre,4,52.18,47.24,0.57,9.76
22344,12345,libre,6,54.26,45.21,0.53,9.69
23344,11355,fijo,2,53.23,45.90,0.88,10.69
23344,11355,fijo,4,47.98,50.73,1.28,10.41
23344,11355,fijo,6,29.22,68.85,1.93,10.90
23344,11355,libre,2,56.52,42.78,0.70,10.23
23344,11355,libre,4,50.91,48.50,0.59,9.80
23344,11355,libre,6,53.23,46.49,0.28,9.55
23344,12355,fijo,2,54.78,44.53,0.68,10.42
23344,12355,fijo,4,49.52,49.20,1.28,10.25
23344,12355,fijo,6,28.73,69.50,1.77,10.84
23344,12355,libre,2,56.11,43.32,0.57,10.05
23344,12355,libre,4,50.96,48.43,0.61,9.63
23344,12355,libre,6,51.02,48.52,0.46,9.58
