white,black,white_sum,black_sum,verdict,plies,nodes,ms
113444,11245,17,13,white,23,5645242,13205
113444,11246,17,14,white,23,5645242,13697
113444,11256,17,15,black,12,813343,3075
113444,11356,17,16,black,12,839249,2151
113444,12245,17,14,white,23,7557355,18268
113444,12246,17,15,white,23,7557355,18781
113444,12256,17,16,black,12,799398,1406
113444,12356,17,17,black,12,1218819,2385
113444,13356,17,18,black,12,786089,2855
113444,22245,17,15,white,23,5101266,15763
113444,22246,17,16,white,23,5101266,13146
113444,22256,17,17,black,12,610056,1091
113444,22356,17,18,black,12,989993,1763
113444,23356,17,19,black,12,860078,1369
113444,33356,17,20,black,12,513547,950
113555,11245,20,13,white,7,57856,122
113555,11246,20,14,white,11,558407,3424
113555,11256,20,15,white,23,5645242,19018
113555,11356,20,16,black,14,1633477,8557
113555,12245,20,14,white,7,60339,415
113555,12246,20,15,white,11,556835,3494
113555,12256,20,16,white,23,7557355,33231
113555,12356,20,17,black,14,2721879,13926
113555,13356,20,18,black,14,1591918,5043
113555,22245,20,15,white,7,43922,229
113555,22246,20,16,white,11,372224,2897
113555,22256,20,17,white,23,5101266,10677
113555,22356,20,18,black,14,2005182,3702
113555,23356,20,19,black,14,1807296,2813
113555,33356,20,20,black,14,870119,1454
114555,11245,21,13,white,7,61787,155
114555,11246,21,14,white,11,512150,892
114555,11256,21,15,white,23,5645242,20790
114555,11356,21,16,white,23,5645242,22378
114555,12245,21,14,white,7,64329,538
114555,12246,21,15,white,11,508479,4718
114555,12256,21,16,white,23,7557355,35534
114555,12356,21,17,white,23,13058759,39964
114555,13356,21,18,white,23,7557355,12306
114555,22245,21,15,white,7,46628,85
114555,22246,21,16,white,11,348207,680
114555,22256,21,17,white,23,5101266,9085
114555,22356,21,18,white,23,10819364,17985
114555,23356,21,19,white,23,10529338,11430
114555,33356,21,20,white,23,5101266,6058
123444,11245,18,13,white,15,3526356,3863
123444,11246,18,14,white,15,3526356,4251
123444,11256,18,15,black,12,1328942,1788
123444,11356,18,16,black,12,1440360,5647
123444,12245,18,14,white,23,9733225,36071
123444,12246,18,15,white,23,9733225,44117
123444,12256,18,16,black,12,1222564,1728
123444,12356,18,17,black,12,1851440,2741
123444,13356,18,18,black,12,1311045,2174
123444,22245,18,15,white,23,5271993,9222
123444,22246,18,16,white,23,5271993,8319
123444,22256,18,17,black,12,841329,848
123444,22356,18,18,black,12,1340575,1378
123444,23356,18,19,black,12,1230540,1171
123444,33356,18,20,black,12,790804,1399
123555,11245,21,13,white,7,84057,174
123555,11246,21,14,white,11,846053,1486
123555,11256,21,15,white,15,3526356,5944
123555,11356,21,16,black,14,3001056,4552
123555,12245,21,14,white,7,85923,192
123555,12246,21,15,white,11,811808,2837
123555,12256,21,16,white,23,9733225,22368
123555,12356,21,17,black,14,4598721,9978
123555,13356,21,18,black,14,2749960,6284
123555,22245,21,15,white,7,64938,580
123555,22246,21,16,white,11,513964,1323
123555,22256,21,17,white,23,5271993,14218
123555,22356,21,18,black,14,2934488,8560
123555,23356,21,19,black,14,2697757,5720
123555,33356,21,20,black,14,1355141,2446
124555,11245,22,13,white,7,88211,162
124555,11246,22,14,white,11,781941,1850
124555,11256,22,15,white,15,3526356,5457
124555,11356,22,16,white,23,10984814,18348
124555,12245,22,14,white,7,90090,433
124555,12246,22,15,white,11,749740,3761
124555,12256,22,16,white,23,9733225,22439
124555,12356,22,17,white,23,18072233,40201
124555,13356,22,18,white,23,13513530,24350
124555,22245,22,15,white,7,68027,105
124555,22246,22,16,white,11,485204,774
124555,22256,22,17,white,23,5271993,8579
124555,22356,22,18,white,23,11213014,33836
124555,23356,22,19,white,23,12786999,18524
124555,33356,22,20,white,23,7544447,10423
134555,11245,23,13,white,7,88147,54
134555,11246,23,14,white,11,784996,678
134555,11256,23,15,white,11,966293,883
134555,11356,23,16,white,15,3526356,4290
134555,12245,23,14,white,7,90773,63
134555,12246,23,15,white,11,774339,1046
134555,12256,23,16,white,11,975892,1967
134555,12356,23,17,white,23,16919327,37572
134555,13356,23,18,white,23,9733225,24360
134555,22245,23,15,white,7,69250,153
134555,22246,23,16,white,11,543628,1270
134555,22256,23,17,white,11,688709,1598
134555,22356,23,18,white,23,12510178,22866
134555,23356,23,19,white,23,11269051,31113
134555,33356,23,20,white,23,5271993,9308
224555,11245,23,13,white,7,58994,59
224555,11246,23,14,white,11,521805,1100
224555,11256,23,15,white,13,1415686,2281
224555,11356,23,16,white,23,8781326,12252
224555,12245,23,14,white,7,59113,35
224555,12246,23,15,white,11,480923,409
224555,12256,23,16,white,13,1268256,1306
224555,12356,23,17,white,23,10959158,39822
224555,13356,23,18,white,23,10410765,48342
224555,22245,23,15,white,7,42062,205
224555,22246,23,16,white,11,286095,1900
224555,22256,23,17,white,13,627492,3304
224555,22356,23,18,white,23,5645242,19098
224555,23356,23,19,white,23,7557355,13585
224555,33356,23,20,white,23,5101266,7772
234555,11245,24,13,white,7,87290,101
234555,11246,24,14,white,11,783369,804
234555,11256,24,15,white,11,998723,860
234555,11356,24,16,white,15,4281612,4321
234555,12245,24,14,white,7,87822,55
234555,12246,24,15,white,11,735417,612
234555,12256,24,16,white,11,911825,797
234555,12356,24,17,white,15,5913662,6031
234555,13356,24,18,white,23,11601358,39821
234555,22245,24,15,white,7,65102,725
234555,22246,24,16,white,11,474568,3184
234555,22256,24,17,white,11,569812,7060
234555,22356,24,18,white,15,3526356,16037
234555,23356,24,19,white,23,9733225,42967
234555,33356,24,20,white,23,5271993,11583
