white,black,white_sum,black_sum,verdict,plies,nodes,ms
1222,11124,7,9,black,12,176605,485
1222,11125,7,10,black,12,176605,388
1222,11126,7,11,black,12,176605,321
1222,11135,7,11,black,10,108660,251
1222,11136,7,12,black,10,108660,189
1222,11146,7,13,black,10,108660,155
1222,11235,7,12,black,10,105338,223
1222,11236,7,13,black,10,105338,336
1222,11244,7,12,black,10,77673,184
1222,11246,7,14,black,10,105338,159
1222,11255,7,14,black,10,77673,272
1222,11266,7,16,black,10,77673,190
1222,11346,7,15,black,10,142566,371
1222,11355,7,15,black,10,107126,235
1222,11356,7,16,black,10,142566,241
1222,11366,7,17,black,10,107126,168
1222,11466,7,18,black,10,107126,201
1222,12235,7,13,black,10,82186,152
1222,12236,7,14,black,10,82186,56
1222,12246,7,15,black,10,82186,182
1222,12346,7,16,black,10,108103,339
1222,12355,7,16,black,10,77322,118
1222,12366,7,18,black,10,77322,176
1222,12466,7,19,black,10,77322,145
1222,13346,7,17,black,10,109620,211
1222,13466,7,20,black,10,101712,331
1222,22235,7,14,black,10,27142,22
1222,22236,7,15,black,10,27142,71
1222,22246,7,16,black,10,27142,20
1222,22346,7,17,black,10,37414,40
1222,22355,7,17,black,10,28421,44
1222,22366,7,19,black,10,28421,174
1222,22466,7,20,black,10,28421,48
1222,23346,7,18,black,10,37727,99
1222,23466,7,21,black,10,38043,26
1222,33346,7,19,black,10,35253,53
1222,33466,7,22,black,10,37650,60
1223,11124,8,9,black,20,4252979,5293
1223,11125,8,10,black,20,4252979,5198
1223,11126,8,11,black,20,4252979,5204
1223,11135,8,11,black,10,226741,347
1223,11136,8,12,black,10,226741,333
1223,11146,8,13,black,10,254832,297
1223,11235,8,12,black,10,373205,351
1223,11236,8,13,black,10,373205,613
1223,11244,8,12,black,10,295377,292
1223,11246,8,14,black,10,353392,330
1223,11255,8,14,black,10,295377,481
1223,11266,8,16,black,10,295377,463
1223,11346,8,15,black,10,312008,510
1223,11355,8,15,black,10,245324,410
1223,11356,8,16,black,10,312008,438
1223,11366,8,17,black,10,245324,412
1223,11466,8,18,black,10,252975,374
1223,12235,8,13,black,10,349551,460
1223,12236,8,14,black,10,349551,476
1223,12246,8,15,black,10,332753,413
1223,12346,8,16,black,10,419439,408
1223,12355,8,16,black,10,318738,419
1223,12366,8,18,black,10,318738,531
1223,12466,8,19,black,10,305916,411
1223,13346,8,17,black,10,243764,353
1223,13466,8,20,black,10,217811,266
1223,22235,8,14,black,10,177934,421
1223,22236,8,15,black,10,177934,262
1223,22246,8,16,black,10,170396,380
1223,22346,8,17,black,10,236527,331
1223,22355,8,17,black,10,184511,284
1223,22366,8,19,black,10,184511,276
1223,22466,8,20,black,10,176186,297
1223,23346,8,18,black,10,190251,269
1223,23466,8,21,black,10,174532,309
1223,33346,8,19,black,10,80131,168
1223,33466,8,22,black,10,84042,309
1224,11124,9,9,white,7,30146,35
1224,11125,9,10,black,20,4252979,5034
1224,11126,9,11,black,20,4252979,4927
1224,11135,9,11,black,14,1288994,1630
1224,11136,9,12,black,14,1288994,1421
1224,11146,9,13,black,10,226741,426
1224,11235,9,12,black,12,927713,1596
1224,11236,9,13,black,12,927713,1090
1224,11244,9,12,black,12,776039,932
1224,11246,9,14,black,10,373205,480
1224,11255,9,14,black,10,295377,432
1224,11266,9,16,black,10,295377,342
1224,11346,9,15,black,10,368548,419
1224,11355,9,15,black,10,296738,832
1224,11356,9,16,black,10,372484,443
1224,11366,9,17,black,10,296738,388
1224,11466,9,18,black,10,245324,298
1224,12235,9,13,black,12,779948,1016
1224,12236,9,14,black,12,779948,899
1224,12246,9,15,black,10,349551,872
1224,12346,9,16,black,10,507247,484
1224,12355,9,16,black,10,380055,381
1224,12366,9,18,black,10,380055,447
1224,12466,9,19,black,10,318738,531
1224,13346,9,17,black,10,365228,505
1224,13466,9,20,black,10,319546,638
1224,22235,9,14,black,12,330535,527
1224,22236,9,15,black,12,330535,458
1224,22246,9,16,black,10,177934,273
1224,22346,9,17,black,10,295096,462
1224,22355,9,17,black,10,226287,306
1224,22366,9,19,black,10,226287,1666
1224,22466,9,20,black,10,184511,275
1224,23346,9,18,black,10,303004,381
1224,23466,9,21,black,10,264605,472
1224,33346,9,19,black,10,189488,318
1224,33466,9,22,black,10,193553,321
1225,11124,10,9,white,7,30131,43
1225,11125,10,10,white,7,30146,68
1225,11126,10,11,black,20,4252979,4964
1225,11135,10,11,white,7,29799,84
1225,11136,10,12,black,14,1288994,1449
1225,11146,10,13,black,14,1288994,1691
1225,11235,10,12,black,14,2083824,2138
1225,11236,10,13,black,12,927713,1206
1225,11244,10,12,white,9,77648,120
1225,11246,10,14,black,12,927713,1178
1225,11255,10,14,black,12,776039,959
1225,11266,10,16,black,10,295377,404
1225,11346,10,15,black,12,915244,1181
1225,11355,10,15,black,12,737986,755
1225,11356,10,16,black,10,368548,419
1225,11366,10,17,black,10,296738,445
1225,11466,10,18,black,10,296738,536
1225,12235,10,13,black,12,787310,757
1225,12236,10,14,black,12,779948,861
1225,12246,10,15,black,12,779948,1133
1225,12346,10,16,black,12,1089626,958
1225,12355,10,16,black,10,425411,614
1225,12366,10,18,black,10,380055,603
1225,12466,10,19,black,10,380055,483
1225,13346,10,17,black,12,780396,1017
1225,13466,10,20,black,10,372822,674
1225,22235,10,14,black,12,346220,393
1225,22236,10,15,black,12,330535,482
1225,22246,10,16,black,12,330535,453
1225,22346,10,17,black,12,523400,671
1225,22355,10,17,black,10,248708,511
1225,22366,10,19,black,10,226287,294
1225,22466,10,20,black,10,226287,317
1225,23346,10,18,black,12,516808,648
1225,23466,10,21,black,10,314222,429
1225,33346,10,19,black,12,327304,611
1225,33466,10,22,black,10,231753,257
1234,11124,10,9,white,7,52470,59
1234,11125,10,10,white,13,1017894,1196
1234,11126,10,11,white,13,1017894,1347
1234,11135,10,11,black,20,10833388,11854
1234,11136,10,12,black,20,10833388,12864
1234,11146,10,13,black,10,398020,450
1234,11235,10,12,black,14,3636387,5003
1234,11236,10,13,black,14,3636387,4513
1234,11244,10,12,black,16,4475058,7414
1234,11246,10,14,black,10,672356,604
1234,11255,10,14,black,10,687259,862
1234,11266,10,16,black,10,687259,1500
1234,11346,10,15,black,10,677824,919
1234,11355,10,15,black,10,538933,774
1234,11356,10,16,black,10,644624,882
1234,11366,10,17,black,10,538933,1288
1234,11466,10,18,black,10,442574,938
1234,12235,10,13,black,14,3275207,4546
1234,12236,10,14,black,14,3275207,5175
1234,12246,10,15,black,10,645196,1014
1234,12346,10,16,black,10,969394,1093
1234,12355,10,16,black,10,762852,723
1234,12366,10,18,black,10,762852,649
1234,12466,10,19,black,10,610424,624
1234,13346,10,17,black,10,649217,857
1234,13466,10,20,black,10,592518,565
1234,22235,10,14,black,14,1816999,2014
1234,22236,10,15,black,14,1816999,2032
1234,22246,10,16,black,10,398997,519
1234,22346,10,17,black,10,657859,2361
1234,22355,10,17,black,10,525861,537
1234,22366,10,19,black,10,525861,564
1234,22466,10,20,black,10,421771,520
1234,23346,10,18,black,10,619220,1011
1234,23466,10,21,black,10,572022,912
1234,33346,10,19,black,10,338685,699
1234,33466,10,22,black,10,357146,601
1235,11124,11,9,white,7,52488,103
1235,11125,11,10,white,7,52470,56
1235,11126,11,11,white,13,1017894,1068
1235,11135,11,11,white,7,50859,70
1235,11136,11,12,black,20,10833388,15126
1235,11146,11,13,black,14,2295100,2905
1235,11235,11,12,white,9,290325,497
1235,11236,11,13,black,14,3636387,6541
1235,11244,11,12,white,9,130131,370
1235,11246,11,14,black,12,1927956,3188
1235,11255,11,14,black,16,4475058,5716
1235,11266,11,16,black,10,687259,1424
1235,11346,11,15,black,12,1692570,2196
1235,11355,11,15,black,12,1454839,2381
1235,11356,11,16,black,10,677824,785
1235,11366,11,17,black,10,538933,907
1235,11466,11,18,black,10,520535,760
1235,12235,11,13,white,9,284769,645
1235,12236,11,14,black,14,3275207,4534
1235,12246,11,15,black,12,1802526,2779
1235,12346,11,16,black,12,2404374,3012
1235,12355,11,16,black,12,2034837,2779
1235,12366,11,18,black,10,762852,828
1235,12466,11,19,black,10,746449,1482
1235,13346,11,17,black,12,1451600,2022
1235,13466,11,20,black,10,687959,1168
1235,22235,11,14,white,9,194372,277
1235,22236,11,15,black,14,1816999,3145
1235,22246,11,16,black,12,1025430,1893
1235,22346,11,17,black,12,1525327,2209
1235,22355,11,17,black,12,1319236,2056
1235,22366,11,19,black,10,525861,941
1235,22466,11,20,black,10,515967,944
1235,23346,11,18,black,12,1314290,1660
1235,23466,11,21,black,10,667140,1137
1235,33346,11,19,black,12,616415,1209
1235,33466,11,22,black,10,430482,887
1245,11124,12,9,white,7,36195,84
1245,11125,12,10,white,7,52470,87
1245,11126,12,11,white,13,1017894,1918
1245,11135,12,11,white,7,52386,113
1245,11136,12,12,white,13,1262479,2978
1245,11146,12,13,black,20,10833388,14953
1245,11235,12,12,white,7,73858,140
1245,11236,12,13,white,13,2302866,3720
1245,11244,12,12,white,7,39106,69
1245,11246,12,14,black,14,3636387,5194
1245,11255,12,14,black,16,4475058,7434
1245,11266,12,16,black,10,687259,1734
1245,11346,12,15,black,14,4085968,5042
1245,11355,12,15,black,16,4909270,6449
1245,11356,12,16,black,10,701450,848
1245,11366,12,17,black,10,695516,1203
1245,11466,12,18,black,10,538933,714
1245,12235,12,13,white,7,74976,121
