white,black,regla,ve,gana1,gana2,sindef,turnos
12333,11234,fijo,2,53.84,45.41,0.75,10.66
12333,11234,fijo,4,52.48,46.57,0.95,10.08
12333,11234,fijo,6,42.67,55.13,2.19,10.81
12333,11234,libre,2,57.56,41.89,0.55,10.14
12333,11234,libre,4,57.38,42.12,0.49,9.71
12333,11234,libre,6,67.53,31.09,1.38,9.93
12334,11245,fijo,2,51.62,47.50,0.88,10.73
12334,11245,fijo,4,48.23,50.62,1.15,10.25
12334,11245,fijo,6,32.83,65.78,1.39,10.47
12334,11245,libre,2,55.77,43.58,0.65,10.28
12334,11245,libre,4,51.76,47.54,0.70,9.85
12334,11245,libre,6,57.86,41.51,0.63,9.51
12344,11245,fijo,2,54.55,44.68,0.77,10.62
12344,11245,fijo,4,51.67,47.27,1.06,10.17
12344,11245,fijo,6,38.76,59.40,1.84,10.64
12344,11245,libre,2,57.12,42.32,0.56,10.23
12344,11245,libre,4,56.07,43.14,0.79,9.83
12344,11245,libre,6,66.86,32.24,0.90,9.69
13334,11245,fijo,2,50.98,48.07,0.96,10.88
13334,11245,fijo,4,49.64,49.22,1.14,10.32
13334,11245,fijo,6,36.52,61.72,1.77,10.57
13334,11245,libre,2,53.52,45.78,0.69,10.46
13334,11245,libre,4,53.27,45.91,0.82,9.96
13334,11245,libre,6,61.31,37.96,0.73,9.82
13344,12345,fijo,2,51.85,47.41,0.74,10.53
13344,12345,fijo,4,48.72,50.21,1.07,10.19
13344,12345,fijo,6,33.87,64.36,1.77,10.78
13344,12345,libre,2,54.99,44.48,0.53,10.11
13344,12345,libre,4,52.17,47.33,0.51,9.74
13344,12345,libre,6,56.40,42.87,0.73,9.84
13444,22345,fijo,2,51.73,47.35,0.92,10.82
13444,22345,fijo,4,50.41,48.48,1.12,10.25
13444,22345,fijo,6,40.21,57.48,2.31,10.93
13444,22345,libre,2,54.89,44.40,0.71,10.33
13444,22345,libre,4,55.15,44.17,0.68,9.83
13444,22345,libre,6,64.77,33.51,1.73,10.22
