,Valor
Total de partidas ganadas por blanco,6802.0
Total de partidas ganadas por negro,3177.0
Porcentaje de victorias de blanco,68.02
Porcentaje de victorias de negro,31.77
Promedio de piezas colocadas por el ganador,5.666299228379597
Promedio de piezas colocadas por blanco cuando gana,5.476918553366657
Promedio de piezas colocadas por negro cuando gana,6.07176581680831
Promedio de rondas total,3.4975
Promedio de rondas en partidas ganadas por blanco,3.485445457218465
Promedio de rondas en partidas ganadas por negro,3.480327352848599

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6739,66.52322303012316,33.47677696987684
4,2291,73.76691401134876,26.233085988651244
5,586,71.67235494880546,28.327645051194537
6,211,59.71563981042654,40.28436018957346
7,71,53.52112676056338,46.478873239436616
8,49,63.26530612244898,36.734693877551024
9,21,52.38095238095239,47.61904761904761
10,32,9.375,25.0

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",175,128,3.4571428571428573,73.14285714285714
"WC1(0,1)",189,127,3.613756613756614,67.1957671957672
"WC1(0,2)",195,140,3.5384615384615383,71.7948717948718
"WC1(1,0)",214,132,3.607476635514019,61.6822429906542
"WC1(1,1)",180,140,3.2444444444444445,77.77777777777779
"WC1(1,2)",195,110,3.6153846153846154,56.41025641025641
"WC1(2,0)",175,126,3.48,72.0
"WC1(2,1)",173,108,3.5028901734104045,62.42774566473989
"WC1(2,2)",169,120,3.378698224852071,71.00591715976331
"WC2(0,0)",364,261,3.447802197802198,71.7032967032967
"WC2(0,1)",362,202,3.643646408839779,55.80110497237569
"WC2(0,2)",387,281,3.4031007751937983,72.60981912144703
"WC2(1,0)",366,220,3.5956284153005464,60.10928961748634
"WC2(1,1)",373,301,3.284182305630027,80.6970509383378
"WC2(1,2)",366,225,3.6639344262295084,61.47540983606557
"WC2(2,0)",385,290,3.451948051948052,75.32467532467533
"WC2(2,1)",364,225,3.5714285714285716,61.81318681318682
"WC2(2,2)",344,244,3.3982558139534884,70.93023255813954
"WC3(0,0)",388,276,3.435567010309278,71.1340206185567
"WC3(0,1)",390,243,3.68974358974359,62.30769230769231
"WC3(0,2)",354,259,3.378531073446328,73.1638418079096
"WC3(1,0)",368,228,3.682065217391304,61.95652173913043
"WC3(1,1)",373,296,3.3029490616621984,79.35656836461126
"WC3(1,2)",367,211,3.670299727520436,57.49318801089919
"WC3(2,0)",379,266,3.395778364116095,70.18469656992085
"WC3(2,1)",388,240,3.5077319587628866,61.855670103092784
"WC3(2,2)",361,261,3.404432132963989,72.29916897506925
"WC5(0,0)",182,127,3.4285714285714284,69.78021978021978
"WC5(0,1)",185,122,3.6,65.94594594594595
"WC5(0,2)",181,136,3.4419889502762433,75.13812154696133
"WC5(1,0)",210,127,3.585714285714286,60.476190476190474
"WC5(1,1)",181,136,3.298342541436464,75.13812154696133
"WC5(1,2)",184,120,3.608695652173913,65.21739130434783
"WC5(2,0)",173,128,3.479768786127168,73.98843930635837
"WC5(2,1)",179,115,3.6871508379888267,64.24581005586593
"WC5(2,2)",181,131,3.3756906077348066,72.37569060773481
