white,black,white_sum,black_sum,verdict,plies,nodes,ms
11114,1124,8,8,white,11,98105,259
11114,1133,8,8,white,9,23079,80
11114,1134,8,9,white,11,98105,202
11114,1144,8,10,black,12,87272,168
11114,1145,8,11,black,10,60022,120
11114,1156,8,13,black,10,59659,125
11114,1222,8,7,white,9,20890,26
11114,1236,8,12,black,15,574379,900
11114,1255,8,13,black,10,81371,112
11114,1256,8,14,black,10,104089,160
11114,1266,8,15,black,10,81371,187
11114,1344,8,12,black,10,84495,131
11114,1355,8,14,black,10,81371,109
11114,1356,8,15,black,10,104089,108
11114,1444,8,13,black,10,42420,55
11114,1456,8,16,black,10,62720,62
11114,1566,8,18,black,10,46811,46
11114,2224,8,10,white,11,68803,99
11114,2225,8,11,black,15,236398,369
11114,2233,8,10,white,9,23264,59
11114,2246,8,14,black,10,77428,100
11114,2344,8,13,black,10,91967,88
11114,2346,8,15,black,10,122042,188
11114,2366,8,17,black,10,94568,72
11114,2445,8,15,black,10,60400,42
11114,2446,8,16,black,10,60400,149
11114,2456,8,17,black,10,77955,94
11114,3334,8,13,white,11,68803,89
11114,3345,8,15,black,10,77428,70
11114,3346,8,16,black,10,77428,72
11114,3355,8,16,black,10,62130,45
11114,3446,8,17,black,10,60400,78
11114,3455,8,17,black,10,59218,85
11114,3466,8,19,black,10,59218,81
11114,3555,8,18,black,10,43468,30
11114,3566,8,20,black,10,58255,44
11114,4444,8,16,black,10,20589,55
11114,4456,8,19,black,10,32616,59
11114,4555,8,19,black,10,26786,37
11114,6666,8,24,black,10,19271,15
11122,1124,7,8,black,12,180808,257
11122,1133,7,8,black,12,154997,137
11122,1134,7,9,black,12,188056,205
11122,1144,7,10,black,12,154997,185
11122,1145,7,11,black,12,188056,168
11122,1156,7,13,black,12,188056,232
11122,1222,7,7,white,9,37741,23
11122,1236,7,12,black,10,98089,97
11122,1255,7,13,black,10,78622,91
11122,1256,7,14,black,10,98089,103
11122,1266,7,15,black,10,78622,74
11122,1344,7,12,black,10,79411,76
11122,1355,7,14,black,10,79411,137
11122,1356,7,15,black,10,99882,88
11122,1444,7,13,black,10,65035,76
11122,1456,7,16,black,10,99882,81
11122,1566,7,18,black,10,79411,78
11122,2224,7,10,black,10,34536,45
11122,2225,7,11,black,10,34536,25
11122,2233,7,10,black,10,36227,24
11122,2246,7,14,black,10,42452,29
11122,2344,7,13,black,10,43587,30
11122,2346,7,15,black,10,51772,41
11122,2366,7,17,black,10,43587,46
11122,2445,7,15,black,10,42231,37
11122,2446,7,16,black,10,42231,31
11122,2456,7,17,black,10,51772,39
11122,3334,7,13,black,10,33836,24
11122,3345,7,15,black,10,42806,32
11122,3346,7,16,black,10,42806,65
11122,3355,7,16,black,10,37013,26
11122,3446,7,17,black,10,45475,70
11122,3455,7,17,black,10,46720,48
11122,3466,7,19,black,10,46720,116
11122,3555,7,18,black,10,38587,75
11122,3566,7,20,black,10,46720,39
11122,4444,7,16,black,10,29315,21
11122,4456,7,19,black,10,42806,94
11122,4555,7,19,black,10,38587,59
11122,6666,7,24,black,10,29315,38
11135,1124,11,8,white,7,36944,36
11135,1133,11,8,white,7,19978,9
11135,1134,11,9,white,9,76506,111
11135,1144,11,10,white,9,59397,48
11135,1145,11,11,white,9,114531,143
11135,1156,11,13,black,12,355418,385
11135,1222,11,7,white,7,20344,44
11135,1236,11,12,white,11,288220,303
11135,1255,11,13,white,9,119092,140
11135,1256,11,14,black,12,580569,649
11135,1266,11,15,black,12,445720,472
11135,1344,11,12,white,9,75995,49
11135,1355,11,14,white,9,110123,137
11135,1356,11,15,black,10,271107,311
11135,1444,11,13,white,9,53352,33
11135,1456,11,16,black,10,276348,279
11135,1566,11,18,black,10,145508,169
11135,2224,11,10,white,7,28180,14
11135,2225,11,11,white,7,27308,18
11135,2233,11,10,white,7,20910,9
11135,2246,11,14,white,11,235264,228
11135,2344,11,13,white,9,82398,57
11135,2346,11,15,black,15,2510593,2726
11135,2366,11,17,black,10,252671,210
11135,2445,11,15,white,9,127372,126
11135,2446,11,16,black,15,1738160,4758
11135,2456,11,17,black,10,316012,876
11135,3334,11,13,white,9,51617,188
11135,3345,11,15,white,11,316425,1059
11135,3346,11,16,black,15,1174394,5282
11135,3355,11,16,black,12,266223,291
11135,3446,11,17,black,15,1238268,1473
11135,3455,11,17,black,10,215079,239
11135,3466,11,19,black,10,219850,374
11135,3555,11,18,black,10,113533,262
11135,3566,11,20,black,10,138609,428
11135,4444,11,16,white,9,36607,150
11135,4456,11,19,black,10,186843,198
11135,4555,11,19,black,10,114350,127
11135,6666,11,24,black,10,53089,164
11155,1124,13,8,white,7,17907,9
11155,1133,13,8,white,7,13743,14
11155,1134,13,9,white,7,17907,98
11155,1144,13,10,white,7,13743,7
11155,1145,13,11,white,7,19989,94
11155,1156,13,13,black,12,180808,206
11155,1222,13,7,white,7,12968,6
11155,1236,13,12,white,11,177942,155
11155,1255,13,13,white,9,63184,50
11155,1256,13,14,black,12,362533,391
11155,1266,13,15,black,12,249109,236
11155,1344,13,12,white,7,18061,8
11155,1355,13,14,white,9,63184,81
11155,1356,13,15,black,12,362533,626
11155,1444,13,13,white,7,12968,72
11155,1456,13,16,black,12,362533,669
11155,1566,13,18,black,10,78622,153
11155,2224,13,10,white,7,13488,55
11155,2225,13,11,white,7,14312,8
11155,2233,13,10,white,7,14398,52
11155,2246,13,14,white,11,136239,358
11155,2344,13,13,white,7,19004,10
