white,black,regla,ve,gana1,gana2,sindef,turnos
11224,11235,fijo,2,46.37,53.17,0.47,10.62
11224,11235,libre,2,51.20,48.53,0.27,10.15
11224,11335,fijo,2,47.23,52.40,0.37,10.61
11224,11335,libre,2,49.13,50.60,0.27,10.32
11224,11345,fijo,2,39.13,60.83,0.03,10.48
11224,11345,libre,2,43.53,56.30,0.17,10.05
11224,11355,fijo,2,41.93,58.03,0.03,10.38
11224,11355,libre,2,45.80,54.00,0.20,10.10
11224,12235,fijo,2,42.33,57.40,0.27,10.43
11224,12235,libre,2,46.13,53.87,0.00,10.01
11224,12335,fijo,2,41.50,58.37,0.13,10.46
11224,12335,libre,2,45.33,54.50,0.17,9.99
11224,12345,fijo,2,34.47,65.47,0.07,10.25
11224,12345,libre,2,39.67,60.23,0.10,9.88
11224,12355,fijo,2,37.50,62.40,0.10,10.30
11224,12355,libre,2,40.90,59.10,0.00,9.88
11224,13345,fijo,2,33.77,66.17,0.07,10.31
11224,13345,libre,2,39.03,60.93,0.03,9.90
11224,13355,fijo,2,37.63,62.30,0.07,10.29
11224,13355,libre,2,39.50,60.47,0.03,9.90
11224,13445,fijo,2,33.03,66.97,0.00,10.17
11224,13445,libre,2,37.20,62.80,0.00,9.84
11224,13455,fijo,2,32.00,68.00,0.00,10.14
11224,13455,libre,2,36.27,63.73,0.00,9.82
11224,22335,fijo,2,36.57,63.43,0.00,10.33
11224,22335,libre,2,38.87,61.13,0.00,10.04
11224,22345,fijo,2,31.43,68.57,0.00,10.15
11224,22345,libre,2,35.27,64.73,0.00,9.82
11224,22355,fijo,2,33.13,66.87,0.00,10.17
11224,22355,libre,2,37.23,62.77,0.00,9.81
11224,23345,fijo,2,30.30,69.70,0.00,10.07
11224,23345,libre,2,34.43,65.57,0.00,9.79
11224,23355,fijo,2,32.60,67.40,0.00,10.16
11224,23355,libre,2,35.50,64.50,0.00,9.82
11224,23445,fijo,2,28.27,71.73,0.00,10.00
11224,23445,libre,2,32.40,67.60,0.00,9.75
11224,23455,fijo,2,28.43,71.57,0.00,10.00
11224,23455,libre,2,31.53,68.47,0.00,9.73
11224,33445,fijo,2,27.87,72.13,0.00,10.01
11224,33445,libre,2,31.13,68.87,0.00,9.72
11224,33455,fijo,2,27.57,72.43,0.00,10.03
11224,33455,libre,2,31.87,68.13,0.00,9.69
11224,34455,fijo,2,26.67,73.33,0.00,9.93
11224,34455,libre,2,30.83,69.17,0.00,9.57
11234,11225,fijo,2,62.43,36.83,0.73,10.52
11234,11225,libre,2,64.93,34.47,0.60,10.26
11234,11235,fijo,2,55.83,43.77,0.40,10.61
11234,11235,libre,2,58.87,40.67,0.47,10.18
11234,11245,fijo,2,47.47,51.93,0.60,10.61
11234,11245,libre,2,50.43,49.37,0.20,10.15
11234,11255,fijo,2,49.93,49.63,0.43,10.43
11234,11255,libre,2,52.53,47.13,0.33,10.13
11234,11335,fijo,2,52.00,47.73,0.27,10.46
11234,11335,libre,2,53.60,46.07,0.33,10.25
11234,11345,fijo,2,42.77,56.87,0.37,10.51
11234,11345,libre,2,45.70,54.10,0.20,10.08
11234,11355,fijo,2,44.67,55.10,0.23,10.29
11234,11355,libre,2,47.67,52.00,0.33,10.12
11234,11445,fijo,2,40.30,59.67,0.03,10.18
11234,11445,libre,2,43.27,56.70,0.03,9.96
11234,11455,fijo,2,39.20,60.77,0.03,10.15
11234,11455,libre,2,43.27,56.70,0.03,9.93
11234,12235,fijo,2,53.33,46.27,0.40,10.54
11234,12235,libre,2,55.73,43.87,0.40,10.15
11234,12245,fijo,2,45.27,54.57,0.17,10.45
11234,12245,libre,2,48.20,51.53,0.27,10.15
11234,12255,fijo,2,47.67,52.07,0.27,10.27
11234,12255,libre,2,48.60,51.20,0.20,10.06
11234,12335,fijo,2,49.27,50.40,0.33,10.37
11234,12335,libre,2,52.23,47.40,0.37,10.08
11234,12345,fijo,2,40.10,59.83,0.07,10.29
11234,12345,libre,2,43.57,56.17,0.27,10.22
11234,12355,fijo,2,43.17,56.60,0.23,10.37
11234,12355,libre,2,46.13,53.83,0.03,9.96
11234,12445,fijo,2,38.77,61.17,0.07,10.21
11234,12445,libre,2,42.53,57.47,0.00,9.81
11234,12455,fijo,2,37.80,62.20,0.00,10.17
11234,12455,libre,2,40.63,59.37,0.00,9.87
11234,13345,fijo,2,38.50,61.50,0.00,10.29
11234,13345,libre,2,42.23,57.73,0.03,9.89
11234,13355,fijo,2,41.13,58.83,0.03,10.09
11234,13355,libre,2,41.80,58.17,0.03,9.88
11234,13445,fijo,2,35.77,64.23,0.00,10.08
11234,13445,libre,2,40.17,59.83,0.00,9.76
11234,13455,fijo,2,35.83,64.17,0.00,10.08
11234,13455,libre,2,37.50,62.50,0.00,9.83
11234,14455,fijo,2,33.87,66.13,0.00,9.83
11234,14455,libre,2,35.67,64.33,0.00,9.62
11234,22335,fijo,2,45.43,54.20,0.37,10.45
